class	lig_vol
Sterol	367.77
Sterol	532.68
Sterol	321.94
Sterol	483.77
Sterol	304.21
Sterol	311.06
Sterol	268.63
Sterol	333.6
Sterol	367
Sterol	458.25
Sterol	271.5
Sterol	357.76
Sterol	298.07
Sterol	441.05
Sterol	357.68
Sterol	233.86
Sterol	318.05
Sterol	322.23
Sterol	305.75
Sterol	333.86
Sterol	289
Sterol	242.79
Sterol	342.83
Sterol	338.89
Sterol	376.98
Sterol	309.99
Sterol	296.5
Sterol	481.43
Sterol	313.11
Sterol	311.22
Sterol	254.96
Sterol	376.05
Sterol	280.1
Sterol	327.89
Sterol	289.33
Sterol	288.73
Sterol	352.67
Sterol	422.54
Sterol	320.86
Sterol	306.24
Sterol	373.22
Sterol	384.76
Sterol	296.22
Sterol	287.71
Sterol	212.87
Sterol	286.33
Sterol	304.37
Sterol	384.93
Sterol	244.48
Sterol	363.09
Sterol	343.44
Sterol	391.26
Sterol	347.11
Sterol	382.04
Sterol	258.65
Sterol	332.33
Sterol	315.71
Sterol	385.45
Sterol	378.53
Sterol	387.22
Sterol	374.39
Sterol	351.54
Sterol	298.04
Sterol	431.89
Sterol	281.65
Sterol	314.04
Sterol	370.57
Sterol	417.73
Sterol	294.39
Sterol	277.38
Sterol	290.57
Sterol	290.4
Sterol	411.07
Sterol	313.37
Sterol	313.68
Sterol	380.13
Sterol	347.6
Sterol	323.14
Sterol	476.17
Sterol	479.77
Sterol	260.24
Sterol	358.91
Sterol	338.86
Sterol	309.62
Sterol	259.73
Sterol	274.09
Sterol	295.34
Sterol	401.04
Sterol	337.74
Sterol	316.17
Sterol	354.63
Sterol	363.55
Sterol	334.58
Sterol	491.53
Sterol	354.93
Sterol	333.45
Sterol	284.83
Sterol	371.98
Sterol	273.3
Sterol	355.18
Sterol	424.06
Sterol	334.29
Sterol	214.39
Sterol	455.74
Sterol	497.27
Sterol	374.06
Sterol	289.79
Sterol	259.75
Sterol	242.97
Sterol	348.7
Sterol	429.06
Sterol	311.3
Sterol	347.38
Sterol	400.5
Sterol	361.14
Sterol	413.25
Sterol	353.7
Sterol	316.75
Sterol	366.76
Sterol	374.95
Sterol	365.67
Sterol	266.89
Sterol	356.93
Sterol	336.47
Sterol	352.17
Sterol	305.65
Sterol	290.08
Sterol	249.7
Sterol	408.23
Sterol	308.76
Sterol	327.88
Sterol	344.9
Sterol	244.32
Sterol	301.08
Sterol	332.02
Sterol	251.76
Sterol	379.39
Sterol	271.5
Sterol	359
Sterol	311.35
Sterol	340.5
Sterol	390.65
Sterol	333.25
Sterol	362.22
Sterol	290.15
Sterol	358.44
Sterol	436.88
Sterol	319.56
Sterol	429.34
Sterol	275.62
Sterol	271.36
Sterol	326.42
Sterol	287.28
Sterol	344.19
Sterol	333.98
Sterol	284.46
Sterol	348.32
Sterol	224.18
Sterol	327.78
Sterol	314.8
Sterol	211.24
Sterol	368.19
Sterol	291.85
Sterol	289.77
Sterol	255.79
Sterol	300.92
Sterol	314.96
Sterol	291.35
Sterol	326.07
Sterol	360.54
Sterol	323.14
Sterol	311.61
Sterol	335.29
Sterol	340.58
Sterol	366.8
Sterol	472.38
Sterol	237.86
Sterol	383.04
Sterol	303.98
Sterol	397.97
Sterol	320.56
Sterol	341.3
Sterol	293.41
Sterol	327.95
Sterol	332.62
Sterol	283.45
Sterol	348.32
Sterol	291.11
Sterol	291.04
Sterol	375.77
Sterol	308.73
Sterol	286.07
Sterol	284.48
Sterol	363.58
Sterol	342.93
Sterol	1023.76
Sterol	314.77
Sterol	329.36
Sterol	267.01
Sterol	328.83
Sterol	408.64
Sterol	293.16
Sterol	386.64
Sterol	295.77
Sterol	191.87
Sterol	324.8
Sterol	336
Sterol	457.79
Sterol	338.32
Sterol	370.03
Sterol	257.95
Sterol	328.22
Sterol	232.18
Sterol	352.05
Sterol	382.29
Sterol	334.62
Sterol	377.96
Sterol	231.26
Sterol	238.02
Sterol	317.28
Sterol	369.86
Sterol	335.45
Sterol	356.29
Sterol	460.03
Sterol	454.39
Sterol	282.8
Sterol	268.1
Sterol	387.3
Sterol	260.66
Sterol	292.24
Sterol	321.01
Sterol	323.45
Sterol	326.38
Sterol	354.19
Sterol	318.66
Sterol	371.29
Sterol	286.14
Sterol	489.31
Sterol	351.59
Sterol	318.42
Sterol	345.4
Sterol	435.98
Sterol	345.76
Sterol	316.11
Sterol	360.46
Sterol	369.96
Sterol	337.46
Sterol	370
Sterol	375.32
Sterol	307.12
Sterol	323.15
Sterol	346.17
Sterol	587.65
Sterol	399.46
Sterol	321.05
Sterol	266.94
Sterol	329.36
Sterol	213.98
Sterol	369.79
Sterol	372.31
Sterol	364.72
Sterol	323.81
Sterol	237.95
Sterol	243.73
Sterol	266.55
Sterol	333.25
Sterol	315.31
Sterol	294.62
Sterol	343.41
Sterol	207.53
Sterol	310.04
Sterol	332.52
Sterol	333.26
Sterol	369.22
Sterol	348.95
Sterol	291
Sterol	376.48
Sterol	302.85
Sterol	286.86
Sterol	377.19
Sterol	264.88
Sterol	326.16
Sterol	234.85
Sterol	337.53
Sterol	302.49
Sterol	262.69
Sterol	609.61
Sterol	238.3
Sterol	369.08
Sterol	364.81
Sterol	807.87
Sterol	345.02
Sterol	307.22
Sterol	324.61
Sterol	236.64
Sterol	339.38
Sterol	308.67
Sterol	276.01
Sterol	353.16
Sterol	392.44
Sterol	225.47
Sterol	295.64
Sterol	322.56
Sterol	373.22
Sterol	292.09
Sterol	332.55
Sterol	297.5
Sterol	350.34
Sterol	367.49
Sterol	349.39
Sterol	361.65
Sterol	342.49
Sterol	311.84
Sterol	392.1
Sterol	297.45
Sterol	303.59
Sterol	296.67
Sterol	328.75
Sterol	358.31
Sterol	309.39
Sterol	301.53
Sterol	338.41
Sterol	322.17
Sterol	269.49
Sterol	290.68
Sterol	315.05
Sterol	268.93
Sterol	289.25
Sterol	327.22
Sterol	397.49
Sterol	346.85
Sterol	338.31
Sterol	422.42
Sterol	358.62
Sterol	343.45
Sterol	320.96
Sterol	309.82
Sterol	311.05
Sterol	340.22
Sterol	317.73
Sterol	305.41
Sterol	237.48
Sterol	446.67
Sterol	356.28
Sterol	500.76
Sterol	298.4
Sterol	350.52
Sterol	321.68
Sterol	207.56
Sterol	216.44
Sterol	407.34
Sterol	335.88
Sterol	412.39
Sterol	361.16
Sterol	281.63
Sterol	577.37
Sterol	292.9
Sterol	328.45
Sterol	282.93
Sterol	350.39
Sterol	221.89
Sterol	447.96
Sterol	323.6
Sterol	313.56
Sterol	307.52
Sterol	457.06
Sterol	264.5
Sterol	278.96
Sterol	330.69
Sterol	319.11
Sterol	365.6
Sterol	342.83
Sterol	332.77
Sterol	357.56
Sterol	307.46
Sterol	478.81
Sterol	358.08
Sterol	249.74
Sterol	377.96
Sterol	694.8
Sterol	358.6
Sterol	285.93
Sterol	241.44
Sterol	323.79
Sterol	336.12
Sterol	347.65
Sterol	325.33
Sterol	333.76
Sterol	434.82
Sterol	280.21
Sterol	284.74
Sterol	332.54
Sterol	401.46
Sterol	367.45
Sterol	333.34
Sterol	307.56
Sterol	326.84
Sterol	344.47
Sterol	224.33
Sterol	352.67
Sterol	210.65
Sterol	256.13
Sterol	377.45
Sterol	312.85
Sterol	467.29
Sterol	373.17
Sterol	555.61
Sterol	334.77
Sterol	378.61
Sterol	299.78
Sterol	326.9
Sterol	306.31
Sterol	318.89
Sterol	365.89
Sterol	401.06
Sterol	332.46
Sterol	308.22
Sterol	317.36
Sterol	447.84
Sterol	256.89
Sterol	272.11
Sterol	332.33
Sterol	325.12
Sterol	329.82
Sterol	290.33
Sterol	351.14
Sterol	347.56
Sterol	414.57
Sterol	668.06
Sterol	355.77
Sterol	356.37
Sterol	488.39
Sterol	318.64
Sterol	403.63
Sterol	223.24
Sterol	390.64
Sterol	223.07
Sterol	339.12
Sterol	332.2
Sterol	300.77
Sterol	350.42
Sterol	341.54
Sterol	321.75
Sterol	295.73
Sterol	400.53
Sterol	398.83
Sterol	299.75
Sterol	305.6
Sterol	339.22
Sterol	436.17
Sterol	362.68
Sterol	298.93
Sterol	293.74
Sterol	338.01
Sterol	308.51
Sterol	362.34
Sterol	262.13
Sterol	349.62
Sterol	308.48
Sterol	292.78
Sterol	308.08
Sterol	341.54
Sterol	309.38
Sterol	194.41
Sterol	254.87
Sterol	278.52
Sterol	462.65
Sterol	308.04
Sterol	280.79
Sterol	421.47
Sterol	481.64
Sterol	303.73
Sterol	253.35
Sterol	380.32
Sterol	317.6
Sterol	306.06
Sterol	354.49
Sterol	286.18
Sterol	251.45
Sterol	329.83
Sterol	271.51
Sterol	404.24
Sterol	297.76
Sterol	366.35
Sterol	405.48
Sterol	359
Sterol	284.72
Sterol	298.03
Sterol	355.93
Sterol	278.24
Sterol	355.39
Sterol	315.48
Sterol	467.38
Sterol	321.07
Sterol	374.47
Sterol	278.37
Sterol	348.08
Sterol	265.69
Sterol	394.81
Sterol	344.73
Sterol	374.01
Sterol	289.76
Sterol	284.89
Sterol	404.33
Sterol	322.28
Sterol	327.43
Sterol	553.75
Sterol	304.92
Sterol	590.45
Sterol	396.85
Sterol	342.47
Sterol	329.33
Sterol	354.42
Sterol	335.5
Sterol	404.76
Sterol	333.46
Sterol	324.47
Sterol	282.61
Sterol	304.53
Sterol	383.23
Sterol	278.57
Sterol	296.52
Sterol	309.17
Sterol	366.69
Sterol	365.06
Sterol	436.39
Sterol	340.47
Sterol	369.22
Sterol	340.43
Sterol	338.11
Sterol	301.27
Sterol	388.58
Sterol	371.31
Sterol	309.08
Sterol	366.27
Sterol	340.05
Sterol	257.22
Sterol	322.95
Sterol	361.56
Sterol	329.31
Sterol	301.43
Sterol	328.49
Sterol	300.6
Sterol	209.76
Sterol	422.48
Sterol	242.99
Sterol	330.77
Sterol	358.13
Sterol	425.8
Sterol	383.04
Sterol	1124.02
Sterol	266.73
Sterol	372.24
Sterol	487.86
Sterol	595.45
Sterol	313.54
Sterol	328.4
Sterol	329.36
Sterol	295.82
Sterol	360.76
Sterol	319.18
Sterol	319.76
Sterol	440.41
Sterol	313.42
Sterol	299.1
Sterol	335.86
Sterol	312.78
Sterol	313.14
Sterol	296.12
Sterol	259.27
Sterol	358.83
Sterol	351.99
Sterol	356.12
Sterol	316.22
Sterol	303.37
Sterol	261.28
Sterol	342.32
Sterol	271.96
Sterol	328.05
Sterol	319.34
Sterol	428.11
Sterol	354.05
Sterol	371.06
Sterol	263.05
Sterol	416.59
Sterol	329.73
Sterol	354.39
Sterol	294.29
Sterol	300.57
Sterol	380.09
Sterol	338.56
Sterol	321.12
Sterol	287.15
Sterol	302.26
Sterol	298.8
Sterol	307.78
Sterol	312.79
Sterol	299.07
Sterol	299.24
Sterol	265.93
Sterol	328.18
Sterol	325.16
Sterol	289.19
Sterol	257.11
Sterol	395.84
Sterol	280.82
Sterol	312.28
Sterol	242.89
Sterol	246.74
Sterol	275.02
Sterol	261.08
Sterol	360.72
Sterol	233.17
Sterol	347.14
Sterol	320.08
Sterol	334.02
Sterol	331.77
Sterol	348.34
Sterol	353.31
Sterol	259.09
Sterol	273.6
Sterol	363.51
Sterol	223.77
Sterol	354.5
Sterol	227.42
Sterol	333
Sterol	409.03
Sterol	343.63
Sterol	344.18
Sterol	256.5
Sterol	316.04
Sterol	290.17
Sterol	315.84
Sterol	324.76
Sterol	342.05
Sterol	187.51
Sterol	549.6
Sterol	343.21
Sterol	229.94
Sterol	337.84
Sterol	386.88
Sterol	399.07
Sterol	320.93
Sterol	871.69
Sterol	266.84
Sterol	385.53
Sterol	296.88
Sterol	568.89
Sterol	343.28
Sterol	287.91
Sterol	283.96
Sterol	323.36
Sterol	281.55
Sterol	328.38
Sterol	335.51
Sterol	268.57
Sterol	282.11
Sterol	338.03
Sterol	235
Sterol	372.28
Sterol	409.33
Sterol	325.68
Sterol	618.25
Sterol	309.55
Sterol	300.31
Sterol	321.6
Sterol	353.21
Sterol	290.26
Sterol	429.9
Sterol	370.96
Sterol	323.14
Sterol	382.62
Sterol	336.22
Sterol	338.52
Sterol	311.82
Sterol	341.13
Sterol	278.58
Sterol	398.57
Sterol	352.86
Sterol	388.88
Sterol	371.4
Sterol	342.22
Sterol	315.68
Sterol	295.96
Sterol	222.58
Sterol	534.64
Sterol	348.76
Sterol	291.69
Sterol	334.28
Sterol	765.18
Sterol	356.6
Sterol	352.71
Sterol	590.48
Sterol	344.54
Sterol	321.43
Sterol	305.97
Sterol	281.82
Sterol	218.63
Sterol	324.23
Sterol	320.48
Sterol	313.23
Sterol	355.49
Sterol	292.13
