class	GO_CC	lig_vol
Fatty Acyl	glutamatergic synapse [GO:0098978]	113.97
Fatty Acyl	neuron projection [GO:0043005]	113.97
Fatty Acyl	synapse [GO:0045202]	113.97
Fatty Acyl	transmembrane transporter complex [GO:1902495]	113.97
Fatty Acyl	membrane [GO:0016020]	183.39
Fatty Acyl	cytosol [GO:0005829]	49.12
Fatty Acyl	plasma membrane [GO:0005886]	195.16
Fatty Acyl	ciliary plasm [GO:0097014]	80.3
Fatty Acyl	cytosol [GO:0005829]	80.3
Fatty Acyl	cytoplasm [GO:0005737]	80.3
Fatty Acyl	glycosome [GO:0020015]	80.3
Fatty Acyl	plasma membrane [GO:0005886]	57.11
Fatty Acyl	azurophil granule lumen [GO:0035578]	565.06
Fatty Acyl	cytosol [GO:0005829]	565.06
Fatty Acyl	ficolin-1-rich granule lumen [GO:1904813]	565.06
Fatty Acyl	extracellular exosome [GO:0070062]	565.06
Fatty Acyl	nucleoplasm [GO:0005654]	565.06
Fatty Acyl	membrane [GO:0016020]	565.06
Fatty Acyl	extracellular region [GO:0005576]	565.06
Fatty Acyl	plasma membrane [GO:0005886]	96.32
Fatty Acyl	cell-cell junction [GO:0005911]	230.59
Fatty Acyl	cytosol [GO:0005829]	230.59
Fatty Acyl	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	230.59
Fatty Acyl	ciliary basal body [GO:0036064]	230.59
Fatty Acyl	basal plasma membrane [GO:0009925]	230.59
Fatty Acyl	plasma membrane [GO:0005886]	230.59
Fatty Acyl	motile cilium [GO:0031514]	230.59
Fatty Acyl	non-motile cilium [GO:0097730]	230.59
Fatty Acyl	ciliary membrane [GO:0060170]	230.59
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	230.59
Fatty Acyl	migrasome [GO:0140494]	230.59
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	230.59
Fatty Acyl	lumenal side of endoplasmic reticulum membrane [GO:0098553]	230.59
Fatty Acyl	lamellipodium [GO:0030027]	230.59
Fatty Acyl	membrane [GO:0016020]	230.59
Fatty Acyl	extracellular exosome [GO:0070062]	230.59
Fatty Acyl	basolateral plasma membrane [GO:0016323]	230.59
Fatty Acyl	cytoplasm [GO:0005737]	230.59
Fatty Acyl	Golgi apparatus [GO:0005794]	230.59
Fatty Acyl	polycystin complex [GO:0002133]	230.59
Fatty Acyl	cilium [GO:0005929]	230.59
Fatty Acyl	basal cortex [GO:0045180]	230.59
Fatty Acyl	mitotic spindle [GO:0072686]	230.59
Fatty Acyl	cation channel complex [GO:0034703]	230.59
Fatty Acyl	endoplasmic reticulum [GO:0005783]	230.59
Fatty Acyl	extracellular region [GO:0005576]	47.82
Fatty Acyl	chloride channel complex [GO:0034707]	87.01
Fatty Acyl	postsynaptic membrane [GO:0045211]	87.01
Fatty Acyl	plasma membrane [GO:0005886]	87.01
Fatty Acyl	presynaptic membrane [GO:0042734]	87.01
Fatty Acyl	GABA-A receptor complex [GO:1902711]	87.01
Fatty Acyl	GABA-ergic synapse [GO:0098982]	87.01
Fatty Acyl	glutamatergic synapse [GO:0098978]	87.01
Fatty Acyl	neuron projection [GO:0043005]	87.01
Fatty Acyl	synapse [GO:0045202]	87.01
Fatty Acyl	transmembrane transporter complex [GO:1902495]	87.01
Fatty Acyl	mitochondrion [GO:0005739]	49.64
Fatty Acyl	cytoplasm [GO:0005737]	49.64
Fatty Acyl	apical plasma membrane [GO:0016324]	139.24
Fatty Acyl	astrocyte projection [GO:0097449]	139.24
Fatty Acyl	cell surface [GO:0009986]	139.24
Fatty Acyl	plasma membrane [GO:0005886]	139.24
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	139.24
Fatty Acyl	calyx of Held [GO:0044305]	139.24
Fatty Acyl	neuronal cell body [GO:0043025]	139.24
Fatty Acyl	axon [GO:0030424]	139.24
Fatty Acyl	axon terminus [GO:0043679]	139.24
Fatty Acyl	endoplasmic reticulum [GO:0005783]	139.24
Fatty Acyl	nucleus [GO:0005634]	607.12
Fatty Acyl	cytosol [GO:0005829]	607.12
Fatty Acyl	NatA complex [GO:0031415]	607.12
Fatty Acyl	nucleus [GO:0005634]	70.28
Fatty Acyl	rough endoplasmic reticulum [GO:0005791]	70.28
Fatty Acyl	cytosol [GO:0005829]	202.24
Fatty Acyl	membrane [GO:0016020]	207.25
Fatty Acyl	cell-cell junction [GO:0005911]	207.25
Fatty Acyl	photoreceptor disc membrane [GO:0097381]	207.25
Fatty Acyl	G protein-coupled receptor complex [GO:0097648]	207.25
Fatty Acyl	plasma membrane [GO:0005886]	207.25
Fatty Acyl	sperm midpiece [GO:0097225]	207.25
Fatty Acyl	photoreceptor inner segment membrane [GO:0060342]	207.25
Fatty Acyl	photoreceptor outer segment [GO:0001750]	207.25
Fatty Acyl	photoreceptor outer segment membrane [GO:0042622]	207.25
Fatty Acyl	Golgi membrane [GO:0000139]	207.25
Fatty Acyl	outer membrane [GO:0019867]	207.25
Fatty Acyl	sperm head plasma membrane [GO:1990913]	207.25
Fatty Acyl	rod photoreceptor outer segment [GO:0120200]	207.25
Fatty Acyl	plasma membrane [GO:0005886]	118.29
Fatty Acyl	plasma membrane [GO:0005886]	162.42
Fatty Acyl	efflux pump complex [GO:1990281]	192.07
Fatty Acyl	plasma membrane [GO:0005886]	192.99
Fatty Acyl	extracellular region [GO:0005576]	45.88
Fatty Acyl	plasma membrane [GO:0005886]	144.62
Fatty Acyl	chloroplast [GO:0009507]	253.66
Fatty Acyl	plasma membrane [GO:0005886]	141.93
Fatty Acyl	collagen-containing extracellular matrix [GO:0062023]	218.68
Fatty Acyl	extracellular space [GO:0005615]	218.68
