class	GO_CC	lig_vol
Glycerophospholipid	plasma membrane [GO:0005886]	340.49
Glycerophospholipid	type I protein secretion system complex [GO:0030256]	340.49
Glycerophospholipid	postsynaptic density membrane [GO:0098839]	691.91
Glycerophospholipid	postsynaptic membrane [GO:0045211]	691.91
Glycerophospholipid	perikaryon [GO:0043204]	691.91
Glycerophospholipid	membrane [GO:0016020]	691.91
Glycerophospholipid	AMPA glutamate receptor complex [GO:0032281]	691.91
Glycerophospholipid	presynaptic membrane [GO:0042734]	691.91
Glycerophospholipid	dendrite [GO:0030425]	691.91
Glycerophospholipid	glutamatergic synapse [GO:0098978]	691.91
Glycerophospholipid	neuron projection [GO:0043005]	691.91
Glycerophospholipid	perisynaptic space [GO:0099544]	691.91
Glycerophospholipid	spine synapse [GO:0106033]	691.91
Glycerophospholipid	dendritic shaft [GO:0043198]	691.91
Glycerophospholipid	dendritic spine [GO:0043197]	691.91
Glycerophospholipid	neuronal cell body [GO:0043025]	691.91
Glycerophospholipid	synaptic vesicle membrane [GO:0030672]	691.91
Glycerophospholipid	axon [GO:0030424]	691.91
Glycerophospholipid	dendritic spine neck [GO:0044326]	691.91
Glycerophospholipid	synaptic vesicle [GO:0008021]	691.91
Glycerophospholipid	somatodendritic compartment [GO:0036477]	691.91
Glycerophospholipid	synaptic membrane [GO:0097060]	691.91
Glycerophospholipid	terminal bouton [GO:0043195]	691.91
Glycerophospholipid	cell surface [GO:0009986]	691.91
Glycerophospholipid	dendritic spine head [GO:0044327]	691.91
Glycerophospholipid	plasma membrane [GO:0005886]	691.91
Glycerophospholipid	presynapse [GO:0098793]	691.91
Glycerophospholipid	growth cone [GO:0030426]	691.91
Glycerophospholipid	protein-containing complex [GO:0032991]	691.91
Glycerophospholipid	dendrite cytoplasm [GO:0032839]	691.91
Glycerophospholipid	endoplasmic reticulum membrane [GO:0005789]	691.91
Glycerophospholipid	presynaptic active zone membrane [GO:0048787]	691.91
Glycerophospholipid	dendrite membrane [GO:0032590]	691.91
Glycerophospholipid	ionotropic glutamate receptor complex [GO:0008328]	691.91
Glycerophospholipid	synapse [GO:0045202]	691.91
Glycerophospholipid	postsynaptic density [GO:0014069]	691.91
Glycerophospholipid	Schaffer collateral - CA1 synapse [GO:0098685]	691.91
