class	GO_CC	lig_vol
Glycerolipid	host cell cytoplasm [GO:0030430]	191.9
Glycerolipid	host cell cytoplasm [GO:0030430]	109.91
Glycerolipid	host cell cytoplasm [GO:0030430]	273.8
Glycerolipid	host cell cytoplasm [GO:0030430]	156.64
Glycerolipid	host cell cytoplasm [GO:0030430]	127.56
Glycerolipid	photosystem II [GO:0009523]	614.27
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	614.27
Glycerolipid	photosystem II [GO:0009523]	614.27
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	614.27
Glycerolipid	photosystem II [GO:0009523]	519.48
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	519.48
Glycerolipid	photosystem II [GO:0009523]	519.48
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	519.48
Glycerolipid	photosystem II [GO:0009523]	498.33
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	498.33
Glycerolipid	photosystem II [GO:0009523]	549.06
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	549.06
Glycerolipid	photosystem II [GO:0009523]	401.63
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	401.63
Glycerolipid	photosystem II [GO:0009523]	401.63
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	401.63
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	611.49
Glycerolipid	respiratory chain complex IV [GO:0045277]	611.49
Glycerolipid	photosystem II [GO:0009523]	587.24
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	587.24
Glycerolipid	photosystem II [GO:0009523]	587.24
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	587.24
Glycerolipid	photosystem II [GO:0009523]	637.89
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	637.89
Glycerolipid	photosystem II [GO:0009523]	637.89
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	637.89
Glycerolipid	photosystem II [GO:0009523]	858.27
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	858.27
Glycerolipid	photosystem II [GO:0009523]	858.27
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	858.27
Glycerolipid	photosystem II [GO:0009523]	489.43
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	489.43
Glycerolipid	photosystem II [GO:0009523]	489.43
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	489.43
Glycerolipid	photosystem II [GO:0009523]	488.82
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	488.82
Glycerolipid	photosystem II [GO:0009523]	488.82
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	488.82
Glycerolipid	photosystem II reaction center [GO:0009539]	545.9
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	545.9
Glycerolipid	photosystem II reaction center [GO:0009539]	545.9
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	545.9
Glycerolipid	photosystem II reaction center [GO:0009539]	523.74
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	523.74
Glycerolipid	photosystem II reaction center [GO:0009539]	523.74
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	523.74
Glycerolipid	photosystem II reaction center [GO:0009539]	496.14
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	496.14
Glycerolipid	photosystem II reaction center [GO:0009539]	496.14
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	496.14
Glycerolipid	photosystem II reaction center [GO:0009539]	655.0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	655.0
Glycerolipid	photosystem II reaction center [GO:0009539]	655.0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	655.0
Glycerolipid	photosystem II reaction center [GO:0009539]	747.5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	747.5
Glycerolipid	photosystem II reaction center [GO:0009539]	747.5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	747.5
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	734.91
Glycerolipid	respiratory chain complex IV [GO:0045277]	734.91
Glycerolipid	photosystem II reaction center [GO:0009539]	802.87
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	802.87
Glycerolipid	photosystem II reaction center [GO:0009539]	802.87
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	802.87
Glycerolipid	photosystem II reaction center [GO:0009539]	851.05
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	851.05
Glycerolipid	photosystem II reaction center [GO:0009539]	851.05
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	851.05
Glycerolipid	photosystem II reaction center [GO:0009539]	686.33
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	686.33
Glycerolipid	photosystem II reaction center [GO:0009539]	686.33
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	686.33
Glycerolipid	photosystem II reaction center [GO:0009539]	387.59
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	387.59
Glycerolipid	photosystem II reaction center [GO:0009539]	549.06
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	549.06
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	544.29
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	695.48
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	695.48
Glycerolipid	periplasmic space [GO:0042597]	248.28
Glycerolipid	periplasmic space [GO:0042597]	184.55
Glycerolipid	periplasmic space [GO:0042597]	211.93
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	1053.56
Glycerolipid	respiratory chain complex IV [GO:0045277]	1053.56
Glycerolipid	periplasmic space [GO:0042597]	199.17
Glycerolipid	periplasmic space [GO:0042597]	198.02
