class	GO_CC	lig_vol
Sphingolipid	astrocyte projection [GO:0097449]	454.96
Sphingolipid	axon [GO:0030424]	454.96
Sphingolipid	calyx of Held [GO:0044305]	454.96
Sphingolipid	neuronal cell body [GO:0043025]	454.96
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	451.99
Sphingolipid	serine C-palmitoyltransferase complex [GO:0017059]	451.99
Sphingolipid	extracellular space [GO:0005615]	535.46
Sphingolipid	lipopolysaccharide receptor complex [GO:0046696]	535.46
Sphingolipid	receptor complex [GO:0043235]	535.46
Sphingolipid	plasma membrane [GO:0005886]	535.46
Sphingolipid	cytoplasm [GO:0005737]	533.54
Sphingolipid	apical plasma membrane [GO:0016324]	459.63
Sphingolipid	gap junction [GO:0005921]	459.63
Sphingolipid	plasma membrane [GO:0005886]	459.63
Sphingolipid	endoplasmic reticulum [GO:0005783]	459.63
Sphingolipid	cytoplasm [GO:0005737]	283.41
Sphingolipid	membrane [GO:0016020]	532.37
Sphingolipid	cytosol [GO:0005829]	532.37
Sphingolipid	endoplasmic reticulum [GO:0005783]	532.37
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	532.37
Sphingolipid	endosome membrane [GO:0010008]	368.63
Sphingolipid	cytosol [GO:0005829]	368.63
Sphingolipid	plasma membrane [GO:0005886]	368.63
Sphingolipid	nuclear outer membrane [GO:0005640]	368.63
Sphingolipid	Golgi apparatus [GO:0005794]	368.63
Sphingolipid	endosome membrane [GO:0010008]	186.59
Sphingolipid	cytosol [GO:0005829]	186.59
Sphingolipid	plasma membrane [GO:0005886]	186.59
Sphingolipid	nuclear outer membrane [GO:0005640]	186.59
Sphingolipid	Golgi apparatus [GO:0005794]	186.59
Sphingolipid	plasma membrane [GO:0005886]	306.06
Sphingolipid	membrane [GO:0016020]	306.06
Sphingolipid	endosome membrane [GO:0010008]	306.06
Sphingolipid	membrane [GO:0016020]	625.88
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	625.88
Sphingolipid	endoplasmic reticulum [GO:0005783]	625.88
Sphingolipid	vacuole [GO:0005773]	625.88
Sphingolipid	extracellular region [GO:0005576]	127.58
Sphingolipid	cytosol [GO:0005829]	548.59
Sphingolipid	clathrin-coated pit [GO:0005905]	291.97
Sphingolipid	membrane [GO:0016020]	291.97
Sphingolipid	cytosol [GO:0005829]	291.97
Sphingolipid	endocytic vesicle [GO:0030139]	291.97
Sphingolipid	cytoplasm [GO:0005737]	291.97
Sphingolipid	plasma membrane [GO:0005886]	291.97
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	291.97
Sphingolipid	presynapse [GO:0098793]	291.97
