class	hydrophobicity_score
Sterol	61.43
Sterol	46.78
Sterol	53.76
Sterol	79.38
Sterol	34.26
Sterol	65.33
Sterol	48.67
Sterol	26.89
Sterol	49.33
Sterol	90.75
Sterol	79.81
Sterol	62.0
Sterol	38.86
Sterol	46.6
Sterol	57.9
Sterol	66.05
Sterol	49.86
Sterol	64.0
Sterol	53.75
Sterol	51.67
Sterol	93.5
Sterol	98.0
Sterol	48.78
Sterol	20.83
Sterol	58.38
Sterol	40.33
Sterol	60.42
Sterol	22.25
Sterol	60.75
Sterol	72.8
Sterol	62.62
Sterol	79.27
Sterol	6.9
Sterol	60.75
Sterol	57.86
Sterol	4.5
Sterol	90.67
Sterol	42.0
Sterol	64.6
Sterol	45.67
Sterol	44.58
Sterol	58.0
Sterol	37.19
Sterol	38.83
Sterol	56.6
Sterol	84.8
Sterol	50.67
Sterol	60.97
Sterol	100.0
Sterol	57.22
Sterol	50.0
Sterol	97.0
Sterol	71.27
Sterol	39.08
Sterol	64.71
Sterol	68.12
Sterol	38.83
Sterol	64.16
Sterol	48.54
Sterol	63.19
Sterol	47.16
Sterol	67.15
Sterol	40.32
Sterol	34.56
Sterol	59.65
Sterol	24.6
Sterol	4.8
Sterol	33.5
Sterol	41.78
Sterol	38.06
Sterol	68.09
Sterol	68.18
Sterol	61.31
Sterol	73.0
Sterol	35.17
Sterol	23.11
Sterol	35.8
Sterol	76.33
Sterol	52.38
Sterol	53.5
Sterol	60.75
Sterol	75.43
Sterol	83.11
Sterol	60.75
Sterol	62.33
Sterol	79.17
Sterol	0.0
Sterol	64.78
Sterol	25.86
Sterol	31.79
Sterol	61.15
Sterol	64.17
Sterol	61.36
Sterol	0.0
Sterol	55.88
Sterol	81.0
Sterol	25.86
Sterol	41.41
Sterol	35.09
Sterol	36.08
Sterol	41.75
Sterol	64.73
Sterol	53.9
Sterol	79.38
Sterol	55.5
Sterol	57.15
Sterol	50.59
Sterol	58.79
Sterol	75.25
Sterol	38.22
Sterol	73.5
Sterol	34.4
Sterol	43.62
Sterol	54.41
Sterol	55.08
Sterol	28.74
Sterol	52.42
Sterol	55.5
Sterol	50.83
Sterol	24.0
Sterol	59.21
Sterol	44.77
Sterol	47.53
Sterol	75.0
Sterol	44.33
Sterol	23.4
Sterol	67.0
Sterol	58.3
Sterol	65.58
Sterol	39.7
Sterol	43.89
Sterol	41.56
Sterol	73.2
Sterol	35.09
Sterol	50.0
Sterol	67.19
Sterol	70.56
Sterol	34.4
Sterol	76.55
Sterol	84.33
Sterol	19.33
Sterol	72.56
Sterol	66.5
Sterol	63.12
Sterol	73.82
Sterol	62.93
Sterol	60.75
Sterol	35.94
Sterol	21.0
Sterol	35.09
Sterol	2.33
Sterol	20.45
Sterol	35.09
Sterol	77.5
Sterol	18.06
Sterol	53.2
Sterol	35.09
Sterol	2.33
Sterol	85.67
Sterol	28.93
Sterol	49.86
Sterol	89.91
Sterol	39.86
Sterol	61.37
Sterol	35.58
Sterol	61.57
Sterol	51.0
Sterol	50.33
Sterol	31.0
Sterol	39.19
Sterol	76.88
Sterol	64.86
Sterol	61.33
Sterol	32.73
Sterol	37.6
Sterol	71.53
Sterol	82.33
Sterol	46.13
Sterol	84.5
Sterol	47.6
Sterol	35.09
Sterol	78.9
Sterol	69.94
Sterol	52.38
Sterol	61.2
Sterol	43.88
Sterol	53.5
Sterol	73.22
Sterol	49.86
Sterol	59.17
Sterol	39.4
Sterol	54.56
Sterol	74.48
Sterol	58.22
Sterol	34.4
Sterol	63.57
Sterol	54.52
Sterol	61.22
Sterol	37.8
Sterol	20.83
Sterol	15.93
Sterol	50.0
Sterol	20.83
Sterol	35.0
Sterol	0.0
Sterol	51.27
Sterol	0.0
Sterol	35.75
Sterol	49.86
Sterol	36.1
Sterol	40.5
Sterol	3.75
Sterol	80.0
Sterol	60.2
Sterol	59.17
Sterol	98.67
Sterol	42.0
Sterol	60.0
Sterol	70.4
Sterol	68.44
Sterol	43.14
Sterol	38.7
Sterol	94.33
Sterol	27.88
Sterol	0.0
Sterol	45.3
Sterol	81.25
Sterol	71.56
