class	GO_CC	hydrophobicity_score
Fatty Acyl	amylin receptor complex 1 [GO:0150056]	62.4
Fatty Acyl	axon [GO:0030424]	62.4
Fatty Acyl	acrosomal vesicle [GO:0001669]	62.4
Fatty Acyl	apical plasma membrane [GO:0016324]	74.5
Fatty Acyl	astrocyte projection [GO:0097449]	74.5
Fatty Acyl	cell surface [GO:0009986]	74.5
Fatty Acyl	plasma membrane [GO:0005886]	74.5
Fatty Acyl	voltage-gated potassium channel complex [GO:0008076]	74.5
Fatty Acyl	calyx of Held [GO:0044305]	74.5
Fatty Acyl	Schaffer collateral - CA1 synapse [GO:0098685]	74.5
Fatty Acyl	neuronal cell body [GO:0043025]	74.5
Fatty Acyl	axon [GO:0030424]	74.5
Fatty Acyl	axon terminus [GO:0043679]	74.5
Fatty Acyl	postsynapse [GO:0098794]	74.5
Fatty Acyl	endoplasmic reticulum [GO:0005783]	74.5
Fatty Acyl	extracellular exosome [GO:0070062]	36.9
Fatty Acyl	cytoplasm [GO:0005737]	36.9
Fatty Acyl	protein-containing complex [GO:0032991]	36.9
Fatty Acyl	blood microparticle [GO:0072562]	36.9
Fatty Acyl	Golgi apparatus [GO:0005794]	36.9
Fatty Acyl	endoplasmic reticulum lumen [GO:0005788]	36.9
Fatty Acyl	extracellular region [GO:0005576]	36.9
Fatty Acyl	platelet alpha granule lumen [GO:0031093]	36.9
Fatty Acyl	extracellular space [GO:0005615]	36.9
Fatty Acyl	nucleus [GO:0005634]	36.9
Fatty Acyl	endoplasmic reticulum [GO:0005783]	36.9
Fatty Acyl	plasma membrane [GO:0005886]	63.57
Fatty Acyl	extracellular space [GO:0005615]	0.0
Fatty Acyl	cytosol [GO:0005829]	74.9
Fatty Acyl	fascia adherens [GO:0005916]	74.9
Fatty Acyl	contractile fiber [GO:0043292]	74.9
Fatty Acyl	Golgi membrane [GO:0000139]	74.9
Fatty Acyl	intercalated disc [GO:0014704]	74.9
Fatty Acyl	connexin complex [GO:0005922]	74.9
Fatty Acyl	focal adhesion [GO:0005925]	74.9
Fatty Acyl	Golgi-associated vesicle membrane [GO:0030660]	74.9
Fatty Acyl	apical plasma membrane [GO:0016324]	74.9
Fatty Acyl	plasma membrane [GO:0005886]	74.9
Fatty Acyl	intracellular membrane-bounded organelle [GO:0043231]	74.9
Fatty Acyl	membrane raft [GO:0045121]	74.9
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	74.9
Fatty Acyl	lateral plasma membrane [GO:0016328]	74.9
Fatty Acyl	tight junction [GO:0070160]	74.9
Fatty Acyl	cytoplasm [GO:0005737]	74.9
Fatty Acyl	Golgi apparatus [GO:0005794]	74.9
Fatty Acyl	mitochondrion [GO:0005739]	74.9
Fatty Acyl	cell junction [GO:0030054]	74.9
Fatty Acyl	gap junction [GO:0005921]	74.9
Fatty Acyl	intermediate filament [GO:0005882]	74.9
Fatty Acyl	cell-cell contact zone [GO:0044291]	74.9
Fatty Acyl	nucleoplasm [GO:0005654]	74.9
Fatty Acyl	nucleus [GO:0005634]	74.9
Fatty Acyl	membrane [GO:0016020]	62.25
Fatty Acyl	cytoplasmic vesicle [GO:0031410]	38.57
Fatty Acyl	extracellular region [GO:0005576]	38.57
Fatty Acyl	sigma factor antagonist complex [GO:1903865]	9.41
Fatty Acyl	plasma membrane [GO:0005886]	9.41
Fatty Acyl	outer membrane-bounded periplasmic space [GO:0030288]	9.41
Fatty Acyl	extracellular region [GO:0005576]	-0.8
Fatty Acyl	cytosol [GO:0005829]	-0.8
Fatty Acyl	plasma membrane [GO:0005886]	-0.8
Fatty Acyl	focal adhesion [GO:0005925]	57.82
Fatty Acyl	extracellular region [GO:0005576]	57.82
