class	GO_CC	hydrophobicity_score
Sphingolipid	endoplasmic reticulum [GO:0005783]	60.61
Sphingolipid	cytoplasm [GO:0005737]	60.61
Sphingolipid	endosome membrane [GO:0010008]	60.61
Sphingolipid	basolateral plasma membrane [GO:0016323]	60.61
Sphingolipid	lysosome [GO:0005764]	60.61
Sphingolipid	early endosome [GO:0005769]	60.61
Sphingolipid	plasma membrane [GO:0005886]	60.61
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	60.61
Sphingolipid	extracellular space [GO:0005615]	60.61
Sphingolipid	external side of plasma membrane [GO:0009897]	60.61
Sphingolipid	lysosomal membrane [GO:0005765]	60.61
Sphingolipid	cell surface [GO:0009986]	60.61
Sphingolipid	endosome membrane [GO:0010008]	62.11
Sphingolipid	cytosol [GO:0005829]	62.11
Sphingolipid	plasma membrane [GO:0005886]	62.11
Sphingolipid	nuclear outer membrane [GO:0005640]	62.11
Sphingolipid	Golgi apparatus [GO:0005794]	62.11
Sphingolipid	plasma membrane [GO:0005886]	56.54
Sphingolipid	membrane [GO:0016020]	56.54
Sphingolipid	endosome membrane [GO:0010008]	56.54
Sphingolipid	membrane [GO:0016020]	48.56
Sphingolipid	cytosol [GO:0005829]	48.56
Sphingolipid	endoplasmic reticulum [GO:0005783]	48.56
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	48.56
Sphingolipid	late endosome [GO:0005770]	57.28
Sphingolipid	endoplasmic reticulum [GO:0005783]	57.28
Sphingolipid	cytoplasm [GO:0005737]	57.28
Sphingolipid	endosome membrane [GO:0010008]	57.28
Sphingolipid	lysosome [GO:0005764]	57.28
Sphingolipid	early endosome [GO:0005769]	57.28
Sphingolipid	extracellular space [GO:0005615]	57.28
Sphingolipid	external side of plasma membrane [GO:0009897]	57.28
Sphingolipid	lysosomal membrane [GO:0005765]	57.28
Sphingolipid	cell surface [GO:0009986]	57.28
Sphingolipid	axon terminus [GO:0043679]	54.13
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	54.13
Sphingolipid	endoplasmic reticulum [GO:0005783]	54.13
Sphingolipid	cell surface [GO:0009986]	54.13
Sphingolipid	apical plasma membrane [GO:0016324]	54.13
Sphingolipid	plasma membrane [GO:0005886]	54.13
Sphingolipid	astrocyte projection [GO:0097449]	54.13
Sphingolipid	axon [GO:0030424]	54.13
Sphingolipid	calyx of Held [GO:0044305]	54.13
Sphingolipid	neuronal cell body [GO:0043025]	54.13
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	72.6
Sphingolipid	serine C-palmitoyltransferase complex [GO:0017059]	72.6
Sphingolipid	extracellular space [GO:0005615]	69.95
Sphingolipid	lipopolysaccharide receptor complex [GO:0046696]	69.95
Sphingolipid	receptor complex [GO:0043235]	69.95
Sphingolipid	plasma membrane [GO:0005886]	69.95
Sphingolipid	cytoplasm [GO:0005737]	46.17
Sphingolipid	apical plasma membrane [GO:0016324]	49.5
Sphingolipid	gap junction [GO:0005921]	49.5
Sphingolipid	plasma membrane [GO:0005886]	49.5
Sphingolipid	endoplasmic reticulum [GO:0005783]	49.5
Sphingolipid	cytoplasm [GO:0005737]	67.71
Sphingolipid	membrane [GO:0016020]	52.32
Sphingolipid	cytosol [GO:0005829]	52.32
Sphingolipid	endoplasmic reticulum [GO:0005783]	52.32
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	52.32
Sphingolipid	endosome membrane [GO:0010008]	56.55
Sphingolipid	cytosol [GO:0005829]	56.55
Sphingolipid	plasma membrane [GO:0005886]	56.55
Sphingolipid	nuclear outer membrane [GO:0005640]	56.55
Sphingolipid	Golgi apparatus [GO:0005794]	56.55
Sphingolipid	endosome membrane [GO:0010008]	42.33
Sphingolipid	cytosol [GO:0005829]	42.33
Sphingolipid	plasma membrane [GO:0005886]	42.33
Sphingolipid	nuclear outer membrane [GO:0005640]	42.33
Sphingolipid	Golgi apparatus [GO:0005794]	42.33
Sphingolipid	plasma membrane [GO:0005886]	51.38
Sphingolipid	membrane [GO:0016020]	51.38
Sphingolipid	endosome membrane [GO:0010008]	51.38
Sphingolipid	membrane [GO:0016020]	63.23
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	63.23
Sphingolipid	endoplasmic reticulum [GO:0005783]	63.23
Sphingolipid	vacuole [GO:0005773]	63.23
Sphingolipid	extracellular region [GO:0005576]	10.61
Sphingolipid	cytosol [GO:0005829]	57.97
Sphingolipid	clathrin-coated pit [GO:0005905]	59.54
Sphingolipid	membrane [GO:0016020]	59.54
Sphingolipid	cytosol [GO:0005829]	59.54
Sphingolipid	endocytic vesicle [GO:0030139]	59.54
Sphingolipid	cytoplasm [GO:0005737]	59.54
Sphingolipid	plasma membrane [GO:0005886]	59.54
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	59.54
Sphingolipid	presynapse [GO:0098793]	59.54
Sphingolipid	nucleoplasm [GO:0005654]	59.54
Sphingolipid	early endosome membrane [GO:0031901]	59.54
Sphingolipid	nucleus [GO:0005634]	59.54
Sphingolipid	plasma membrane [GO:0005886]	-19.55
Sphingolipid	alpha-beta T cell receptor complex [GO:0042105]	-19.55
Sphingolipid	late endosome [GO:0005770]	58.56
Sphingolipid	endoplasmic reticulum [GO:0005783]	58.56
Sphingolipid	cytoplasm [GO:0005737]	58.56
Sphingolipid	endosome membrane [GO:0010008]	58.56
Sphingolipid	lysosome [GO:0005764]	58.56
Sphingolipid	early endosome [GO:0005769]	58.56
Sphingolipid	extracellular space [GO:0005615]	58.56
Sphingolipid	external side of plasma membrane [GO:0009897]	58.56
Sphingolipid	lysosomal membrane [GO:0005765]	58.56
Sphingolipid	cell surface [GO:0009986]	58.56
Sphingolipid	apical plasma membrane [GO:0016324]	53.2
Sphingolipid	astrocyte projection [GO:0097449]	53.2
Sphingolipid	cell surface [GO:0009986]	53.2
Sphingolipid	plasma membrane [GO:0005886]	53.2
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	53.2
Sphingolipid	calyx of Held [GO:0044305]	53.2
Sphingolipid	Schaffer collateral - CA1 synapse [GO:0098685]	53.2
Sphingolipid	neuronal cell body [GO:0043025]	53.2
Sphingolipid	axon [GO:0030424]	53.2
Sphingolipid	axon terminus [GO:0043679]	53.2
Sphingolipid	postsynapse [GO:0098794]	53.2
Sphingolipid	endoplasmic reticulum [GO:0005783]	53.2
Sphingolipid	apical plasma membrane [GO:0016324]	87.0
Sphingolipid	gap junction [GO:0005921]	87.0
Sphingolipid	plasma membrane [GO:0005886]	87.0
Sphingolipid	endoplasmic reticulum [GO:0005783]	87.0
Sphingolipid	cytosol [GO:0005829]	33.15
Sphingolipid	nucleoplasm [GO:0005654]	33.15
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	33.15
Sphingolipid	mitochondrion [GO:0005739]	33.15
Sphingolipid	Golgi apparatus [GO:0005794]	33.15
Sphingolipid	axon terminus [GO:0043679]	56.81
Sphingolipid	voltage-gated potassium channel complex [GO:0008076]	56.81
Sphingolipid	endoplasmic reticulum [GO:0005783]	56.81
Sphingolipid	cell surface [GO:0009986]	56.81
Sphingolipid	apical plasma membrane [GO:0016324]	56.81
Sphingolipid	plasma membrane [GO:0005886]	56.81
Sphingolipid	astrocyte projection [GO:0097449]	56.81
Sphingolipid	axon [GO:0030424]	56.81
Sphingolipid	calyx of Held [GO:0044305]	56.81
Sphingolipid	neuronal cell body [GO:0043025]	56.81
Sphingolipid	recycling endosome [GO:0055037]	63.6
Sphingolipid	endosome [GO:0005768]	63.6
Sphingolipid	Golgi membrane [GO:0000139]	63.6
Sphingolipid	plasma membrane [GO:0005886]	63.6
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	63.6
Sphingolipid	mitochondrion [GO:0005739]	63.6
Sphingolipid	external side of plasma membrane [GO:0009897]	63.6
Sphingolipid	Golgi apparatus [GO:0005794]	63.6
Sphingolipid	membrane [GO:0016020]	49.76
Sphingolipid	cytosol [GO:0005829]	49.76
Sphingolipid	endoplasmic reticulum [GO:0005783]	49.76
Sphingolipid	endoplasmic reticulum membrane [GO:0005789]	49.76
Sphingolipid	membrane raft [GO:0045121]	49.4
Sphingolipid	endosome membrane [GO:0010008]	49.4
Sphingolipid	plasma membrane [GO:0005886]	49.4
Sphingolipid	extracellular space [GO:0005615]	49.4
Sphingolipid	external side of plasma membrane [GO:0009897]	49.4
Sphingolipid	apical plasma membrane [GO:0016324]	83.13
Sphingolipid	gap junction [GO:0005921]	83.13
Sphingolipid	plasma membrane [GO:0005886]	83.13
Sphingolipid	endoplasmic reticulum [GO:0005783]	83.13
Sphingolipid	cytoplasm [GO:0005737]	52.24
Sphingolipid	plasma membrane [GO:0005886]	55.61
Sphingolipid	cytoplasm [GO:0005737]	55.61
