class	GO_CC	hydrophobicity_score
Glycerophospholipid	dendritic spine head [GO:0044327]	31.07
Glycerophospholipid	plasma membrane [GO:0005886]	31.07
Glycerophospholipid	presynapse [GO:0098793]	31.07
Glycerophospholipid	growth cone [GO:0030426]	31.07
Glycerophospholipid	protein-containing complex [GO:0032991]	31.07
Glycerophospholipid	dendrite cytoplasm [GO:0032839]	31.07
Glycerophospholipid	endoplasmic reticulum membrane [GO:0005789]	31.07
Glycerophospholipid	presynaptic active zone membrane [GO:0048787]	31.07
Glycerophospholipid	dendrite membrane [GO:0032590]	31.07
Glycerophospholipid	ionotropic glutamate receptor complex [GO:0008328]	31.07
Glycerophospholipid	synapse [GO:0045202]	31.07
Glycerophospholipid	postsynaptic density [GO:0014069]	31.07
Glycerophospholipid	Schaffer collateral - CA1 synapse [GO:0098685]	31.07
Glycerophospholipid	asymmetric synapse [GO:0032279]	31.07
Glycerophospholipid	endoplasmic reticulum [GO:0005783]	31.07
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	72.78
Glycerophospholipid	photosystem II [GO:0009523]	62.86
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	62.86
Glycerophospholipid	photosystem II [GO:0009523]	62.86
Glycerophospholipid	chloroplast thylakoid membrane [GO:0009535]	62.86
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	53.62
Glycerophospholipid	mitochondrion [GO:0005739]	57.62
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	57.62
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	57.62
Glycerophospholipid	photosystem II [GO:0009523]	50.92
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	50.92
Glycerophospholipid	photosystem II [GO:0009523]	50.92
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	50.92
Glycerophospholipid	photosystem II [GO:0009523]	53.91
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	53.91
Glycerophospholipid	photosystem II [GO:0009523]	53.91
Glycerophospholipid	plasma membrane-derived thylakoid membrane [GO:0031676]	53.91
Glycerophospholipid	mitochondrion [GO:0005739]	74.4
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	74.4
Glycerophospholipid	cytoplasm [GO:0005737]	74.4
Glycerophospholipid	mitochondrial respirasome [GO:0005746]	74.4
Glycerophospholipid	nucleoplasm [GO:0005654]	74.4
Glycerophospholipid	mitochondrion [GO:0005739]	41.22
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	36.22
Glycerophospholipid	membrane [GO:0016020]	59.83
Glycerophospholipid	methane monooxygenase complex [GO:0015050]	59.83
Glycerophospholipid	mitochondrial inner membrane [GO:0005743]	56.4
Glycerophospholipid	mitochondrial respiratory chain complex I [GO:0005747]	56.4
Glycerophospholipid	mitochondrial respiratory chain complex IV [GO:0005751]	57.07
