class	GO_CC	hydrophobicity_score
Polyketide	protein-containing complex [GO:0032991]	56.43
Polyketide	endocytic vesicle membrane [GO:0030666]	56.43
Polyketide	cytosol [GO:0005829]	56.43
Polyketide	transcription repressor complex [GO:0017053]	56.43
Polyketide	nucleoplasm [GO:0005654]	56.43
Polyketide	plasma membrane [GO:0005886]	56.43
Polyketide	nucleus [GO:0005634]	56.43
Polyketide	cytoplasm [GO:0005737]	56.43
Polyketide	nucleolus [GO:0005730]	56.43
Polyketide	protein-containing complex [GO:0032991]	62.17
Polyketide	cytosol [GO:0005829]	62.17
Polyketide	nucleoplasm [GO:0005654]	62.17
Polyketide	membrane [GO:0016020]	62.17
Polyketide	plasma membrane [GO:0005886]	62.17
Polyketide	euchromatin [GO:0000791]	62.17
Polyketide	chromatin [GO:0000785]	62.17
Polyketide	transcription regulator complex [GO:0005667]	62.17
Polyketide	nucleus [GO:0005634]	62.17
Polyketide	cytoplasm [GO:0005737]	62.17
Polyketide	Golgi apparatus [GO:0005794]	62.17
Polyketide	chromosome [GO:0005694]	13.45
Polyketide	cytoplasm [GO:0005737]	13.45
Polyketide	protein-containing complex [GO:0032991]	61.39
Polyketide	cytosol [GO:0005829]	61.39
Polyketide	nucleoplasm [GO:0005654]	61.39
Polyketide	membrane [GO:0016020]	61.39
Polyketide	plasma membrane [GO:0005886]	61.39
Polyketide	euchromatin [GO:0000791]	61.39
Polyketide	chromatin [GO:0000785]	61.39
Polyketide	transcription regulator complex [GO:0005667]	61.39
Polyketide	nucleus [GO:0005634]	61.39
Polyketide	cytoplasm [GO:0005737]	61.39
Polyketide	Golgi apparatus [GO:0005794]	61.39
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	65.8
Polyketide	nucleoplasm [GO:0005654]	65.8
Polyketide	mitochondrion [GO:0005739]	65.8
Polyketide	chromatin [GO:0000785]	65.8
Polyketide	nucleus [GO:0005634]	65.8
Polyketide	host cell nucleus [GO:0042025]	15.75
Polyketide	host cell cytoplasm [GO:0030430]	15.75
Polyketide	cell body [GO:0044297]	0.58
Polyketide	actin filament [GO:0005884]	0.58
Polyketide	skeletal muscle myofibril [GO:0098723]	0.58
Polyketide	stress fiber [GO:0001725]	0.58
