class	GO_CC	hydrophobicity_score
Saccharolipid	mitochondrial membrane [GO:0031966]	26.94
Saccharolipid	cytosol [GO:0005829]	26.94
Saccharolipid	glutamatergic synapse [GO:0098978]	26.94
Saccharolipid	histone acetyltransferase complex [GO:0000123]	26.94
Saccharolipid	plasma membrane [GO:0005886]	26.94
Saccharolipid	nucleoplasm [GO:0005654]	26.94
Saccharolipid	NSL complex [GO:0044545]	26.94
Saccharolipid	protein-containing complex [GO:0032991]	26.94
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	26.94
Saccharolipid	cell projection [GO:0042995]	26.94
Saccharolipid	nucleus [GO:0005634]	26.94
Saccharolipid	plasma membrane [GO:0005886]	4.17
Saccharolipid	plasma membrane [GO:0005886]	5.93
Saccharolipid	membrane [GO:0016020]	19.52
Saccharolipid	extracellular region [GO:0005576]	19.52
Saccharolipid	host cell plasma membrane [GO:0020002]	19.52
Saccharolipid	membrane [GO:0016020]	25.33
Saccharolipid	extracellular region [GO:0005576]	25.33
Saccharolipid	host cell plasma membrane [GO:0020002]	25.33
Saccharolipid	mitochondrial membrane [GO:0031966]	26.73
Saccharolipid	cytosol [GO:0005829]	26.73
Saccharolipid	glutamatergic synapse [GO:0098978]	26.73
Saccharolipid	histone acetyltransferase complex [GO:0000123]	26.73
Saccharolipid	plasma membrane [GO:0005886]	26.73
Saccharolipid	nucleoplasm [GO:0005654]	26.73
Saccharolipid	NSL complex [GO:0044545]	26.73
Saccharolipid	protein-containing complex [GO:0032991]	26.73
Saccharolipid	protein N-acetylglucosaminyltransferase complex [GO:0017122]	26.73
Saccharolipid	cell projection [GO:0042995]	26.73
Saccharolipid	nucleus [GO:0005634]	26.73
Saccharolipid	cytoplasm [GO:0005737]	-10.38
Saccharolipid	extracellular region [GO:0005576]	13.56
Saccharolipid	cytoplasm [GO:0005737]	17.19
Saccharolipid	cytoplasm [GO:0005737]	19.47
Saccharolipid	cytoplasm [GO:0005737]	14.94
Saccharolipid	cytoplasm [GO:0005737]	18.79
Saccharolipid	cytoplasm [GO:0005737]	35.04
Saccharolipid	cytoplasm [GO:0005737]	10.82
Saccharolipid	cytoplasm [GO:0005737]	31.85
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	31.85
Saccharolipid	cytoplasm [GO:0005737]	33.76
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	33.76
Saccharolipid	cytoplasm [GO:0005737]	31.15
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	31.15
Saccharolipid	cytoplasm [GO:0005737]	31.72
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	31.72
Saccharolipid	cytoplasm [GO:0005737]	29.37
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	29.37
Saccharolipid	cytoplasm [GO:0005737]	28.64
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	28.64
Saccharolipid	membrane [GO:0016020]	25.85
Saccharolipid	membrane [GO:0016020]	25.85
Saccharolipid	cytoplasm [GO:0005737]	6.29
Saccharolipid	cytoplasm [GO:0005737]	5.21
Saccharolipid	cytoplasm [GO:0005737]	9.0
Saccharolipid	cytoplasm [GO:0005737]	40.19
Saccharolipid	cytoplasm [GO:0005737]	18.38
Saccharolipid	cytoplasm [GO:0005737]	9.45
Saccharolipid	cytoplasm [GO:0005737]	42.18
Saccharolipid	cytoplasm [GO:0005737]	6.29
Saccharolipid	cytoplasm [GO:0005737]	5.21
Saccharolipid	host cell [GO:0043657]	13.63
Saccharolipid	extracellular region [GO:0005576]	13.63
Saccharolipid	host cell Golgi apparatus [GO:0044177]	13.63
Saccharolipid	host cell [GO:0043657]	0.0
Saccharolipid	extracellular region [GO:0005576]	0.0
Saccharolipid	host cell Golgi apparatus [GO:0044177]	0.0
Saccharolipid	host cell [GO:0043657]	13.63
Saccharolipid	extracellular region [GO:0005576]	13.63
Saccharolipid	host cell Golgi apparatus [GO:0044177]	13.63
Saccharolipid	host cell [GO:0043657]	-41.5
Saccharolipid	extracellular region [GO:0005576]	-41.5
Saccharolipid	host cell Golgi apparatus [GO:0044177]	-41.5
Saccharolipid	host cell [GO:0043657]	11.3
Saccharolipid	extracellular region [GO:0005576]	11.3
Saccharolipid	host cell Golgi apparatus [GO:0044177]	11.3
Saccharolipid	host cell [GO:0043657]	11.36
Saccharolipid	extracellular region [GO:0005576]	11.36
Saccharolipid	host cell Golgi apparatus [GO:0044177]	11.36
Saccharolipid	receptor complex [GO:0043235]	62.44
Saccharolipid	extracellular region [GO:0005576]	62.44
Saccharolipid	plasma membrane [GO:0005886]	62.44
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	62.44
Saccharolipid	receptor complex [GO:0043235]	67.29
Saccharolipid	extracellular region [GO:0005576]	67.29
Saccharolipid	plasma membrane [GO:0005886]	67.29
Saccharolipid	lipopolysaccharide receptor complex [GO:0046696]	67.29
Saccharolipid	cytoplasm [GO:0005737]	26.78
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	26.78
Saccharolipid	mitochondrial intermembrane space [GO:0005758]	21.05
Saccharolipid	respirasome [GO:0070469]	21.05
Saccharolipid	mitochondrion [GO:0005739]	21.05
Saccharolipid	mitochondrial intermembrane space [GO:0005758]	14.28
Saccharolipid	respirasome [GO:0070469]	14.28
Saccharolipid	mitochondrion [GO:0005739]	14.28
Saccharolipid	tertiary granule membrane [GO:0070821]	16.42
Saccharolipid	nucleoplasm [GO:0005654]	16.42
Saccharolipid	plasma membrane [GO:0005886]	16.42
Saccharolipid	peroxisome [GO:0005777]	16.42
Saccharolipid	specific granule membrane [GO:0035579]	16.42
Saccharolipid	external side of plasma membrane [GO:0009897]	16.42
Saccharolipid	cell surface [GO:0009986]	16.42
Saccharolipid	Golgi apparatus [GO:0005794]	16.42
Saccharolipid	tertiary granule membrane [GO:0070821]	13.41
Saccharolipid	nucleoplasm [GO:0005654]	13.41
Saccharolipid	plasma membrane [GO:0005886]	13.41
Saccharolipid	peroxisome [GO:0005777]	13.41
Saccharolipid	specific granule membrane [GO:0035579]	13.41
Saccharolipid	external side of plasma membrane [GO:0009897]	13.41
Saccharolipid	cell surface [GO:0009986]	13.41
Saccharolipid	Golgi apparatus [GO:0005794]	13.41
Saccharolipid	tertiary granule membrane [GO:0070821]	22.91
Saccharolipid	nucleoplasm [GO:0005654]	22.91
Saccharolipid	plasma membrane [GO:0005886]	22.91
Saccharolipid	peroxisome [GO:0005777]	22.91
Saccharolipid	specific granule membrane [GO:0035579]	22.91
Saccharolipid	external side of plasma membrane [GO:0009897]	22.91
Saccharolipid	cell surface [GO:0009986]	22.91
Saccharolipid	Golgi apparatus [GO:0005794]	22.91
Saccharolipid	tertiary granule membrane [GO:0070821]	13.22
Saccharolipid	nucleoplasm [GO:0005654]	13.22
Saccharolipid	plasma membrane [GO:0005886]	13.22
Saccharolipid	peroxisome [GO:0005777]	13.22
Saccharolipid	specific granule membrane [GO:0035579]	13.22
Saccharolipid	external side of plasma membrane [GO:0009897]	13.22
Saccharolipid	cell surface [GO:0009986]	13.22
Saccharolipid	Golgi apparatus [GO:0005794]	13.22
Saccharolipid	membrane raft [GO:0045121]	-11.19
Saccharolipid	cortical cytoskeleton [GO:0030863]	-11.19
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	-11.19
Saccharolipid	clathrin-coated pit [GO:0005905]	-11.19
Saccharolipid	plasma membrane [GO:0005886]	-11.19
Saccharolipid	caveola [GO:0005901]	-11.19
Saccharolipid	extracellular space [GO:0005615]	-11.19
Saccharolipid	external side of plasma membrane [GO:0009897]	-11.19
Saccharolipid	external side of plasma membrane [GO:0009897]	9.29
Saccharolipid	apical plasma membrane [GO:0016324]	9.29
Saccharolipid	cell surface [GO:0009986]	9.29
Saccharolipid	extracellular region [GO:0005576]	9.29
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	9.29
Saccharolipid	external side of plasma membrane [GO:0009897]	7.03
Saccharolipid	apical plasma membrane [GO:0016324]	7.03
Saccharolipid	cell surface [GO:0009986]	7.03
Saccharolipid	extracellular region [GO:0005576]	7.03
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	7.03
Saccharolipid	membrane [GO:0016020]	12.81
Saccharolipid	intracellular membrane-bounded organelle [GO:0043231]	12.81
Saccharolipid	endoplasmic reticulum membrane [GO:0005789]	12.81
Saccharolipid	cytosol [GO:0005829]	22.91
Saccharolipid	cytoplasm [GO:0005737]	22.91
Saccharolipid	cytosol [GO:0005829]	24.41
Saccharolipid	cytoplasm [GO:0005737]	24.41
Saccharolipid	cytosol [GO:0005829]	22.91
Saccharolipid	cytoplasm [GO:0005737]	22.91
Saccharolipid	cytosol [GO:0005829]	23.95
Saccharolipid	cytoplasm [GO:0005737]	23.95
Saccharolipid	cytoplasm [GO:0005737]	27.91
Saccharolipid	extrinsic component of plasma membrane [GO:0019897]	27.91
Saccharolipid	cytoplasm [GO:0005737]	14.17
Saccharolipid	outer membrane [GO:0019867]	57.08
Saccharolipid	cell outer membrane [GO:0009279]	57.08
Saccharolipid	extracellular exosome [GO:0070062]	4.8
Saccharolipid	cytosol [GO:0005829]	4.8
Saccharolipid	extracellular exosome [GO:0070062]	5.58
Saccharolipid	cytosol [GO:0005829]	5.58
Saccharolipid	extracellular exosome [GO:0070062]	9.5
Saccharolipid	cytosol [GO:0005829]	9.5
Saccharolipid	extracellular exosome [GO:0070062]	2.8
Saccharolipid	cytosol [GO:0005829]	2.8
Saccharolipid	extracellular exosome [GO:0070062]	5.83
Saccharolipid	cytosol [GO:0005829]	5.83
Saccharolipid	extracellular exosome [GO:0070062]	2.55
Saccharolipid	cytosol [GO:0005829]	2.55
Saccharolipid	cytosol [GO:0005829]	16.42
Saccharolipid	plasma membrane [GO:0005886]	16.42
Saccharolipid	nucleoplasm [GO:0005654]	16.42
Saccharolipid	cytosol [GO:0005829]	14.45
Saccharolipid	plasma membrane [GO:0005886]	14.45
Saccharolipid	nucleoplasm [GO:0005654]	14.45
Saccharolipid	tertiary granule membrane [GO:0070821]	24.18
Saccharolipid	nucleoplasm [GO:0005654]	24.18
Saccharolipid	plasma membrane [GO:0005886]	24.18
Saccharolipid	peroxisome [GO:0005777]	24.18
Saccharolipid	specific granule membrane [GO:0035579]	24.18
Saccharolipid	external side of plasma membrane [GO:0009897]	24.18
Saccharolipid	cell surface [GO:0009986]	24.18
Saccharolipid	Golgi apparatus [GO:0005794]	24.18
Saccharolipid	tertiary granule membrane [GO:0070821]	21.58
Saccharolipid	nucleoplasm [GO:0005654]	21.58
Saccharolipid	plasma membrane [GO:0005886]	21.58
Saccharolipid	peroxisome [GO:0005777]	21.58
Saccharolipid	specific granule membrane [GO:0035579]	21.58
Saccharolipid	external side of plasma membrane [GO:0009897]	21.58
Saccharolipid	cell surface [GO:0009986]	21.58
Saccharolipid	Golgi apparatus [GO:0005794]	21.58
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	50.11
Saccharolipid	cell outer membrane [GO:0009279]	50.11
Saccharolipid	bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]	39.57
Saccharolipid	cell outer membrane [GO:0009279]	39.57
Saccharolipid	cytoplasm [GO:0005737]	6.96
Saccharolipid	cytoplasm [GO:0005737]	8.12
Saccharolipid	membrane [GO:0016020]	12.33
Saccharolipid	Golgi membrane [GO:0000139]	12.33
Saccharolipid	membrane [GO:0016020]	12.33
Saccharolipid	Golgi membrane [GO:0000139]	12.33
Saccharolipid	plasma membrane [GO:0005886]	30.46
Saccharolipid	basement membrane [GO:0005604]	40.42
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	40.42
Saccharolipid	neuromuscular junction [GO:0031594]	40.42
Saccharolipid	plasma membrane [GO:0005886]	40.42
Saccharolipid	membrane [GO:0016020]	40.42
Saccharolipid	side of membrane [GO:0098552]	40.42
Saccharolipid	synapse [GO:0045202]	40.42
Saccharolipid	extracellular region [GO:0005576]	40.42
Saccharolipid	extracellular space [GO:0005615]	40.42
Saccharolipid	synaptic cleft [GO:0043083]	40.42
Saccharolipid	nucleus [GO:0005634]	40.42
Saccharolipid	cell surface [GO:0009986]	40.42
Saccharolipid	Golgi apparatus [GO:0005794]	40.42
Saccharolipid	basement membrane [GO:0005604]	32.07
Saccharolipid	perinuclear region of cytoplasm [GO:0048471]	32.07
Saccharolipid	neuromuscular junction [GO:0031594]	32.07
Saccharolipid	plasma membrane [GO:0005886]	32.07
Saccharolipid	membrane [GO:0016020]	32.07
Saccharolipid	side of membrane [GO:0098552]	32.07
Saccharolipid	synapse [GO:0045202]	32.07
Saccharolipid	extracellular region [GO:0005576]	32.07
Saccharolipid	extracellular space [GO:0005615]	32.07
Saccharolipid	synaptic cleft [GO:0043083]	32.07
Saccharolipid	nucleus [GO:0005634]	32.07
Saccharolipid	cell surface [GO:0009986]	32.07
Saccharolipid	Golgi apparatus [GO:0005794]	32.07
Saccharolipid	membrane [GO:0016020]	15.68
Saccharolipid	Golgi apparatus [GO:0005794]	15.68
Saccharolipid	membrane [GO:0016020]	17.19
Saccharolipid	Golgi apparatus [GO:0005794]	17.19
Saccharolipid	membrane [GO:0016020]	5.84
Saccharolipid	plasma membrane [GO:0005886]	2.73
Saccharolipid	plasma membrane [GO:0005886]	2.73
Saccharolipid	cytoplasm [GO:0005737]	10.19
Saccharolipid	cytoplasm [GO:0005737]	12.54
Saccharolipid	cytoplasm [GO:0005737]	10.19
Saccharolipid	cytoplasm [GO:0005737]	9.3
Saccharolipid	membrane [GO:0016020]	5.83
Saccharolipid	membrane [GO:0016020]	5.83
Saccharolipid	cytosol [GO:0005829]	28.09
Saccharolipid	cytosol [GO:0005829]	28.09
Saccharolipid	mitochondrial membrane [GO:0031966]	31.85
