class	GO_CC	hydrophobicity_score
Sterol	membrane [GO:0016020]	62.44
Sterol	Golgi cisterna membrane [GO:0032580]	62.44
Sterol	plasma membrane [GO:0005886]	62.44
Sterol	presynaptic membrane [GO:0042734]	62.44
Sterol	gamma-secretase complex [GO:0070765]	62.44
Sterol	endoplasmic reticulum membrane [GO:0005789]	62.44
Sterol	early endosome [GO:0005769]	62.44
Sterol	Golgi apparatus [GO:0005794]	62.44
Sterol	Golgi membrane [GO:0000139]	62.44
Sterol	endosome membrane [GO:0010008]	62.44
Sterol	synaptic vesicle [GO:0008021]	62.44
Sterol	endoplasmic reticulum [GO:0005783]	62.44
Sterol	postsynaptic membrane [GO:0045211]	57.67
Sterol	acetylcholine-gated channel complex [GO:0005892]	57.67
Sterol	mitochondrial inner membrane [GO:0005743]	49.57
Sterol	respiratory chain complex IV [GO:0045277]	49.57
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	98.67
Sterol	respiratory chain complex IV [GO:0045277]	98.67
Sterol	plasma membrane [GO:0005886]	50.53
Sterol	membrane [GO:0016020]	50.53
Sterol	lysosome [GO:0005764]	50.53
Sterol	plasma membrane [GO:0005886]	53.3
Sterol	membrane [GO:0016020]	53.3
Sterol	lysosome [GO:0005764]	53.3
Sterol	respiratory chain complex IV [GO:0045277]	20.83
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	20.83
Sterol	dendrite [GO:0030425]	76.18
Sterol	dendritic shaft [GO:0043198]	76.18
Sterol	glutamatergic synapse [GO:0098978]	76.18
Sterol	postsynaptic membrane [GO:0045211]	76.18
Sterol	synapse [GO:0045202]	76.18
Sterol	AMPA glutamate receptor complex [GO:0032281]	76.18
Sterol	varicosity [GO:0043196]	75.62
Sterol	ruffle [GO:0001726]	75.62
Sterol	plasma membrane [GO:0005886]	75.62
Sterol	synaptic vesicle membrane [GO:0030672]	75.62
Sterol	neuronal cell body [GO:0043025]	75.62
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	21.0
Sterol	respiratory chain complex IV [GO:0045277]	21.0
Sterol	plasma membrane [GO:0005886]	68.29
Sterol	membrane [GO:0016020]	68.29
Sterol	dendrite [GO:0030425]	83.1
Sterol	dendritic shaft [GO:0043198]	83.1
Sterol	glutamatergic synapse [GO:0098978]	83.1
Sterol	postsynaptic membrane [GO:0045211]	83.1
Sterol	synapse [GO:0045202]	83.1
Sterol	AMPA glutamate receptor complex [GO:0032281]	83.1
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	100.0
Sterol	respiratory chain complex IV [GO:0045277]	100.0
Sterol	mitochondrion [GO:0005739]	100.0
Sterol	mitochondrial respirasome [GO:0005746]	100.0
Sterol	apical plasma membrane [GO:0016324]	55.8
Sterol	extracellular exosome [GO:0070062]	55.8
Sterol	brush border membrane [GO:0031526]	55.8
Sterol	gamma-delta T cell receptor complex [GO:0042106]	29.38
Sterol	Fc-gamma receptor III complex [GO:0033001]	29.38
Sterol	Golgi apparatus [GO:0005794]	29.38
Sterol	T cell receptor complex [GO:0042101]	29.38
Sterol	alpha-beta T cell receptor complex [GO:0042105]	29.38
Sterol	plasma membrane [GO:0005886]	29.38
Sterol	cytoplasm [GO:0005737]	29.38
Sterol	neuron projection [GO:0043005]	77.22
Sterol	membrane [GO:0016020]	77.22
Sterol	endosome [GO:0005768]	77.22
Sterol	plasma membrane [GO:0005886]	77.22
Sterol	voltage-gated potassium channel complex [GO:0008076]	49.31
Sterol	apical plasma membrane [GO:0016324]	49.31
Sterol	postsynaptic membrane [GO:0045211]	49.31
Sterol	membrane [GO:0016020]	49.31
Sterol	caveola [GO:0005901]	49.31
Sterol	plasma membrane [GO:0005886]	49.31
Sterol	lysosomal lumen [GO:0043202]	41.81
Sterol	cytosol [GO:0005829]	41.81
Sterol	extracellular exosome [GO:0070062]	41.81
Sterol	blood microparticle [GO:0072562]	41.81
Sterol	extracellular region [GO:0005576]	41.81
Sterol	extracellular space [GO:0005615]	41.81
Sterol	cytoplasm [GO:0005737]	41.81
Sterol	apical plasma membrane [GO:0016324]	38.9
Sterol	extracellular exosome [GO:0070062]	38.9
Sterol	brush border membrane [GO:0031526]	38.9
Sterol	mitochondrial matrix [GO:0005759]	52.75
Sterol	mitochondrion [GO:0005739]	52.75
Sterol	mitochondrial inner membrane [GO:0005743]	52.75
Sterol	fungal-type vacuole [GO:0000324]	48.95
Sterol	fungal-type vacuole lumen [GO:0000328]	48.95
Sterol	organelle membrane [GO:0031090]	53.43
Sterol	basolateral plasma membrane [GO:0016323]	53.43
Sterol	apical plasma membrane [GO:0016324]	53.43
Sterol	T-tubule [GO:0030315]	53.43
Sterol	sperm flagellum [GO:0036126]	53.43
Sterol	lateral plasma membrane [GO:0016328]	53.43
Sterol	intercalated disc [GO:0014704]	53.43
Sterol	sodium:potassium-exchanging ATPase complex [GO:0005890]	53.43
Sterol	respiratory chain complex IV [GO:0045277]	20.83
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	20.83
Sterol	membrane [GO:0016020]	45.07
Sterol	cell surface [GO:0009986]	50.18
Sterol	apical plasma membrane [GO:0016324]	50.18
Sterol	external side of apical plasma membrane [GO:0098591]	50.18
Sterol	extracellular exosome [GO:0070062]	50.18
Sterol	plasma membrane [GO:0005886]	50.18
Sterol	membrane [GO:0016020]	50.18
