class	GO_CC	hydrophobicity_score
Glycerolipid	nucleoplasm [GO:0005654]	57.62
Glycerolipid	synapse [GO:0045202]	57.62
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	87.33
Glycerolipid	dendrite [GO:0030425]	87.33
Glycerolipid	cytoplasm [GO:0005737]	87.33
Glycerolipid	plasma membrane [GO:0005886]	87.33
Glycerolipid	nucleoplasm [GO:0005654]	87.33
Glycerolipid	synapse [GO:0045202]	87.33
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	80.88
Glycerolipid	respiratory chain complex IV [GO:0045277]	80.88
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	59.95
Glycerolipid	dendrite [GO:0030425]	59.95
Glycerolipid	cytoplasm [GO:0005737]	59.95
Glycerolipid	plasma membrane [GO:0005886]	59.95
Glycerolipid	nucleoplasm [GO:0005654]	59.95
Glycerolipid	synapse [GO:0045202]	59.95
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	80.0
Glycerolipid	dendrite [GO:0030425]	80.0
Glycerolipid	cytoplasm [GO:0005737]	80.0
Glycerolipid	plasma membrane [GO:0005886]	80.0
Glycerolipid	nucleoplasm [GO:0005654]	80.0
Glycerolipid	synapse [GO:0045202]	80.0
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	67.36
Glycerolipid	dendrite [GO:0030425]	67.36
Glycerolipid	cytoplasm [GO:0005737]	67.36
Glycerolipid	plasma membrane [GO:0005886]	67.36
Glycerolipid	nucleoplasm [GO:0005654]	67.36
Glycerolipid	synapse [GO:0045202]	67.36
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	36.0
Glycerolipid	dendrite [GO:0030425]	36.0
Glycerolipid	cytoplasm [GO:0005737]	36.0
Glycerolipid	plasma membrane [GO:0005886]	36.0
Glycerolipid	nucleoplasm [GO:0005654]	36.0
Glycerolipid	synapse [GO:0045202]	36.0
Glycerolipid	periplasmic space [GO:0042597]	49.43
Glycerolipid	periplasmic space [GO:0042597]	29.54
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	72.24
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	99.5
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	52.75
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	7.14
