class	GO_CC	hydrophobicity_score
Prenol	chloroplast thylakoid membrane [GO:0009535]	90.17
Prenol	photosystem II [GO:0009523]	66.88
Prenol	chloroplast thylakoid membrane [GO:0009535]	66.88
Prenol	photosystem I [GO:0009522]	66.88
Prenol	photosystem II reaction center [GO:0009539]	82.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	82.18
Prenol	photosystem II reaction center [GO:0009539]	82.18
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	82.18
Prenol	plasma membrane [GO:0005886]	0.0
Prenol	external side of plasma membrane [GO:0009897]	0.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	57.26
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	57.26
Prenol	chloroplast thylakoid membrane [GO:0009535]	70.0
Prenol	photosystem I [GO:0009522]	70.0
Prenol	photosystem II [GO:0009523]	53.73
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	53.73
Prenol	photosystem II [GO:0009523]	53.73
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	53.73
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	74.09
Prenol	photosystem I [GO:0009522]	74.09
Prenol	proton-transporting V-type ATPase complex [GO:0033176]	94.86
Prenol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	94.86
Prenol	Golgi membrane [GO:0000139]	94.86
Prenol	membrane [GO:0016020]	94.86
Prenol	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	94.86
Prenol	fungal-type vacuole membrane [GO:0000329]	94.86
Prenol	plasma membrane [GO:0005886]	55.6
Prenol	organelle inner membrane [GO:0019866]	55.6
Prenol	plasma membrane light-harvesting complex [GO:0030077]	55.6
Prenol	photosystem II [GO:0009523]	79.33
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	79.33
Prenol	succinate dehydrogenase complex [GO:0045281]	33.75
Prenol	mitochondrial inner membrane [GO:0005743]	33.75
Prenol	membrane [GO:0016020]	43.04
Prenol	plastid [GO:0009536]	43.04
Prenol	light-harvesting complex [GO:0030076]	43.04
Prenol	membrane [GO:0016020]	50.62
Prenol	endoplasmic reticulum membrane [GO:0005789]	50.62
Prenol	oligosaccharyltransferase complex [GO:0008250]	50.62
Prenol	oligosaccharyltransferase III complex [GO:0035000]	50.62
Prenol	late endosome [GO:0005770]	80.32
Prenol	cytoplasm [GO:0005737]	80.32
Prenol	photosystem II [GO:0009523]	75.2
Prenol	chloroplast thylakoid membrane [GO:0009535]	75.2
Prenol	photosystem II [GO:0009523]	75.2
Prenol	chloroplast thylakoid membrane [GO:0009535]	75.2
Prenol	photosystem II [GO:0009523]	55.14
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	55.14
Prenol	photosystem II [GO:0009523]	55.14
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	55.14
Prenol	membrane [GO:0016020]	49.06
Prenol	light-harvesting complex [GO:0030076]	49.06
Prenol	plastid [GO:0009536]	49.06
Prenol	plasma membrane [GO:0005886]	54.55
Prenol	plasma membrane light-harvesting complex [GO:0030077]	54.55
Prenol	photosystem II [GO:0009523]	42.23
Prenol	chloroplast thylakoid membrane [GO:0009535]	42.23
Prenol	photosystem I [GO:0009522]	42.23
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	58.93
Prenol	photosystem I [GO:0009522]	58.93
Prenol	photosystem II [GO:0009523]	66.05
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	66.05
Prenol	photosystem II [GO:0009523]	66.05
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	66.05
Prenol	chloroplast thylakoid membrane [GO:0009535]	100.0
Prenol	photosystem I [GO:0009522]	100.0
Prenol	mitochondrial respiratory chain complex III [GO:0005750]	50.44
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	97.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	97.0
Prenol	protein farnesyltransferase complex [GO:0005965]	10.0
Prenol	microtubule associated complex [GO:0005875]	10.0
Prenol	cytoplasm [GO:0005737]	10.0
Prenol	CAAX-protein geranylgeranyltransferase complex [GO:0005953]	10.0
Prenol	photosystem II [GO:0009523]	65.55
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	65.55
Prenol	photosystem II [GO:0009523]	65.55
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	65.55
Prenol	photosystem II [GO:0009523]	60.25
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	60.25
Prenol	photosystem II [GO:0009523]	60.25
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	60.25
Prenol	photosystem I [GO:0009522]	54.83
Prenol	plasma membrane [GO:0005886]	77.14
Prenol	organelle inner membrane [GO:0019866]	77.14
Prenol	plasma membrane light-harvesting complex [GO:0030077]	77.14
Prenol	photosystem II [GO:0009523]	73.0
Prenol	chloroplast thylakoid membrane [GO:0009535]	73.0
Prenol	photosystem I [GO:0009522]	73.0
Prenol	plasma membrane [GO:0005886]	60.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	60.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	68.33
Prenol	photosystem II reaction center [GO:0009539]	83.44
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	83.44
Prenol	membrane [GO:0016020]	25.17
Prenol	cytosol [GO:0005829]	25.17
Prenol	plasma membrane fumarate reductase complex [GO:0045284]	25.17
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	73.19
Prenol	plasma membrane-derived photosystem I [GO:0030094]	73.19
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	73.19
Prenol	plasma membrane-derived photosystem I [GO:0030094]	73.19
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	0.0
