class	GO_CC	pock_vol
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	302.6
Sterol	respiratory chain complex IV [GO:0045277]	302.6
Sterol	plasma membrane [GO:0005886]	329.79
Sterol	cell projection [GO:0042995]	429.58
Sterol	plasma membrane [GO:0005886]	429.58
Sterol	postsynaptic membrane [GO:0045211]	429.58
Sterol	presynaptic membrane [GO:0042734]	429.58
Sterol	nucleus [GO:0005634]	429.58
Sterol	cytosol [GO:0005829]	447.57
Sterol	nucleoplasm [GO:0005654]	447.57
Sterol	receptor complex [GO:0043235]	447.57
Sterol	mitochondrion [GO:0005739]	447.57
Sterol	RNA polymerase II transcription regulator complex [GO:0090575]	447.57
Sterol	chromatin [GO:0000785]	447.57
Sterol	transcription regulator complex [GO:0005667]	447.57
Sterol	nucleus [GO:0005634]	447.57
Sterol	cell surface [GO:0009986]	543.19
Sterol	apical plasma membrane [GO:0016324]	543.19
Sterol	external side of apical plasma membrane [GO:0098591]	543.19
Sterol	extracellular exosome [GO:0070062]	543.19
Sterol	plasma membrane [GO:0005886]	543.19
Sterol	membrane [GO:0016020]	543.19
Sterol	cytoplasm [GO:0005737]	543.19
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	110.51
Sterol	respiratory chain complex IV [GO:0045277]	110.51
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0.0
Sterol	respiratory chain complex IV [GO:0045277]	0.0
Sterol	mitochondrion [GO:0005739]	0.0
Sterol	mitochondrial respirasome [GO:0005746]	0.0
Sterol	membrane [GO:0016020]	594.58
Sterol	apical plasma membrane [GO:0016324]	594.58
Sterol	extracellular exosome [GO:0070062]	594.58
Sterol	cell surface [GO:0009986]	594.58
Sterol	external side of apical plasma membrane [GO:0098591]	594.58
Sterol	plasma membrane [GO:0005886]	594.58
Sterol	cytoplasm [GO:0005737]	594.58
Sterol	dendrite [GO:0030425]	205.28
Sterol	axolemma [GO:0030673]	205.28
Sterol	neuronal cell body [GO:0043025]	205.28
Sterol	glutamatergic synapse [GO:0098978]	205.28
Sterol	membrane [GO:0016020]	205.28
Sterol	plasma membrane [GO:0005886]	205.28
Sterol	postsynaptic membrane [GO:0045211]	205.28
Sterol	presynaptic membrane [GO:0042734]	205.28
Sterol	presynaptic active zone [GO:0048786]	205.28
Sterol	periplasmic space [GO:0042597]	205.28
Sterol	intermediate filament [GO:0005882]	205.28
Sterol	asymmetric synapse [GO:0032279]	205.28
Sterol	dendrite [GO:0030425]	406.18
Sterol	axolemma [GO:0030673]	406.18
Sterol	neuronal cell body [GO:0043025]	406.18
Sterol	glutamatergic synapse [GO:0098978]	406.18
Sterol	membrane [GO:0016020]	406.18
Sterol	plasma membrane [GO:0005886]	406.18
Sterol	postsynaptic membrane [GO:0045211]	406.18
Sterol	presynaptic membrane [GO:0042734]	406.18
Sterol	presynaptic active zone [GO:0048786]	406.18
Sterol	periplasmic space [GO:0042597]	406.18
Sterol	intermediate filament [GO:0005882]	406.18
Sterol	asymmetric synapse [GO:0032279]	406.18
Sterol	dendrite [GO:0030425]	441.28
Sterol	sarcoplasmic reticulum membrane [GO:0033017]	441.28
Sterol	cytoplasmic side of membrane [GO:0098562]	441.28
Sterol	cytosol [GO:0005829]	441.28
Sterol	Z disc [GO:0030018]	441.28
Sterol	sarcoplasmic reticulum [GO:0016529]	441.28
Sterol	terminal cisterna [GO:0014802]	441.28
Sterol	glutamatergic synapse [GO:0098978]	441.28
Sterol	membrane [GO:0016020]	441.28
Sterol	plasma membrane [GO:0005886]	441.28
Sterol	ryanodine receptor complex [GO:1990425]	441.28
Sterol	astrocyte projection [GO:0097449]	441.28
Sterol	presynaptic membrane [GO:0042734]	441.28
Sterol	axon [GO:0030424]	441.28
Sterol	cytoplasm [GO:0005737]	441.28
Sterol	dendrite [GO:0030425]	741.58
Sterol	axolemma [GO:0030673]	741.58
Sterol	neuronal cell body [GO:0043025]	741.58
Sterol	glutamatergic synapse [GO:0098978]	741.58
Sterol	membrane [GO:0016020]	741.58
Sterol	plasma membrane [GO:0005886]	741.58
Sterol	postsynaptic membrane [GO:0045211]	741.58
Sterol	presynaptic membrane [GO:0042734]	741.58
Sterol	presynaptic active zone [GO:0048786]	741.58
Sterol	periplasmic space [GO:0042597]	741.58
Sterol	intermediate filament [GO:0005882]	741.58
Sterol	asymmetric synapse [GO:0032279]	741.58
Sterol	membrane [GO:0016020]	1058.6
Sterol	intracellular membrane-bounded organelle [GO:0043231]	1058.6
Sterol	cytoplasm [GO:0005737]	1058.6
Sterol	dendrite [GO:0030425]	1301.88
Sterol	endoplasmic reticulum [GO:0005783]	1301.88
Sterol	Golgi apparatus [GO:0005794]	1301.88
Sterol	ciliary membrane [GO:0060170]	1301.88
Sterol	ciliary tip [GO:0097542]	1301.88
Sterol	endocytic vesicle membrane [GO:0030666]	1301.88
Sterol	cilium [GO:0005929]	1301.88
Sterol	extracellular exosome [GO:0070062]	1301.88
Sterol	intracellular membrane-bounded organelle [GO:0043231]	1301.88
Sterol	plasma membrane [GO:0005886]	1301.88
Sterol	centriole [GO:0005814]	1301.88
Sterol	9+0 non-motile cilium [GO:0097731]	1301.88
Sterol	late endosome [GO:0005770]	1301.88
Sterol	endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]	1301.88
Sterol	mitochondrion [GO:0005739]	311.04
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	311.04
Sterol	mitochondrial respirasome [GO:0005746]	311.04
Sterol	respiratory chain complex IV [GO:0045277]	311.04
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	369.5
Sterol	respiratory chain complex IV [GO:0045277]	369.5
Sterol	protein-containing complex [GO:0032991]	560.17
Sterol	cytosol [GO:0005829]	560.17
Sterol	nucleoplasm [GO:0005654]	560.17
Sterol	plasma membrane [GO:0005886]	560.17
Sterol	nuclear speck [GO:0016607]	560.17
Sterol	chromatin [GO:0000785]	560.17
Sterol	nucleus [GO:0005634]	560.17
Sterol	cytoplasm [GO:0005737]	560.17
Sterol	cytoplasm [GO:0005737]	391.04
Sterol	apical plasma membrane [GO:0016324]	555.11
Sterol	mitochondrial membrane [GO:0031966]	555.11
Sterol	external side of apical plasma membrane [GO:0098591]	555.11
Sterol	nucleoplasm [GO:0005654]	555.11
Sterol	plasma membrane [GO:0005886]	555.11
Sterol	brush border membrane [GO:0031526]	555.11
Sterol	membrane raft [GO:0045121]	555.11
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	316.43
Sterol	respiratory chain complex IV [GO:0045277]	316.43
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	316.43
Sterol	respiratory chain complex IV [GO:0045277]	316.43
Sterol	cytosol [GO:0005829]	667.73
Sterol	nucleoplasm [GO:0005654]	667.73
Sterol	cytoskeleton [GO:0005856]	667.73
Sterol	nucleus [GO:0005634]	667.73
Sterol	cytoplasm [GO:0005737]	667.73
Sterol	cytosol [GO:0005829]	550.9
Sterol	nucleoplasm [GO:0005654]	550.9
Sterol	endoplasmic reticulum membrane [GO:0005789]	550.9
Sterol	receptor complex [GO:0043235]	550.9
Sterol	chromatin [GO:0000785]	550.9
Sterol	cytoplasm [GO:0005737]	160.57
Sterol	membrane [GO:0016020]	106.09
Sterol	intracellular membrane-bounded organelle [GO:0043231]	106.09
Sterol	endoplasmic reticulum membrane [GO:0005789]	106.09
Sterol	collagen-containing extracellular matrix [GO:0062023]	178.13
Sterol	secretory granule lumen [GO:0034774]	178.13
Sterol	azurophil granule lumen [GO:0035578]	178.13
Sterol	extracellular exosome [GO:0070062]	178.13
Sterol	blood microparticle [GO:0072562]	178.13
Sterol	platelet alpha granule lumen [GO:0031093]	178.13
Sterol	extracellular region [GO:0005576]	178.13
Sterol	extracellular space [GO:0005615]	178.13
Sterol	nucleus [GO:0005634]	178.13
Sterol	respiratory chain complex IV [GO:0045277]	318.85
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	318.85
Sterol	respiratory chain complex IV [GO:0045277]	318.85
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	318.85
Sterol	membrane [GO:0016020]	400.51
Sterol	proton-transporting V-type ATPase complex [GO:0033176]	400.51
Sterol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	400.51
Sterol	transmembrane transporter complex [GO:1902495]	400.51
Sterol	synaptic vesicle membrane [GO:0030672]	400.51
Sterol	synaptic vesicle [GO:0008021]	400.51
Sterol	clathrin-coated vesicle membrane [GO:0030665]	400.51
Sterol	recycling endosome [GO:0055037]	404.44
Sterol	endosome [GO:0005768]	404.44
Sterol	Golgi membrane [GO:0000139]	404.44
Sterol	plasma membrane [GO:0005886]	404.44
Sterol	endoplasmic reticulum membrane [GO:0005789]	404.44
Sterol	mitochondrion [GO:0005739]	404.44
Sterol	external side of plasma membrane [GO:0009897]	404.44
Sterol	Golgi apparatus [GO:0005794]	404.44
Sterol	postsynaptic membrane [GO:0045211]	444.09
Sterol	acetylcholine-gated channel complex [GO:0005892]	444.09
Sterol	postsynaptic membrane [GO:0045211]	479.6
Sterol	acetylcholine-gated channel complex [GO:0005892]	479.6
Sterol	mitochondrial inner membrane [GO:0005743]	137.94
Sterol	respiratory chain complex IV [GO:0045277]	137.94
Sterol	endoplasmic reticulum membrane [GO:0005789]	607.4
Sterol	membrane [GO:0016020]	1089.11
Sterol	membrane [GO:0016020]	266.97
Sterol	proton-transporting V-type ATPase complex [GO:0033176]	266.97
Sterol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	266.97
Sterol	transmembrane transporter complex [GO:1902495]	266.97
Sterol	synaptic vesicle membrane [GO:0030672]	266.97
Sterol	synaptic vesicle [GO:0008021]	266.97
Sterol	clathrin-coated vesicle membrane [GO:0030665]	266.97
Sterol	recycling endosome [GO:0055037]	877.0
Sterol	endosome [GO:0005768]	877.0
Sterol	clathrin-coated pit [GO:0005905]	877.0
Sterol	early endosome [GO:0005769]	877.0
Sterol	intracellular membrane-bounded organelle [GO:0043231]	877.0
Sterol	plasma membrane [GO:0005886]	877.0
Sterol	external side of plasma membrane [GO:0009897]	877.0
Sterol	cell surface [GO:0009986]	877.0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	189.18
Sterol	respiratory chain complex IV [GO:0045277]	189.18
Sterol	membrane [GO:0016020]	469.41
Sterol	Golgi cisterna membrane [GO:0032580]	469.41
Sterol	plasma membrane [GO:0005886]	469.41
Sterol	presynaptic membrane [GO:0042734]	469.41
Sterol	gamma-secretase complex [GO:0070765]	469.41
Sterol	endoplasmic reticulum membrane [GO:0005789]	469.41
Sterol	early endosome [GO:0005769]	469.41
Sterol	Golgi apparatus [GO:0005794]	469.41
Sterol	Golgi membrane [GO:0000139]	469.41
Sterol	endosome membrane [GO:0010008]	469.41
Sterol	synaptic vesicle [GO:0008021]	469.41
Sterol	endoplasmic reticulum [GO:0005783]	469.41
Sterol	postsynaptic membrane [GO:0045211]	584.57
Sterol	acetylcholine-gated channel complex [GO:0005892]	584.57
Sterol	mitochondrial inner membrane [GO:0005743]	428.83
Sterol	respiratory chain complex IV [GO:0045277]	428.83
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	113.0
Sterol	respiratory chain complex IV [GO:0045277]	113.0
Sterol	plasma membrane [GO:0005886]	628.5
Sterol	membrane [GO:0016020]	628.5
Sterol	lysosome [GO:0005764]	628.5
Sterol	plasma membrane [GO:0005886]	390.57
Sterol	membrane [GO:0016020]	390.57
Sterol	lysosome [GO:0005764]	390.57
Sterol	respiratory chain complex IV [GO:0045277]	296.91
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	296.91
Sterol	dendrite [GO:0030425]	476.84
Sterol	dendritic shaft [GO:0043198]	476.84
Sterol	glutamatergic synapse [GO:0098978]	476.84
Sterol	postsynaptic membrane [GO:0045211]	476.84
Sterol	synapse [GO:0045202]	476.84
Sterol	AMPA glutamate receptor complex [GO:0032281]	476.84
Sterol	varicosity [GO:0043196]	495.14
Sterol	ruffle [GO:0001726]	495.14
Sterol	plasma membrane [GO:0005886]	495.14
Sterol	synaptic vesicle membrane [GO:0030672]	495.14
Sterol	neuronal cell body [GO:0043025]	495.14
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	371.95
Sterol	respiratory chain complex IV [GO:0045277]	371.95
Sterol	plasma membrane [GO:0005886]	761.23
Sterol	membrane [GO:0016020]	761.23
