LeidenCluster,n_structures,helix_mean,helix_std,sheet_mean,sheet_std,loop_mean,loop_std
LC35,37,0.0,0.0,78.73873873873875,39.5994711848292,21.26126126126126,39.599471184829206
LC36,46,85.10351966873705,23.563846366105313,0.0,0.0,14.896480331262941,23.563846366105313
LC37,4,0.0,0.0,0.0,0.0,100.0,0.0
LC38,47,73.28267477203647,31.448012062907825,0.0,0.0,26.717325227963528,31.448012062907825
LC39,29,54.83921251162631,15.526900078840715,0.0,0.0,45.16078748837369,15.526900078840715
LC40,40,61.21428571428571,43.71329081308036,16.25,36.492886556571115,22.535714285714285,36.47343554792506
LC41,38,53.890977443609025,37.8967349330695,0.0,0.0,46.109022556390975,37.8967349330695
LC42,43,84.65023994093762,25.125371395065024,0.29069767441860467,1.9062321291575584,15.059062384643779,24.93458124851255
LC43,35,44.285714285714285,49.662728022349405,23.571428571428573,33.363081963380395,32.142857142857146,37.819599797612085
LC44,41,77.9655439411537,32.938109571392374,0.27100271002710025,1.735264020984512,21.763453348819205,32.79451493484877
LC45,21,0.0,0.0,73.65079365079366,41.658729402728255,26.34920634920635,41.658729402728255
LC46,38,79.92376775271512,32.566675327357295,0.0,0.0,20.076232247284878,32.566675327357295
LC47,37,79.98283998283999,30.976035229233183,0.0,0.0,20.017160017160016,30.97603522923318
LC48,32,86.31076388888889,20.972647562065788,0.0,0.0,13.68923611111111,20.972647562065788
LC49,38,19.780701754385962,33.96511868346581,24.323308270676694,34.59120153476738,55.89598997493735,36.90405339173441
LC50,38,82.28070175438596,26.95904204237568,0.0,0.0,17.719298245614038,26.959042042375682
LC51,30,90.11111111111111,19.307619311396696,0.0,0.0,9.88888888888889,19.307619311396696
LC52,3,27.777777777777782,4.811252243246883,0.0,0.0,72.22222222222223,4.811252243246881
LC53,33,76.46464646464646,41.682825149669405,3.0303030303030303,17.40776559556978,20.505050505050505,39.52953547771811
LC54,31,84.857910906298,21.04081309543355,0.0,0.0,15.142089093701998,21.040813095433545
LC55,26,78.2051282051282,32.23842799077274,0.0,0.0,21.7948717948718,32.23842799077274
LC56,20,76.66666666666666,37.36965651528222,3.3333333333333335,10.259783520851542,20.0,34.607236507896005
LC57,14,83.33333333333333,0.0,0.0,0.0,16.666666666666668,0.0
LC58,1,83.33333333333333,,0.0,,16.666666666666668,
LC59,17,80.3921568627451,34.09814985493219,0.0,0.0,19.607843137254903,34.09814985493218
LC60,19,88.59649122807018,27.104411500842765,0.0,0.0,11.403508771929825,27.104411500842765
LC61,18,0.6944444444444444,2.946278254943948,78.99029982363317,37.302697855367086,20.3152557319224,37.34037673709831
LC62,20,83.33333333333334,31.063037209869783,0.0,0.0,16.666666666666668,31.06303720986978
LC63,20,84.82142857142858,25.820105641779765,0.0,0.0,15.178571428571427,25.82010564177977
LC64,10,100.0,0.0,0.0,0.0,0.0,0.0
LC65,12,92.77777777777777,19.583199010929842,0.0,0.0,7.222222222222222,19.583199010929842
LC66,16,84.20026154401154,24.86414949736025,0.0,0.0,15.799738455988457,24.86414949736025
LC67,1,80.0,,0.0,,20.0,
