LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32	LC33	LC34	LC35	LC36	LC37	LC38	LC39	LC40	LC41	LC42	LC43	LC44	LC45	LC46	LC47	LC48	LC49	LC50	LC51	LC52	LC53	LC54	LC55	LC56	LC57	LC58	LC59	LC60	LC61	LC62	LC63	LC64	LC65	LC66	LC67
LC13	0.0098769979197365	7.69045304297103e-05	0.0005936922593073082	0.0002005176346727496	0.00012386612449171098	0.006893803753989289	0.0021184276307767346	0.0	0.008015557161257892	0.0003620067053153594	0.007946863068204654	0.0	0.0036383894174982596	0.7893881683142694	0.0	0.010246567491769297	0.007587855869150834	0.14136483245835765	0.0	0.0	0.0	0.09354341938214135	0.0	0.0	0.0	4.1192852169877e-05	0.0	0.0021179936949316954	0.0	0.0	0.0008989208633093526	0.00808261870503597	0.01656540414727042	0.0898579348286077	0.0	0.0	0.0005370155488512416	0.0	0.1518334892086331	0.007129679307401536	0.007036570743405276	0.00567325912854622	0.0005398450470392917	0.0	0.08872014388489209	0.0	0.08668030001530691	0.09078564212459819	0.042982509992006396	0.0	0.004228743516814454	0.0	0.0	0.0	0.0007964703237410071	0.013912044557902065	0.0	0.0	0.0	0.15270921416712782	0.007198733812949641	0.0	0.0	0.0001795433218642477	0.0	0.0	0.0237068345323741	0.0
LC14	0.0001594806645938593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9944007023933402	0.0	0.0	0.0	0.0	0.0	0.0003367172675521822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC15	0.015465075556463141	0.03530366468163078	0.008850647865147727	0.020798721062422486	0.0	0.0002205269529756595	0.0	0.0	0.0005601657908370956	0.010123070594043113	0.0017777293816873402	6.315168418794249e-05	0.0	0.0502305511522985	0.0	0.8526226802642919	0.04508779516152398	0.054964590013742556	0.0039007463846991134	0.004091389510713144	0.0	0.11926995679627783	0.0	0.0001321782178217822	0.0	0.0036589666484417712	0.0	0.004033374595315178	0.0014051431911163061	0.0	0.0	0.0004714915254237289	0.02411156530408774	0.06575088484546361	0.0	0.0	0.01753447238928376	0.0	0.07970641242937852	0.0021679258833668487	0.004212146892655367	0.009445107131435882	0.0002172099087353325	0.0	0.079107315807679	0.0	0.07999994590695997	0.0666951676884241	0.6099239548022599	0.0	0.061312475364603866	0.003163841807909605	0.0	0.003661099627945432	0.006234375	0.04801334062329142	0.006939801285797779	0.0	0.0	0.007364830508474575	0.0	0.0	0.04464521002210759	0.07193478260869565	0.01901271186440678	0.0006846460618145564	0.7590063559322033	0.0
LC16	0.003510816342292246	0.8037155740355741	0.00022684367848302273	0.0013358896185115697	0.0	0.0	0.0	0.0	0.0	0.0013869346942162475	0.0	0.0	0.0	0.011321957818360697	0.0	0.008921983195712009	1.0004811454452478	0.017874204974204975	0.0	0.0	0.0	0.009751985922574157	0.0	0.0022343065075738342	0.0	0.0006002757099531292	0.0	0.010245030250648228	0.0010768837803320562	0.0	0.0	0.0	0.02681019356460533	0.007554298642533937	0.0	0.0	0.0007371381306865177	0.0	0.0	0.0006970157902361292	0.0	0.009556861796484439	0.010831952662721894	0.0	0.025884283969998253	0.0	0.0	0.017428041462084015	0.06305538461538462	0.0	1.0004204333134565	0.0	0.0	0.0	0.004128205128205128	1.0000882823269919	0.0	0.0	0.0	0.0	0.0	0.0	1.0000648829431438	0.020840802675585288	0.0	0.0	0.01821794871794872	0.0
LC17	0.015053147997394985	5.92281470659849e-05	0.00023489391030374635	0.006553826082179742	0.0006358924141532837	0.004679919393077288	0.0	0.0	9.614855029702193e-05	0.00669115717659407	0.03099441038804167	4.347131942068651e-05	0.0	0.11965048933825913	0.0	0.03616452893571538	0.013063886963886964	0.3508691015339664	0.0	0.0	0.0	0.08678031266560679	0.0	0.001737017215235037	0.0	0.0018474668216603703	0.0	0.0023225630124506526	0.002080977529253391	0.0	0.005896977240398294	0.0	0.043473979862215156	0.0829088102808691	0.0	0.0	0.0012183667538506247	0.0	0.10781333333333334	0.00723728813559322	0.0005051051051051052	0.016833911269760325	0.0027040540540540538	0.0	0.09106267696267697	0.0	0.08649852405597087	0.09762039486294806	0.0010297497497497496	0.0	0.014698973391996648	0.0	0.0	0.0	0.0	0.00705178727114211	0.012505591798695247	0.0	0.0	0.012823388773388775	0.0	0.0	0.012251037994516255	0.05364782608695652	0.0004671408250355619	0.0	0.00797207207207207	0.003504504504504504
LC18	0.015794568365203935	0.009592020828167618	0.6114185792349727	3.752517341687178e-05	0.0	0.0014182520521487205	0.012832234489192972	0.0	0.02023752654140459	0.000325581188207001	0.0007978576187791502	0.0	0.008949949689257176	0.010975235958022573	0.0	0.04074703312082102	0.010307425703755977	0.005677113811058765	0.9966126504502988	0.9975726934395015	0.0	0.022574000719553875	0.0	0.0028093378145153964	0.0	0.8227000295945547	0.0	0.047242542005978765	0.057818896973531576	0.0	0.039371330275229356	0.021070642201834862	0.10558239341608203	0.031068834322719913	0.027458537587292893	0.0	0.29311438295353653	0.0	0.0037806422018348625	0.0024069351578292642	0.010774311926605506	0.0	0.02035239943542696	0.0	0.01666642950758285	0.0	0.019204294358774156	0.017067323833691195	0.026733700305810397	0.0	0.01945419244719437	0.5843393403232853	0.0	0.9943680912955918	0.6503539277522935	0.005243563184374075	0.02301069281872825	0.09119625163826998	0.10125963302752293	0.02193581510232886	0.0027496513761467887	0.0	0.047121459912245714	0.0	0.7310902462578465	0.6182263356718833	0.00878073394495413	0.08654220183486239
LC19	0.018218565014776086	0.005011578276389598	0.6098429219507165	0.0001545904279797515	0.0	0.0029042027237906084	0.0249066997121842	0.0	0.04383951965065502	0.00046072540758380654	0.0006845420048487403	0.0	0.026656926354230066	0.010127168453916114	0.0	0.044518464182922934	0.03886790033865506	0.006766124426313106	0.9975554786221221	0.999749955500178	0.0	0.0322589465408805	0.0	0.004636017186624323	0.0	0.8262320450395618	0.0	0.038346682213271144	0.050297950553025376	0.0	0.06414601539225423	0.028758905660377358	0.10160330188679245	0.009116620421753607	0.004716882568290622	0.0	0.30968769020085213	0.0	0.002930440251572327	0.0011506395906619765	0.0026932215234102023	0.004849412602349591	0.009172079100145138	0.0	0.0026748556026184056	0.0	0.001425612203934163	0.0069384183059012445	0.02806631027253669	0.0	0.08013723124177272	0.6397867026055706	0.0	0.994975425678785	0.6595272700471698	0.02668533171028606	0.06926600520494469	0.08505640161725067	0.11279225067385446	0.08914967343976778	0.004658188679245283	0.0	0.08247555373256768	0.0	0.712803376365442	0.7578604883462818	0.009152830188679247	0.09101954177897574
LC20	0.002631506909992913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9445558054594386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC21	0.015040200212615165	0.0014845389507154212	0.00360419881067181	0.0014234815877570538	0.004567462347257744	0.016494158189591625	0.0	0.0	0.0	0.0063079811536264985	0.00107470478694271	0.0	0.0	0.08933108336859923	0.0	0.09634305417082087	0.014874873470755823	0.07238442854619326	0.0	0.00029342397336293004	0.0	0.6503558054594386	0.0	0.00014428266356047368	0.0	0.005763883617963313	0.0	0.012297036792244987	0.0008099278791976562	0.0	0.003301264189886481	0.0	0.0179584630911188	0.1130805435409458	0.0	0.0	0.00308595825426945	0.0	0.05398823529411765	0.001830126287803257	0.001603921568627451	0.0068223825379208295	0.017064988687782803	0.0	0.09228531412565026	0.0	0.08254219858156028	0.10987313308302044	0.053594444444444445	0.00033187414500683994	0.029192886456908342	0.0	0.0	0.0	0.005691482843137256	0.01464977862112587	0.0	0.0	0.0	0.0018536953242835597	0.0	0.0	0.006811253196930946	0.018671355498721228	0.0	0.0	0.18534460784313725	0.0
LC22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999234044598231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
