class	pock_vol
Sterol	686.17
Sterol	527.38
Sterol	58.3
Sterol	526.08
Sterol	282.32
Sterol	1152.57
Sterol	702.8
Sterol	163.15
Sterol	271.46
Sterol	458.4
Sterol	296.59
Sterol	570.8
Sterol	533.43
Sterol	885.0
Sterol	193.45
Sterol	249.89
Sterol	283.85
Sterol	562.16
Sterol	959.67
Sterol	512.38
Sterol	1294.2
Sterol	587.6
Sterol	180.75
Sterol	156.43
Sterol	263.35
Sterol	307.2
Sterol	365.1
Sterol	773.32
Sterol	762.57
Sterol	237.67
Sterol	831.46
Sterol	738.37
Sterol	381.29
Sterol	111.94
Sterol	819.61
Sterol	66.01
Sterol	272.57
Sterol	398.73
Sterol	242.69
Sterol	886.32
Sterol	681.69
Sterol	721.63
Sterol	516.51
Sterol	673.78
Sterol	225.07
Sterol	288.54
Sterol	633.11
Sterol	587.74
Sterol	1068.9
Sterol	225.96
Sterol	1189.14
Sterol	689.05
Sterol	192.61
Sterol	358.57
Sterol	65.01
Sterol	243.91
Sterol	401.96
Sterol	558.8
Sterol	1263.75
Sterol	1006.51
Sterol	614.9
Sterol	673.71
Sterol	798.77
Sterol	1472.52
Sterol	255.88
Sterol	373.57
Sterol	478.4
Sterol	686.66
Sterol	518.53
Sterol	955.91
Sterol	251.31
Sterol	651.56
Sterol	351.28
Sterol	656.77
Sterol	779.04
Sterol	488.42
Sterol	261.49
Sterol	860.9
Sterol	472.55
Sterol	614.99
Sterol	570.29
Sterol	412.4
Sterol	450.5
Sterol	174.15
Sterol	809.39
Sterol	543.13
Sterol	630.57
Sterol	376.41
Sterol	259.65
Sterol	399.66
Sterol	671.57
Sterol	94.66
Sterol	454.96
Sterol	721.2
Sterol	419.74
Sterol	752.26
Sterol	675.18
Sterol	292.78
Sterol	525.02
Sterol	360.12
Sterol	590.37
Sterol	499.43
Sterol	909.39
Sterol	57.09
Sterol	615.97
Sterol	911.2
Sterol	556.7
Sterol	204.51
Sterol	353.2
Sterol	292.32
Sterol	343.53
Sterol	1219.13
Sterol	1337.58
Sterol	187.01
Sterol	189.39
Sterol	586.37
Sterol	627.89
Sterol	628.01
Sterol	303.95
Sterol	1298.54
Sterol	223.01
Sterol	457.01
Sterol	304.09
Sterol	464.07
Sterol	668.04
Sterol	723.54
Sterol	1343.41
Sterol	450.13
Sterol	336.39
Sterol	383.64
Sterol	752.59
Sterol	751.15
Sterol	72.83
Sterol	701.07
Sterol	327.8
Sterol	567.42
Sterol	274.46
Sterol	1053.78
Sterol	546.97
Sterol	497.86
Sterol	589.24
Sterol	462.42
Sterol	338.51
Sterol	1072.77
Sterol	972.54
Sterol	411.55
Sterol	0.0
Sterol	888.7
Sterol	105.87
Sterol	346.69
Sterol	486.82
Sterol	535.19
Sterol	1172.52
Sterol	1113.75
Sterol	460.61
Sterol	957.66
Sterol	1080.55
Sterol	50.51
Sterol	774.74
Sterol	539.71
Sterol	440.25
Sterol	1030.76
Sterol	362.32
Sterol	0.0
Sterol	412.74
Sterol	221.9
Sterol	1223.95
Sterol	260.05
Sterol	367.89
Sterol	450.23
Sterol	944.21
Sterol	375.4
Sterol	1206.31
Sterol	389.87
Sterol	879.93
Sterol	471.42
Sterol	562.72
Sterol	565.79
Sterol	1186.95
Sterol	1069.25
Sterol	553.01
Sterol	678.66
Sterol	784.81
Sterol	572.86
Sterol	519.85
Sterol	160.61
Sterol	580.64
Sterol	320.95
Sterol	506.59
Sterol	777.98
Sterol	398.66
Sterol	257.38
Sterol	798.36
Sterol	518.41
Sterol	1379.11
Sterol	473.58
Sterol	974.31
Sterol	520.78
Sterol	478.96
Sterol	28.43
Sterol	651.79
Sterol	516.99
Sterol	734.92
Sterol	485.37
Sterol	998.37
Sterol	496.13
Sterol	1113.71
Sterol	604.38
Sterol	482.34
Sterol	542.16
Sterol	794.32
Sterol	1017.69
Sterol	118.28
Sterol	638.59
Sterol	469.71
Sterol	166.36
Sterol	569.48
Sterol	483.27
Sterol	666.31
Sterol	411.06
Sterol	254.04
Sterol	396.94
Sterol	349.28
Sterol	372.52
Sterol	1427.12
Sterol	692.49
Sterol	444.41
Sterol	81.52
Sterol	1854.42
Sterol	211.78
Sterol	363.41
Sterol	1085.1
Sterol	649.91
Sterol	2080.92
Sterol	493.83
Sterol	378.04
Sterol	248.84
Sterol	277.73
Sterol	345.62
Sterol	714.77
Sterol	755.81
Sterol	617.59
Sterol	334.93
Sterol	484.45
Sterol	354.4
Sterol	483.93
Sterol	171.7
Sterol	528.83
Sterol	366.02
Sterol	696.09
Sterol	1247.49
Sterol	275.93
Sterol	169.11
Sterol	698.23
Sterol	472.61
Sterol	406.35
Sterol	392.47
Sterol	329.32
Sterol	407.13
Sterol	793.56
Sterol	283.86
Sterol	445.03
Sterol	616.84
Sterol	423.53
Sterol	355.15
Sterol	182.27
Sterol	420.23
Sterol	207.67
Sterol	493.41
Sterol	331.67
Sterol	587.23
Sterol	1071.35
Sterol	0.0
Sterol	727.05
Sterol	68.95
Sterol	237.78
Sterol	298.41
Sterol	1188.71
Sterol	824.1
Sterol	114.42
Sterol	418.82
Sterol	264.68
Sterol	147.98
Sterol	169.02
Sterol	467.7
Sterol	951.79
Sterol	209.75
Sterol	643.11
Sterol	386.06
Sterol	451.69
Sterol	336.04
Sterol	79.92
Sterol	269.24
Sterol	286.59
Sterol	643.78
Sterol	925.36
Sterol	512.92
Sterol	348.05
Sterol	598.84
Sterol	726.54
Sterol	551.88
Sterol	173.61
Sterol	333.27
Sterol	1245.91
Sterol	576.71
Sterol	1089.85
