class	as_max_dst
Sterol	4.99
Sterol	14.58
Sterol	6.5
Sterol	9.68
Sterol	13.37
Sterol	20.49
Sterol	26.18
Sterol	9.86
Sterol	13.78
Sterol	7.84
Sterol	17.12
Sterol	0.74
Sterol	18.76
Sterol	16.42
Sterol	12.18
Sterol	22.66
Sterol	13.97
Sterol	11.75
Sterol	8.21
Sterol	7.42
Sterol	14.95
Sterol	8.25
Sterol	21.18
Sterol	12.07
Sterol	19.84
Sterol	13.02
Sterol	10.37
Sterol	22.67
Sterol	-1.0
Sterol	5.21
Sterol	6.71
Sterol	10.12
Sterol	21.05
Sterol	13.59
Sterol	17.89
Sterol	6.67
Sterol	18.6
Sterol	17.95
Sterol	14.84
Sterol	14.77
Sterol	19.76
Sterol	2.55
Sterol	8.43
Sterol	16.72
Sterol	4.03
Sterol	14.21
Sterol	17.17
Sterol	8.36
Sterol	9.92
Sterol	7.66
Sterol	6.21
Sterol	-1.0
Sterol	19.55
Sterol	17.61
Sterol	20.07
Sterol	25.93
Sterol	11.74
Sterol	14.48
Sterol	12.32
Sterol	16.26
Sterol	11.26
Sterol	17.96
Sterol	20.04
Sterol	12.73
Sterol	6.26
Sterol	17.38
Sterol	22.53
Sterol	14.6
Sterol	17.33
Sterol	14.42
Sterol	16.41
Sterol	20.23
Sterol	10.75
Sterol	10.77
Sterol	15.07
Sterol	18.6
Sterol	11.16
Sterol	9.22
Sterol	17.61
Sterol	12.43
Sterol	17.09
Sterol	20.88
Sterol	17.04
Sterol	12.58
Sterol	11.7
Sterol	13.72
Sterol	14.42
Sterol	21.08
Sterol	7.33
Sterol	14.42
Sterol	11.7
Sterol	20.26
Sterol	17.6
Sterol	4.72
Sterol	17.36
Sterol	15.05
Sterol	-1.0
Sterol	12.2
Sterol	9.18
Sterol	16.02
Sterol	19.63
Sterol	17.13
Sterol	22.1
Sterol	10.37
Sterol	13.71
Sterol	13.75
Sterol	15.05
Sterol	4.02
Sterol	11.55
Sterol	9.35
Sterol	6.22
Sterol	14.85
Sterol	22.13
Sterol	9.56
Sterol	17.47
Sterol	19.65
Sterol	11.55
Sterol	10.41
Sterol	7.04
Sterol	17.82
Sterol	11.86
Sterol	8.99
Sterol	-1.0
Sterol	20.03
Sterol	-1.0
Sterol	12.9
Sterol	22.39
Sterol	7.18
Sterol	15.93
Sterol	18.22
Sterol	20.15
Sterol	11.0
Sterol	12.84
Sterol	12.71
Sterol	21.26
Sterol	14.08
Sterol	8.73
Sterol	1.37
Sterol	22.53
Sterol	13.08
Sterol	14.17
Sterol	14.75
Sterol	20.01
Sterol	11.95
Sterol	19.73
Sterol	4.5
Sterol	23.23
Sterol	-1.0
Sterol	15.14
Sterol	14.48
Sterol	11.14
Sterol	14.5
Sterol	20.19
Sterol	7.31
Sterol	10.5
Sterol	12.1
Sterol	6.92
Sterol	15.63
Sterol	21.71
Sterol	8.49
Sterol	11.05
Sterol	16.03
Sterol	9.82
Sterol	16.22
Sterol	15.33
Sterol	19.58
Sterol	13.45
Sterol	18.65
Sterol	17.38
Sterol	7.05
Sterol	17.85
Sterol	9.46
Sterol	19.82
Sterol	1.84
Sterol	18.21
Sterol	16.54
Sterol	17.53
Sterol	19.08
Sterol	15.69
Sterol	16.13
Sterol	12.13
Sterol	15.39
Sterol	7.76
Sterol	5.92
Sterol	12.58
Sterol	10.41
Sterol	21.41
Sterol	11.87
Sterol	13.91
Sterol	9.02
Sterol	20.53
Sterol	17.01
Sterol	11.7
Sterol	9.71
Sterol	18.94
Sterol	22.61
Sterol	16.91
Sterol	5.61
Sterol	-1.0
Sterol	16.9
Sterol	14.65
Sterol	14.74
Sterol	14.12
Sterol	5.76
Sterol	14.65
Sterol	12.15
Sterol	22.44
Sterol	9.72
Sterol	6.83
Sterol	21.6
Sterol	21.88
Sterol	17.86
Sterol	1.7
Sterol	6.73
Sterol	18.43
Sterol	16.01
Sterol	9.33
Sterol	17.4
Sterol	11.99
Sterol	12.92
Sterol	14.44
Sterol	17.76
Sterol	17.29
Sterol	13.58
Sterol	12.18
Sterol	17.52
Sterol	12.49
Sterol	11.45
Sterol	15.51
Sterol	18.64
Sterol	13.15
Sterol	14.69
Sterol	12.44
Sterol	17.02
Sterol	23.65
Sterol	22.15
Sterol	9.54
Sterol	14.63
Sterol	10.68
Sterol	-1.0
Sterol	15.56
Sterol	20.74
Sterol	17.14
Sterol	14.59
Sterol	12.21
Sterol	18.37
Sterol	18.79
Sterol	10.39
Sterol	6.37
Sterol	5.75
Sterol	13.37
Sterol	8.05
Sterol	22.34
Sterol	-1.0
Sterol	15.03
Sterol	9.68
Sterol	13.76
Sterol	13.51
Sterol	16.73
Sterol	17.05
Sterol	8.99
Sterol	7.93
Sterol	17.79
Sterol	18.55
Sterol	8.15
Sterol	18.99
Sterol	11.95
Sterol	10.21
Sterol	6.75
Sterol	11.75
Sterol	9.39
Sterol	15.09
Sterol	20.33
Sterol	17.4
Sterol	20.32
Sterol	6.3
Sterol	-1.0
Sterol	6.2
Sterol	18.15
Sterol	7.05
Sterol	18.09
Sterol	19.25
Sterol	6.13
Sterol	19.49
Sterol	13.42
Sterol	6.85
Sterol	16.9
Sterol	13.11
Sterol	15.05
Sterol	14.44
Sterol	16.25
Sterol	16.21
Sterol	19.0
Sterol	10.95
Sterol	7.06
Sterol	10.98
Sterol	13.43
Sterol	18.42
Sterol	23.6
Sterol	6.53
Sterol	21.81
Sterol	15.37
Sterol	10.21
Sterol	18.18
Sterol	1.44
Sterol	6.95
Sterol	14.26
Sterol	9.3
Sterol	18.35
Sterol	14.66
Sterol	18.67
Sterol	12.95
Sterol	20.69
Sterol	17.28
Sterol	11.84
Sterol	13.19
Sterol	25.73
Sterol	-1.0
Sterol	18.68
Sterol	18.71
Sterol	18.81
Sterol	20.24
Sterol	11.58
Sterol	-1.0
Sterol	11.04
Sterol	19.43
Sterol	9.13
Sterol	19.62
Sterol	15.83
Sterol	14.38
Sterol	13.44
Sterol	10.9
Sterol	18.85
Sterol	12.74
Sterol	10.58
Sterol	10.38
Sterol	18.09
Sterol	15.47
Sterol	8.84
Sterol	22.21
Sterol	11.01
Sterol	17.53
Sterol	19.31
Sterol	16.01
Sterol	11.82
Sterol	20.08
Sterol	13.31
Sterol	-1.0
Sterol	12.87
Sterol	20.68
Sterol	2.46
Sterol	12.9
Sterol	9.31
Sterol	11.46
Sterol	12.12
Sterol	0.36
Sterol	17.65
Sterol	11.77
Sterol	16.12
Sterol	15.01
Sterol	6.08
Sterol	14.54
Sterol	13.04
Sterol	9.25
Sterol	24.91
Sterol	15.41
Sterol	23.98
Sterol	13.3
Sterol	12.31
Sterol	13.3
Sterol	6.69
Sterol	22.28
Sterol	9.12
Sterol	11.05
Sterol	22.61
Sterol	5.46
Sterol	12.17
Sterol	19.23
Sterol	14.01
Sterol	14.07
Sterol	17.9
Sterol	11.98
Sterol	13.93
Sterol	16.26
Sterol	22.85
Sterol	15.82
Sterol	18.52
Sterol	17.78
Sterol	8.65
Sterol	10.8
Sterol	12.38
Sterol	14.53
Sterol	15.92
Sterol	15.68
Sterol	12.67
Sterol	13.34
Sterol	21.14
Sterol	17.23
Sterol	9.27
Sterol	10.44
Sterol	15.43
Sterol	20.83
Sterol	23.01
Sterol	15.16
Sterol	3.85
Sterol	9.35
Sterol	22.37
Sterol	14.46
Sterol	17.31
Sterol	15.49
Sterol	20.83
Sterol	4.29
Sterol	20.57
Sterol	8.7
Sterol	22.31
Sterol	21.38
Sterol	12.95
Sterol	15.1
Sterol	12.31
Sterol	10.85
Sterol	-1.0
Sterol	9.5
