class	pi-cation_dist
Fatty Acyl	4.03
Fatty Acyl	3.73
Fatty Acyl	4.02
Fatty Acyl	4.02
Fatty Acyl	4.43
Fatty Acyl	5.9
Fatty Acyl	4.02
Fatty Acyl	3.86
Fatty Acyl	3.97
Fatty Acyl	3.86
Fatty Acyl	4.38
Fatty Acyl	3.94
Fatty Acyl	3.88
Fatty Acyl	4.09
Fatty Acyl	4.08
Fatty Acyl	4.16
Fatty Acyl	3.94
Fatty Acyl	3.93
Fatty Acyl	4.63
Fatty Acyl	4.41
Fatty Acyl	4.29
Fatty Acyl	4.29
Fatty Acyl	4.29
Fatty Acyl	4.25
Fatty Acyl	4.65
Fatty Acyl	3.87
Fatty Acyl	4.24
Fatty Acyl	3.78
Fatty Acyl	3.94
Fatty Acyl	3.64
Fatty Acyl	3.58
Fatty Acyl	3.93
Fatty Acyl	3.85
Fatty Acyl	4.03
Fatty Acyl	3.58
Fatty Acyl	3.46
Fatty Acyl	3.62
Fatty Acyl	4.34
Fatty Acyl	3.63
Fatty Acyl	3.67
Fatty Acyl	3.83
Fatty Acyl	3.8
Fatty Acyl	3.8
Fatty Acyl	3.86
Fatty Acyl	3.86
Fatty Acyl	3.39
Fatty Acyl	3.43
Fatty Acyl	3.53
Fatty Acyl	3.33
Fatty Acyl	3.46
Fatty Acyl	4.54
Fatty Acyl	4.23
Fatty Acyl	4.47
Fatty Acyl	4.47
Fatty Acyl	3.69
Fatty Acyl	3.96
Fatty Acyl	3.93
Fatty Acyl	4.04
Fatty Acyl	4.23
Glycerophopspholipid	4.34
Glycerophopspholipid	4.44
Glycerophopspholipid	4.51
Glycerophopspholipid	4.38
Glycerophopspholipid	4.37
Glycerophopspholipid	4.37
Glycerophopspholipid	4.31
Glycerophopspholipid	4.45
Glycerophopspholipid	4.46
Glycerophopspholipid	3.75
Glycerophopspholipid	4.44
Glycerophopspholipid	4.74
Glycerophopspholipid	4.27
Glycerophopspholipid	4.83
Glycerophopspholipid	5.07
Glycerophopspholipid	4.63
Glycerophopspholipid	4.65
Glycerophopspholipid	5.33
Glycerophopspholipid	4.13
Glycerophopspholipid	5.35
Glycerophopspholipid	5.5
Glycerophopspholipid	5.59
Glycerophopspholipid	5.7
Glycerophopspholipid	5.85
Glycerophopspholipid	4.48
Glycerophopspholipid	4.79
Glycerophopspholipid	4.98
Glycerophopspholipid	4.48
Glycerophopspholipid	4.79
Glycerophopspholipid	4.98
Glycerophopspholipid	4.48
Glycerophopspholipid	4.79
Glycerophopspholipid	4.98
Glycerophopspholipid	4.48
Glycerophopspholipid	4.67
Glycerophopspholipid	5.16
Glycerophopspholipid	4.81
Glycerophopspholipid	4.8
Glycerophopspholipid	4.69
Glycerophopspholipid	4.69
Glycerophopspholipid	4.69
Glycerophopspholipid	4.69
Glycerophopspholipid	4.99
Glycerophopspholipid	5.11
Glycerophopspholipid	4.93
Glycerophopspholipid	4.93
Glycerophopspholipid	4.89
Glycerophopspholipid	4.41
Glycerophopspholipid	4.53
Glycerophopspholipid	4.42
Glycerophopspholipid	4.35
Glycerophopspholipid	4.37
Glycerophopspholipid	4.37
Glycerophopspholipid	4.23
Glycerophopspholipid	4.56
Glycerophopspholipid	4.56
Glycerophopspholipid	4.49
Glycerophopspholipid	4.55
Glycerophopspholipid	4.49
Glycerophopspholipid	4.55
Glycerophopspholipid	4.59
Glycerophopspholipid	4.44
Glycerophopspholipid	4.39
Glycerophopspholipid	5.07
Glycerophopspholipid	5.07
Glycerophopspholipid	4.56
Glycerophopspholipid	4.58
Glycerophopspholipid	5.16
Glycerophopspholipid	4.3
Glycerophopspholipid	4.52
Glycerophopspholipid	4.27
Glycerophopspholipid	4.31
Glycerophopspholipid	4.23
Glycerophopspholipid	4.28
Glycerophopspholipid	4.32
Glycerophopspholipid	5.0
Glycerophopspholipid	4.64
Glycerophopspholipid	4.91
Glycerophopspholipid	4.72
Glycerophopspholipid	4.71
Glycerophopspholipid	4.71
Glycerophopspholipid	4.71
Glycerophopspholipid	4.71
Glycerophopspholipid	4.77
Glycerophopspholipid	4.97
Glycerophopspholipid	4.76
Glycerophopspholipid	5.0
Glycerophopspholipid	5.07
Glycerophopspholipid	4.44
Glycerophopspholipid	4.91
Glycerophopspholipid	4.75
Glycerophopspholipid	4.62
Glycerophopspholipid	4.68
Glycerophopspholipid	4.72
Glycerophopspholipid	4.96
Glycerophopspholipid	4.81
Glycerophopspholipid	4.48
Glycerophopspholipid	4.52
Glycerophopspholipid	4.56
Glycerophopspholipid	4.5
Glycerophopspholipid	4.42
Glycerophopspholipid	4.86
Glycerophopspholipid	5.0
Glycerophopspholipid	4.77
Glycerophopspholipid	5.09
Glycerophopspholipid	4.67
Glycerophopspholipid	4.56
Glycerophopspholipid	4.46
Glycerophopspholipid	4.28
Glycerophopspholipid	5.15
Glycerophopspholipid	3.56
Glycerophopspholipid	4.52
Glycerophopspholipid	4.87
Glycerophopspholipid	4.77
Glycerophopspholipid	4.69
Glycerophopspholipid	4.74
Glycerophopspholipid	4.72
Glycerophopspholipid	4.77
Glycerophopspholipid	5.61
Glycerophopspholipid	5.45
Glycerophopspholipid	5.38
Glycerophopspholipid	4.93
Glycerophopspholipid	5.17
Glycerophopspholipid	4.91
Glycerophopspholipid	5.0
Glycerophopspholipid	4.99
Glycerophopspholipid	5.0
Glycerophopspholipid	4.39
Glycerophopspholipid	4.75
Glycerophopspholipid	5.08
Glycerophopspholipid	4.58
Glycerophopspholipid	4.87
Glycerophopspholipid	4.4
Glycerophopspholipid	4.86
Glycerophopspholipid	4.51
Glycerophopspholipid	4.33
Glycerophopspholipid	4.48
Glycerophopspholipid	4.51
Glycerophopspholipid	4.65
Glycerophopspholipid	4.51
Glycerophopspholipid	4.67
Glycerophopspholipid	4.51
Glycerophopspholipid	4.65
Glycerophopspholipid	4.51
Glycerophopspholipid	4.65
Glycerophopspholipid	5.02
Glycerophopspholipid	5.85
Glycerophopspholipid	5.02
Glycerophopspholipid	5.87
Glycerophopspholipid	5.04
Glycerophopspholipid	5.81
Glycerophopspholipid	5.86
Glycerophopspholipid	5.02
Glycerophopspholipid	5.18
Glycerophopspholipid	4.32
Glycerophopspholipid	5.14
Glycerophopspholipid	4.33
Glycerophopspholipid	5.14
Glycerophopspholipid	4.33
Glycerophopspholipid	5.14
Glycerophopspholipid	4.33
Glycerophopspholipid	4.37
Glycerophopspholipid	4.38
Glycerophopspholipid	4.37
Glycerophopspholipid	4.38
Glycerophopspholipid	4.85
Glycerophopspholipid	4.84
Glycerophopspholipid	4.84
Glycerophopspholipid	4.85
Glycerophopspholipid	4.85
Glycerophopspholipid	4.62
Glycerophopspholipid	4.82
Glycerophopspholipid	5.03
Glycerophopspholipid	4.94
Glycerophopspholipid	5.02
Glycerophopspholipid	4.98
Glycerophopspholipid	5.89
Glycerophopspholipid	5.89
Glycerophopspholipid	4.49
Glycerophopspholipid	4.53
Glycerophopspholipid	4.87
Glycerophopspholipid	4.27
Glycerophopspholipid	4.55
Glycerophopspholipid	5.05
Glycerophopspholipid	4.71
Glycerophopspholipid	4.3
Glycerophopspholipid	5.0
Glycerophopspholipid	4.64
Glycerophopspholipid	4.35
Glycerophopspholipid	4.39
Glycerophopspholipid	4.81
Glycerophopspholipid	4.15
Glycerophopspholipid	4.74
Glycerophopspholipid	4.46
Glycerophopspholipid	4.42
Glycerophopspholipid	5.04
Glycerophopspholipid	4.73
Glycerophopspholipid	4.32
Glycerophopspholipid	4.2
Glycerophopspholipid	4.95
Glycerophopspholipid	4.97
Glycerophopspholipid	4.56
Glycerophopspholipid	4.66
Glycerophopspholipid	4.81
Glycerophopspholipid	4.3
Glycerophopspholipid	4.43
Glycerophopspholipid	4.33
Glycerophopspholipid	4.28
Glycerophopspholipid	4.26
Glycerophopspholipid	4.41
Glycerophopspholipid	4.36
Glycerophopspholipid	4.31
Glycerophopspholipid	4.58
Glycerophopspholipid	4.51
Glycerophopspholipid	4.18
Glycerophopspholipid	4.43
Glycerophopspholipid	4.63
Glycerophopspholipid	4.78
Glycerophopspholipid	4.72
Glycerophopspholipid	4.56
Glycerophopspholipid	4.78
Glycerophopspholipid	4.47
Glycerophopspholipid	4.44
Glycerophopspholipid	4.47
Glycerophopspholipid	4.39
Glycerophopspholipid	5.76
Glycerophopspholipid	5.09
Glycerophopspholipid	5.39
Glycerophopspholipid	5.69
Glycerophopspholipid	5.69
Glycerophopspholipid	4.98
Glycerophopspholipid	5.44
Glycerophopspholipid	4.98
Glycerophopspholipid	5.44
Glycerophopspholipid	4.98
Glycerophopspholipid	5.44
Glycerophopspholipid	5.14
Glycerophopspholipid	5.14
Glycerophopspholipid	5.14
Glycerophopspholipid	5.12
Glycerophopspholipid	5.1
Glycerophopspholipid	5.1
Glycerophopspholipid	4.57
Glycerophopspholipid	4.74
Glycerophopspholipid	4.76
Glycerophopspholipid	4.77
Glycerophopspholipid	4.62
Glycerophopspholipid	4.8
Glycerophopspholipid	4.49
Glycerophopspholipid	4.19
Glycerophopspholipid	4.47
Glycerophopspholipid	4.53
Glycerophopspholipid	4.88
Glycerophopspholipid	4.68
Glycerophopspholipid	4.64
Glycerophopspholipid	4.59
Glycerophopspholipid	4.61
Glycerophopspholipid	5.33
Glycerophopspholipid	5.42
Glycerophopspholipid	5.39
Glycerophopspholipid	5.27
Glycerophopspholipid	4.7
Glycerophopspholipid	4.52
Glycerophopspholipid	4.57
Glycerophopspholipid	4.65
Glycerophopspholipid	4.63
Glycerophopspholipid	4.58
Glycerophopspholipid	4.66
Glycerophopspholipid	4.6
Glycerophopspholipid	4.91
Glycerophopspholipid	4.43
Glycerophopspholipid	4.42
Glycerophopspholipid	4.3
Glycerophopspholipid	4.43
Glycerophopspholipid	4.66
Glycerophopspholipid	4.57
Glycerophopspholipid	4.7
Glycerophopspholipid	4.62
Glycerophopspholipid	4.4
Glycerophopspholipid	4.75
Glycerophopspholipid	4.62
Glycerophopspholipid	4.38
Glycerophopspholipid	4.4
Glycerophopspholipid	4.39
Glycerophopspholipid	4.62
Glycerophopspholipid	4.39
Glycerophopspholipid	4.61
Glycerophopspholipid	4.57
Glycerophopspholipid	4.56
Glycerophopspholipid	4.34
Glycerophopspholipid	4.67
Glycerophopspholipid	4.36
Glycerophopspholipid	4.55
Glycerophopspholipid	4.57
Glycerophopspholipid	4.28
Glycerophopspholipid	4.68
Glycerophopspholipid	4.61
Glycerophopspholipid	4.8
Glycerophopspholipid	4.57
Glycerophopspholipid	4.59
Glycerophopspholipid	4.21
Glycerophopspholipid	4.52
Glycerophopspholipid	4.32
Glycerophopspholipid	4.75
Glycerophopspholipid	4.38
Glycerophopspholipid	4.67
Glycerophopspholipid	3.72
Glycerophopspholipid	4.05
Glycerophopspholipid	4.67
Glycerophopspholipid	4.42
Glycerophopspholipid	4.6
Glycerophopspholipid	3.72
Glycerophopspholipid	4.04
Glycerophopspholipid	5.03
Glycerophopspholipid	4.47
Glycerophopspholipid	4.57
Glycerophopspholipid	4.53
Glycerophopspholipid	4.54
Glycerophopspholipid	4.82
Glycerophopspholipid	4.8
Glycerophopspholipid	4.44
Glycerophopspholipid	4.42
Glycerophopspholipid	4.71
Glycerophopspholipid	4.61
Glycerophopspholipid	4.4
Glycerophopspholipid	4.56
Glycerophopspholipid	4.59
Glycerophopspholipid	4.55
Glycerophopspholipid	4.68
Glycerophopspholipid	4.52
Glycerophopspholipid	4.44
Glycerophopspholipid	4.42
Glycerophopspholipid	4.59
Glycerophopspholipid	4.56
Glycerophopspholipid	4.56
Glycerophopspholipid	4.59
Glycerophopspholipid	4.62
Glycerophopspholipid	4.54
Glycerophopspholipid	4.86
Glycerophopspholipid	4.56
Glycerophopspholipid	4.85
Glycerophopspholipid	4.51
Glycerophopspholipid	4.8
Glycerophopspholipid	4.45
Glycerophopspholipid	4.63
Glycerophopspholipid	4.59
Glycerophopspholipid	4.49
Glycerophopspholipid	4.46
Glycerophopspholipid	4.71
Glycerophopspholipid	4.21
Glycerophopspholipid	4.66
Glycerophopspholipid	4.4
Glycerophopspholipid	4.71
Glycerophopspholipid	4.61
Glycerophopspholipid	4.4
Glycerophopspholipid	4.42
Glycerophopspholipid	4.46
