class	donor_angle
sterol	123.71
sterol	147.32
sterol	128.32
sterol	122.43
sterol	157.72
sterol	135.1
sterol	121.59
sterol	115.13
sterol	137.35
sterol	146.61
sterol	153.8
sterol	142.71
sterol	130.37
sterol	143.27
sterol	120.17
sterol	103.3
sterol	134.22
sterol	147.14
sterol	110.54
sterol	147.12
sterol	131.37
sterol	150.78
sterol	157.15
sterol	102.26
sterol	111.12
sterol	161.71
sterol	144.43
sterol	104.4
sterol	108.59
sterol	107.26
sterol	138.44
sterol	146.16
sterol	147.2
sterol	166.74
sterol	162.21
sterol	169.72
sterol	118.71
sterol	108.96
sterol	134.07
sterol	153.4
sterol	155.2
sterol	167.12
sterol	145.76
sterol	158.03
sterol	139.83
sterol	109.17
sterol	132.73
sterol	115.15
sterol	114.17
sterol	108.24
sterol	160.96
sterol	118.96
sterol	128.74
sterol	152.22
sterol	129.7
sterol	142.72
sterol	112.3
sterol	166.43
sterol	175.78
sterol	107.58
sterol	148.75
sterol	153.01
sterol	150.02
sterol	173.24
sterol	156.64
sterol	124.19
sterol	145.09
sterol	125.19
sterol	151.11
sterol	166.6
sterol	164.02
sterol	117.28
sterol	108.41
sterol	143.9
sterol	157.08
sterol	153.41
sterol	167.34
sterol	137.2
sterol	111.48
sterol	124.72
sterol	153.61
sterol	107.51
sterol	166.83
sterol	143.44
sterol	124.79
sterol	115.14
sterol	103.45
sterol	144.92
sterol	165.45
sterol	155.57
sterol	162.04
sterol	153.57
sterol	117.53
sterol	148.58
sterol	104.55
sterol	145.91
sterol	125.54
sterol	167.05
sterol	102.67
sterol	156.6
sterol	125.25
sterol	168.66
sterol	117.57
sterol	169.4
sterol	162.45
sterol	141.38
sterol	100.62
sterol	154.07
sterol	153.54
sterol	168.74
sterol	169.76
sterol	145.3
sterol	103.9
sterol	156.75
sterol	146.86
sterol	163.79
sterol	130.83
sterol	164.18
sterol	104.11
sterol	152.01
sterol	159.08
sterol	147.03
sterol	161.85
sterol	122.3
sterol	116.34
sterol	129.45
sterol	155.15
sterol	170.07
sterol	138.51
sterol	152.7
sterol	121.83
sterol	148.97
sterol	108.05
sterol	164.72
sterol	170.17
sterol	138.93
sterol	111.72
sterol	155.47
sterol	153.22
sterol	160.04
sterol	155.05
sterol	136.34
sterol	100.17
sterol	154.01
sterol	122.9
sterol	140.95
sterol	157.7
sterol	155.55
sterol	175.75
sterol	109.29
sterol	105.29
sterol	143.42
sterol	101.75
sterol	165.43
sterol	147.81
sterol	166.8
sterol	164.52
sterol	129.22
sterol	100.7
sterol	122.57
sterol	130.41
sterol	107.47
sterol	159.79
sterol	158.74
sterol	148.93
sterol	107.02
sterol	162.15
sterol	150.1
sterol	163.3
sterol	147.71
sterol	114.44
sterol	147.4
sterol	148.68
sterol	151.58
sterol	172.79
sterol	157.0
sterol	117.79
sterol	153.92
sterol	150.49
sterol	108.57
sterol	172.26
sterol	153.81
sterol	163.97
sterol	148.32
sterol	115.83
sterol	152.19
sterol	154.99
sterol	145.75
sterol	168.96
sterol	157.29
sterol	119.23
sterol	134.81
sterol	161.79
sterol	134.32
sterol	115.99
sterol	136.9
sterol	149.06
sterol	131.14
sterol	118.69
sterol	165.42
sterol	143.3
sterol	152.97
sterol	112.7
sterol	156.3
sterol	128.53
sterol	150.87
sterol	124.51
sterol	143.28
sterol	153.03
sterol	106.69
sterol	159.06
sterol	163.55
sterol	157.98
sterol	101.44
sterol	111.25
sterol	102.12
sterol	156.6
sterol	120.38
sterol	165.46
sterol	135.88
sterol	140.15
sterol	116.11
sterol	116.4
sterol	173.64
sterol	161.09
sterol	120.29
sterol	126.42
sterol	160.78
sterol	116.55
sterol	174.69
sterol	164.53
sterol	121.95
sterol	124.9
sterol	153.76
sterol	103.25
sterol	128.88
sterol	107.08
sterol	151.42
sterol	135.98
sterol	116.16
sterol	157.73
sterol	164.91
sterol	114.0
sterol	154.43
sterol	106.19
sterol	159.59
sterol	160.16
sterol	156.51
sterol	103.25
sterol	139.0
sterol	131.86
sterol	103.94
sterol	111.05
sterol	157.22
sterol	135.34
sterol	107.34
sterol	104.56
sterol	140.69
sterol	112.09
sterol	145.12
sterol	143.34
sterol	105.66
sterol	105.3
sterol	118.29
sterol	105.42
sterol	100.36
sterol	106.63
sterol	136.02
sterol	156.26
sterol	135.72
sterol	134.8
sterol	139.34
sterol	117.92
sterol	113.17
sterol	103.85
sterol	163.16
sterol	127.22
sterol	114.6
sterol	174.1
sterol	135.06
sterol	165.74
sterol	137.37
sterol	106.16
sterol	174.01
sterol	102.01
sterol	135.53
sterol	122.77
sterol	178.33
sterol	142.59
sterol	102.99
sterol	149.75
sterol	115.49
sterol	162.62
sterol	138.95
sterol	162.27
sterol	100.41
sterol	175.12
sterol	126.25
sterol	140.64
sterol	148.32
sterol	114.23
sterol	114.38
sterol	151.5
sterol	105.4
sterol	105.03
sterol	116.32
sterol	131.82
sterol	153.4
sterol	154.59
sterol	152.4
sterol	162.89
sterol	130.26
sterol	101.66
sterol	122.77
sterol	121.71
sterol	145.35
sterol	144.05
sterol	161.95
sterol	170.61
sterol	150.82
sterol	174.14
sterol	147.07
sterol	144.21
sterol	105.71
sterol	165.88
sterol	145.25
sterol	173.27
sterol	159.9
sterol	172.14
sterol	162.23
sterol	162.09
sterol	104.56
sterol	136.31
sterol	157.99
sterol	144.93
sterol	163.12
sterol	159.1
sterol	152.67
sterol	140.71
sterol	124.96
sterol	152.09
sterol	145.23
sterol	127.99
sterol	155.4
sterol	161.81
sterol	134.66
sterol	145.07
sterol	113.93
sterol	156.81
sterol	130.99
sterol	109.25
sterol	142.22
sterol	126.98
sterol	100.07
sterol	143.15
sterol	101.9
sterol	140.83
sterol	133.32
sterol	155.25
sterol	136.81
sterol	111.42
sterol	149.23
sterol	124.42
sterol	156.91
sterol	146.96
sterol	135.73
sterol	126.76
sterol	117.99
sterol	103.11
sterol	172.54
sterol	125.31
sterol	100.88
sterol	170.19
sterol	139.88
sterol	103.86
sterol	141.36
sterol	106.08
sterol	121.37
sterol	148.97
sterol	124.88
sterol	125.67
sterol	124.72
sterol	129.48
sterol	117.14
sterol	126.34
sterol	134.29
sterol	165.09
sterol	153.91
sterol	117.33
sterol	172.45
sterol	163.89
sterol	122.33
sterol	124.16
sterol	158.16
sterol	118.67
sterol	169.2
sterol	156.33
sterol	126.3
sterol	128.89
sterol	160.36
sterol	157.85
sterol	176.71
sterol	144.52
sterol	165.27
sterol	171.28
sterol	149.2
sterol	161.56
