class	GO_CC	polarity_score
Sterol	nucleoplasm [GO:0005654]	5
Sterol	plasma membrane [GO:0005886]	5
Sterol	nuclear speck [GO:0016607]	5
Sterol	chromatin [GO:0000785]	5
Sterol	nucleus [GO:0005634]	5
Sterol	cytoplasm [GO:0005737]	5
Sterol	cytoplasm [GO:0005737]	6
Sterol	apical plasma membrane [GO:0016324]	2
Sterol	mitochondrial membrane [GO:0031966]	2
Sterol	external side of apical plasma membrane [GO:0098591]	2
Sterol	nucleoplasm [GO:0005654]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	brush border membrane [GO:0031526]	2
Sterol	membrane raft [GO:0045121]	2
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	cytosol [GO:0005829]	6
Sterol	nucleoplasm [GO:0005654]	6
Sterol	cytoskeleton [GO:0005856]	6
Sterol	nucleus [GO:0005634]	6
Sterol	cytoplasm [GO:0005737]	6
Sterol	cytosol [GO:0005829]	6
Sterol	nucleoplasm [GO:0005654]	6
Sterol	endoplasmic reticulum membrane [GO:0005789]	6
Sterol	receptor complex [GO:0043235]	6
Sterol	chromatin [GO:0000785]	6
Sterol	cytoplasm [GO:0005737]	3
Sterol	membrane [GO:0016020]	1
Sterol	intracellular membrane-bounded organelle [GO:0043231]	1
Sterol	endoplasmic reticulum membrane [GO:0005789]	1
Sterol	collagen-containing extracellular matrix [GO:0062023]	3
Sterol	secretory granule lumen [GO:0034774]	3
Sterol	azurophil granule lumen [GO:0035578]	3
Sterol	extracellular exosome [GO:0070062]	3
Sterol	blood microparticle [GO:0072562]	3
Sterol	platelet alpha granule lumen [GO:0031093]	3
Sterol	extracellular region [GO:0005576]	3
Sterol	extracellular space [GO:0005615]	3
Sterol	nucleus [GO:0005634]	3
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	membrane [GO:0016020]	2
Sterol	proton-transporting V-type ATPase complex [GO:0033176]	2
Sterol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	2
Sterol	transmembrane transporter complex [GO:1902495]	2
Sterol	synaptic vesicle membrane [GO:0030672]	2
Sterol	synaptic vesicle [GO:0008021]	2
Sterol	clathrin-coated vesicle membrane [GO:0030665]	2
Sterol	recycling endosome [GO:0055037]	4
Sterol	endosome [GO:0005768]	4
Sterol	Golgi membrane [GO:0000139]	4
Sterol	plasma membrane [GO:0005886]	4
Sterol	endoplasmic reticulum membrane [GO:0005789]	4
Sterol	mitochondrion [GO:0005739]	4
Sterol	external side of plasma membrane [GO:0009897]	4
Sterol	Golgi apparatus [GO:0005794]	4
Sterol	postsynaptic membrane [GO:0045211]	2
Sterol	acetylcholine-gated channel complex [GO:0005892]	2
Sterol	postsynaptic membrane [GO:0045211]	3
Sterol	acetylcholine-gated channel complex [GO:0005892]	3
Sterol	mitochondrial inner membrane [GO:0005743]	2
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	endoplasmic reticulum membrane [GO:0005789]	5
Sterol	membrane [GO:0016020]	7
Sterol	membrane [GO:0016020]	2
Sterol	proton-transporting V-type ATPase complex [GO:0033176]	2
Sterol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	2
Sterol	transmembrane transporter complex [GO:1902495]	2
Sterol	synaptic vesicle membrane [GO:0030672]	2
Sterol	synaptic vesicle [GO:0008021]	2
Sterol	clathrin-coated vesicle membrane [GO:0030665]	2
Sterol	recycling endosome [GO:0055037]	4
Sterol	endosome [GO:0005768]	4
Sterol	clathrin-coated pit [GO:0005905]	4
Sterol	early endosome [GO:0005769]	4
Sterol	intracellular membrane-bounded organelle [GO:0043231]	4
Sterol	plasma membrane [GO:0005886]	4
Sterol	external side of plasma membrane [GO:0009897]	4
Sterol	cell surface [GO:0009986]	4
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	1
Sterol	respiratory chain complex IV [GO:0045277]	1
Sterol	membrane [GO:0016020]	5
Sterol	Golgi cisterna membrane [GO:0032580]	5
Sterol	plasma membrane [GO:0005886]	5
Sterol	presynaptic membrane [GO:0042734]	5
Sterol	gamma-secretase complex [GO:0070765]	5
Sterol	endoplasmic reticulum membrane [GO:0005789]	5
Sterol	early endosome [GO:0005769]	5
Sterol	Golgi apparatus [GO:0005794]	5
Sterol	Golgi membrane [GO:0000139]	5
Sterol	endosome membrane [GO:0010008]	5
Sterol	synaptic vesicle [GO:0008021]	5
Sterol	endoplasmic reticulum [GO:0005783]	5
Sterol	postsynaptic membrane [GO:0045211]	7
Sterol	acetylcholine-gated channel complex [GO:0005892]	7
Sterol	mitochondrial inner membrane [GO:0005743]	3
Sterol	respiratory chain complex IV [GO:0045277]	3
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	plasma membrane [GO:0005886]	3
Sterol	membrane [GO:0016020]	3
Sterol	lysosome [GO:0005764]	3
Sterol	plasma membrane [GO:0005886]	5
Sterol	membrane [GO:0016020]	5
Sterol	lysosome [GO:0005764]	5
Sterol	respiratory chain complex IV [GO:0045277]	4
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	4
Sterol	dendrite [GO:0030425]	0
Sterol	dendritic shaft [GO:0043198]	0
Sterol	glutamatergic synapse [GO:0098978]	0
Sterol	postsynaptic membrane [GO:0045211]	0
Sterol	synapse [GO:0045202]	0
Sterol	AMPA glutamate receptor complex [GO:0032281]	0
Sterol	varicosity [GO:0043196]	2
Sterol	ruffle [GO:0001726]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	synaptic vesicle membrane [GO:0030672]	2
Sterol	neuronal cell body [GO:0043025]	2
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	2
Sterol	respiratory chain complex IV [GO:0045277]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	membrane [GO:0016020]	2
Sterol	dendrite [GO:0030425]	0
Sterol	dendritic shaft [GO:0043198]	0
Sterol	glutamatergic synapse [GO:0098978]	0
Sterol	postsynaptic membrane [GO:0045211]	0
Sterol	synapse [GO:0045202]	0
Sterol	AMPA glutamate receptor complex [GO:0032281]	0
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	0
Sterol	respiratory chain complex IV [GO:0045277]	0
Sterol	mitochondrion [GO:0005739]	0
Sterol	mitochondrial respirasome [GO:0005746]	0
Sterol	apical plasma membrane [GO:0016324]	0
Sterol	extracellular exosome [GO:0070062]	0
Sterol	brush border membrane [GO:0031526]	0
Sterol	gamma-delta T cell receptor complex [GO:0042106]	3
Sterol	Fc-gamma receptor III complex [GO:0033001]	3
Sterol	Golgi apparatus [GO:0005794]	3
Sterol	T cell receptor complex [GO:0042101]	3
Sterol	alpha-beta T cell receptor complex [GO:0042105]	3
Sterol	plasma membrane [GO:0005886]	3
Sterol	cytoplasm [GO:0005737]	3
Sterol	neuron projection [GO:0043005]	2
Sterol	membrane [GO:0016020]	2
Sterol	endosome [GO:0005768]	2
Sterol	plasma membrane [GO:0005886]	2
Sterol	voltage-gated potassium channel complex [GO:0008076]	7
Sterol	apical plasma membrane [GO:0016324]	7
Sterol	postsynaptic membrane [GO:0045211]	7
Sterol	membrane [GO:0016020]	7
Sterol	caveola [GO:0005901]	7
Sterol	plasma membrane [GO:0005886]	7
Sterol	lysosomal lumen [GO:0043202]	13
Sterol	cytosol [GO:0005829]	13
Sterol	extracellular exosome [GO:0070062]	13
Sterol	blood microparticle [GO:0072562]	13
Sterol	extracellular region [GO:0005576]	13
Sterol	extracellular space [GO:0005615]	13
Sterol	cytoplasm [GO:0005737]	13
Sterol	apical plasma membrane [GO:0016324]	3
Sterol	extracellular exosome [GO:0070062]	3
