class	GO_CC	polarity_score
Glycerolipid	spine apparatus [GO:0097444]	2
Glycerolipid	postsynaptic density membrane [GO:0098839]	1
Glycerolipid	neuronal dense core vesicle [GO:0098992]	1
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	presynaptic membrane [GO:0042734]	1
Glycerolipid	neuron projection [GO:0043005]	1
Glycerolipid	dendrite membrane [GO:0032590]	1
Glycerolipid	synaptic vesicle membrane [GO:0030672]	1
Glycerolipid	axon terminus [GO:0043679]	1
Glycerolipid	spine apparatus [GO:0097444]	1
Glycerolipid	postsynaptic density membrane [GO:0098839]	7
Glycerolipid	neuronal dense core vesicle [GO:0098992]	7
Glycerolipid	plasma membrane [GO:0005886]	7
Glycerolipid	presynaptic membrane [GO:0042734]	7
Glycerolipid	neuron projection [GO:0043005]	7
Glycerolipid	dendrite membrane [GO:0032590]	7
Glycerolipid	synaptic vesicle membrane [GO:0030672]	7
Glycerolipid	axon terminus [GO:0043679]	7
Glycerolipid	spine apparatus [GO:0097444]	7
Glycerolipid	postsynaptic density membrane [GO:0098839]	5
Glycerolipid	neuronal dense core vesicle [GO:0098992]	5
Glycerolipid	plasma membrane [GO:0005886]	5
Glycerolipid	presynaptic membrane [GO:0042734]	5
Glycerolipid	neuron projection [GO:0043005]	5
Glycerolipid	dendrite membrane [GO:0032590]	5
Glycerolipid	synaptic vesicle membrane [GO:0030672]	5
Glycerolipid	axon terminus [GO:0043679]	5
Glycerolipid	spine apparatus [GO:0097444]	5
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	3
Glycerolipid	dendrite [GO:0030425]	3
Glycerolipid	cytoplasm [GO:0005737]	3
Glycerolipid	plasma membrane [GO:0005886]	3
Glycerolipid	nucleoplasm [GO:0005654]	3
Glycerolipid	synapse [GO:0045202]	3
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	1
Glycerolipid	dendrite [GO:0030425]	1
Glycerolipid	cytoplasm [GO:0005737]	1
Glycerolipid	plasma membrane [GO:0005886]	1
Glycerolipid	nucleoplasm [GO:0005654]	1
Glycerolipid	synapse [GO:0045202]	1
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	6
Glycerolipid	respiratory chain complex IV [GO:0045277]	6
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	7
Glycerolipid	dendrite [GO:0030425]	7
Glycerolipid	cytoplasm [GO:0005737]	7
Glycerolipid	plasma membrane [GO:0005886]	7
Glycerolipid	nucleoplasm [GO:0005654]	7
Glycerolipid	synapse [GO:0045202]	7
