class	GO_CC	polarity_score
Polyketide	nucleus [GO:0005634]	7
Polyketide	cytoplasm [GO:0005737]	7
Polyketide	Golgi apparatus [GO:0005794]	7
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	4
Polyketide	nucleoplasm [GO:0005654]	4
Polyketide	mitochondrion [GO:0005739]	4
Polyketide	chromatin [GO:0000785]	4
Polyketide	nucleus [GO:0005634]	4
Polyketide	host cell nucleus [GO:0042025]	14
Polyketide	host cell cytoplasm [GO:0030430]	14
Polyketide	cell body [GO:0044297]	14
Polyketide	actin filament [GO:0005884]	14
Polyketide	skeletal muscle myofibril [GO:0098723]	14
Polyketide	stress fiber [GO:0001725]	14
Polyketide	filamentous actin [GO:0031941]	14
Polyketide	actin filament bundle [GO:0032432]	14
Polyketide	lamellipodium [GO:0030027]	14
Polyketide	striated muscle thin filament [GO:0005865]	14
Polyketide	cytoplasm [GO:0005737]	14
Polyketide	filopodium [GO:0030175]	14
Polyketide	host cell nucleus [GO:0042025]	6
Polyketide	host cell plasma membrane [GO:0020002]	6
Polyketide	membrane [GO:0016020]	6
Polyketide	viral nucleocapsid [GO:0019013]	6
Polyketide	host multivesicular body [GO:0072494]	6
Polyketide	virion membrane [GO:0055036]	6
Polyketide	nucleus [GO:0005634]	13
Polyketide	cytoplasm [GO:0005737]	13
Polyketide	host cell nucleus [GO:0042025]	11
Polyketide	protein-containing complex [GO:0032991]	11
Polyketide	host cell plasma membrane [GO:0020002]	11
Polyketide	host cell lipid droplet [GO:0044186]	11
Polyketide	viral envelope [GO:0019031]	11
Polyketide	host cell endoplasmic reticulum membrane [GO:0044167]	11
Polyketide	host cell mitochondrial membrane [GO:0044191]	11
Polyketide	ribonucleoprotein complex [GO:1990904]	11
Polyketide	membrane [GO:0016020]	11
Polyketide	viral nucleocapsid [GO:0019013]	11
Polyketide	virion membrane [GO:0055036]	11
Polyketide	host cell perinuclear region of cytoplasm [GO:0044220]	11
Polyketide	nuclear chromosome [GO:0000228]	10
Polyketide	histone deacetylase complex [GO:0000118]	10
Polyketide	cytoplasm [GO:0005737]	10
Polyketide	nucleoplasm [GO:0005654]	10
Polyketide	nucleus [GO:0005634]	10
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	2
Polyketide	endoplasmic reticulum membrane [GO:0005789]	2
Polyketide	cytoplasm [GO:0005737]	2
Polyketide	cytoplasmic microtubule [GO:0005881]	2
Polyketide	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	14
Polyketide	protein-containing complex [GO:0032991]	14
Polyketide	endoplasmic reticulum [GO:0005783]	14
Polyketide	sorting endosome [GO:0097443]	14
Polyketide	endosome lumen [GO:0031904]	14
Polyketide	early endosome [GO:0005769]	14
Polyketide	cytosol [GO:0005829]	14
Polyketide	mitochondrial crista [GO:0030061]	14
Polyketide	mitochondrial matrix [GO:0005759]	14
Polyketide	cytoplasm [GO:0005737]	14
Polyketide	mitochondrial respiratory chain complex I [GO:0005747]	4
Polyketide	mitochondrial inner membrane [GO:0005743]	4
Polyketide	cell body [GO:0044297]	11
Polyketide	actin filament [GO:0005884]	11
Polyketide	skeletal muscle myofibril [GO:0098723]	11
Polyketide	stress fiber [GO:0001725]	11
Polyketide	filamentous actin [GO:0031941]	11
Polyketide	actin filament bundle [GO:0032432]	11
Polyketide	lamellipodium [GO:0030027]	11
Polyketide	striated muscle thin filament [GO:0005865]	11
Polyketide	cytoplasm [GO:0005737]	11
Polyketide	filopodium [GO:0030175]	11
Polyketide	postsynaptic density membrane [GO:0098839]	6
Polyketide	parallel fiber to Purkinje cell synapse [GO:0098688]	6
Polyketide	dendritic spine [GO:0043197]	6
Polyketide	synaptic vesicle [GO:0008021]	6
Polyketide	synaptic membrane [GO:0097060]	6
Polyketide	NMDA selective glutamate receptor complex [GO:0017146]	6
Polyketide	cell surface [GO:0009986]	6
Polyketide	plasma membrane [GO:0005886]	6
Polyketide	endoplasmic reticulum membrane [GO:0005789]	6
Polyketide	presynaptic active zone membrane [GO:0048787]	6
Polyketide	hippocampal mossy fiber to CA3 synapse [GO:0098686]	6
Polyketide	dendrite membrane [GO:0032590]	6
Polyketide	excitatory synapse [GO:0060076]	6
Polyketide	dendritic branch [GO:0044307]	6
Polyketide	postsynaptic membrane [GO:0045211]	6
Polyketide	membrane [GO:0016020]	6
Polyketide	presynaptic membrane [GO:0042734]	6
Polyketide	synaptic cleft [GO:0043083]	6
Polyketide	dendrite [GO:0030425]	6
Polyketide	cytoplasm [GO:0005737]	6
Polyketide	glutamatergic synapse [GO:0098978]	6
Polyketide	neuron projection [GO:0043005]	6
Polyketide	neuronal cell body [GO:0043025]	6
Polyketide	synaptic vesicle membrane [GO:0030672]	6
Polyketide	terminal bouton [GO:0043195]	6
Polyketide	synapse [GO:0045202]	6
Polyketide	postsynaptic density [GO:0014069]	6
Polyketide	endoplasmic reticulum [GO:0005783]	6
Polyketide	node of Ranvier [GO:0033268]	2
Polyketide	synapse [GO:0045202]	2
Polyketide	plasma membrane [GO:0005886]	2
Polyketide	axon initial segment [GO:0043194]	2
Polyketide	voltage-gated potassium channel complex [GO:0008076]	2
Polyketide	membrane [GO:0016020]	14
Polyketide	endoplasmic reticulum [GO:0005783]	14
Polyketide	endoplasmic reticulum membrane [GO:0005789]	14
Polyketide	maltose transport complex [GO:1990060]	0
Polyketide	outer membrane-bounded periplasmic space [GO:0030288]	0
Polyketide	cytoplasm [GO:0005737]	0
Polyketide	sarcoplasmic reticulum membrane [GO:0033017]	0
Polyketide	cytoplasmic side of membrane [GO:0098562]	0
Polyketide	cytosol [GO:0005829]	0
Polyketide	Z disc [GO:0030018]	0
Polyketide	sarcoplasmic reticulum [GO:0016529]	0
Polyketide	terminal cisterna [GO:0014802]	0
Polyketide	membrane [GO:0016020]	0
Polyketide	ATP-binding cassette (ABC) transporter complex [GO:0043190]	0
Polyketide	ryanodine receptor complex [GO:1990425]	0
Polyketide	periplasmic space [GO:0042597]	0
Polyketide	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]	0
Polyketide	cytoplasm [GO:0005737]	12
Polyketide	plasma membrane [GO:0005886]	1
Polyketide	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	1
Polyketide	host cell endoplasmic reticulum-Golgi intermediate compartment [GO:0044172]	12
Polyketide	host cell Golgi apparatus [GO:0044177]	12
Polyketide	host cell endosome [GO:0044174]	12
Polyketide	host cell endoplasmic reticulum [GO:0044165]	12
Polyketide	membrane [GO:0016020]	12
Polyketide	double membrane vesicle viral factory outer membrane [GO:0062243]	12
Polyketide	host cell perinuclear region of cytoplasm [GO:0044220]	12
Polyketide	protein-containing complex [GO:0032991]	5
Polyketide	cytosol [GO:0005829]	5
Polyketide	nucleoplasm [GO:0005654]	5
Polyketide	membrane [GO:0016020]	5
Polyketide	plasma membrane [GO:0005886]	5
Polyketide	euchromatin [GO:0000791]	5
Polyketide	chromatin [GO:0000785]	5
Polyketide	transcription regulator complex [GO:0005667]	5
Polyketide	nucleus [GO:0005634]	5
Polyketide	cytoplasm [GO:0005737]	5
Polyketide	Golgi apparatus [GO:0005794]	5
Polyketide	dendrite [GO:0030425]	10
Polyketide	protein-containing complex [GO:0032991]	10
Polyketide	perinuclear region of cytoplasm [GO:0048471]	10
Polyketide	cytosol [GO:0005829]	10
Polyketide	nucleoplasm [GO:0005654]	10
Polyketide	plasma membrane [GO:0005886]	10
Polyketide	actin cytoskeleton [GO:0015629]	10
Polyketide	RNA polymerase II transcription regulator complex [GO:0090575]	10
Polyketide	chromatin [GO:0000785]	10
Polyketide	transcription regulator complex [GO:0005667]	10
Polyketide	nucleus [GO:0005634]	10
Polyketide	cytoplasm [GO:0005737]	10
Polyketide	nucleolus [GO:0005730]	10
Polyketide	chloroplast stroma [GO:0009570]	7
Polyketide	endoplasmic reticulum [GO:0005783]	7
Polyketide	chloroplast [GO:0009507]	7
Polyketide	cytosol [GO:0005829]	7
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	7
Polyketide	plasma membrane [GO:0005886]	7
Polyketide	apoplast [GO:0048046]	7
Polyketide	plasmodesma [GO:0009506]	7
Polyketide	plant-type vacuole [GO:0000325]	7
Polyketide	proton-transporting V-type ATPase complex [GO:0033176]	3
Polyketide	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	3
Polyketide	Golgi membrane [GO:0000139]	3
Polyketide	membrane [GO:0016020]	3
Polyketide	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	3
Polyketide	fungal-type vacuole membrane [GO:0000329]	3
Polyketide	chromosome, centromeric region [GO:0000775]	0
Polyketide	meiotic cohesin complex [GO:0030893]	0
Polyketide	chromatin [GO:0000785]	0
Polyketide	nucleus [GO:0005634]	0
Polyketide	microtubule [GO:0005874]	10
Polyketide	cytoplasm [GO:0005737]	10
Polyketide	microtubule cytoskeleton [GO:0015630]	10
Polyketide	proton-transporting V-type ATPase complex [GO:0033176]	1
Polyketide	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	1
Polyketide	Golgi membrane [GO:0000139]	1
Polyketide	membrane [GO:0016020]	1
Polyketide	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	1
Polyketide	fungal-type vacuole membrane [GO:0000329]	1
Polyketide	fungal biofilm matrix [GO:0062040]	2
Polyketide	cytoplasm [GO:0005737]	2
Polyketide	extracellular region [GO:0005576]	2
Polyketide	protein-containing complex [GO:0032991]	7
Polyketide	endocytic vesicle membrane [GO:0030666]	7
Polyketide	cytosol [GO:0005829]	7
Polyketide	transcription repressor complex [GO:0017053]	7
Polyketide	nucleoplasm [GO:0005654]	7
Polyketide	plasma membrane [GO:0005886]	7
Polyketide	nucleus [GO:0005634]	7
Polyketide	cytoplasm [GO:0005737]	7
Polyketide	nucleolus [GO:0005730]	7
Polyketide	NuA4 histone acetyltransferase complex [GO:0035267]	15
Polyketide	actin filament [GO:0005884]	15
Polyketide	Swr1 complex [GO:0000812]	15
Polyketide	actin filament bundle [GO:0032432]	15
Polyketide	Ino80 complex [GO:0031011]	15
Polyketide	actin cortical patch [GO:0030479]	15
Polyketide	cellular bud neck contractile ring [GO:0000142]	15
Polyketide	chromatin [GO:0000785]	15
Polyketide	nucleus [GO:0005634]	15
Polyketide	nuclear envelope [GO:0005635]	9
Polyketide	perinuclear region of cytoplasm [GO:0048471]	9
Polyketide	cytosol [GO:0005829]	9
Polyketide	pericentriolar material [GO:0000242]	9
Polyketide	Golgi membrane [GO:0000139]	9
Polyketide	chromosome, telomeric region [GO:0000781]	9
Polyketide	nucleus [GO:0005634]	9
Polyketide	cytoplasm [GO:0005737]	9
Polyketide	melanosome [GO:0042470]	9
Polyketide	perinuclear region of cytoplasm [GO:0048471]	9
