pdb_file	ccd_id	expected_atom_count	observed_atom_count	missing_atom_count	extra_atom_count	missing_atoms	extra_atoms
/Volumes/GigiMurin/plip/sterol_lipids/BD1ibg-L-H-OBN1/BD1ibg-L-H-OBN1_protonated.pdb	OBN	52	41	21	10	"C1'","C2'","C3'","C4'","C5'","C6'","H1'","H2'","H3'","H4'","H5'","H6'1","H6'2","H6'3","HO2'","HO3'","HO4'","O2'","O3'","O4'","O5'"	C1',C2',C3',C4',C5',C6',O2',O3',O4',O5'
/Volumes/GigiMurin/plip/sterol_lipids/BD1ie8-A-A-KH11/BD1ie8-A-A-KH11_protonated.pdb	KH1	33	33	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1ie9-A-A-VDX1/BD1ie9-A-A-VDX1_protonated.pdb	VDX	30	30	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1igj-A-B-DGX1/plipfixed.BD1igj-A-B-DGX1_v0we4wds.pdb	DGX	55	37	18	0	C1Y,C1Z,C2Y,C2Z,C3Y,C3Z,C4Y,C4Z,C5Y,C5Z,C6Y,C6Z,O3Y,O3Z,O4Y,O4Z,O5Y,O5Z	
/Volumes/GigiMurin/plip/sterol_lipids/BD1igj-A-B-DGX1/BD1igj-A-B-DGX1_protonated.pdb	DGX	55	37	18	0	C1Y,C1Z,C2Y,C2Z,C3Y,C3Z,C4Y,C4Z,C5Y,C5Z,C6Y,C6Z,O3Y,O3Z,O4Y,O4Z,O5Y,O5Z	
/Volumes/GigiMurin/plip/sterol_lipids/BD1igj-B-B-DGX1/plipfixed.BD1igj-B-B-DGX1_yb31de9o.pdb	DGX	55	37	18	0	C1Y,C1Z,C2Y,C2Z,C3Y,C3Z,C4Y,C4Z,C5Y,C5Z,C6Y,C6Z,O3Y,O3Z,O4Y,O4Z,O5Y,O5Z	
/Volumes/GigiMurin/plip/sterol_lipids/BD1igj-B-B-DGX1/BD1igj-B-B-DGX1_protonated.pdb	DGX	55	37	18	0	C1Y,C1Z,C2Y,C2Z,C3Y,C3Z,C4Y,C4Z,C5Y,C5Z,C6Y,C6Z,O3Y,O3Z,O4Y,O4Z,O5Y,O5Z	
/Volumes/GigiMurin/plip/sterol_lipids/BD1ihi-A-A-IU51/BD1ihi-A-A-IU51_protonated.pdb	IU5	28	28	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1iol-A-A-EST1/BD1iol-A-A-EST1_protonated.pdb	EST	20	20	0	0		
/Volumes/GigiMurin/plip/sterol_lipids/BD1irj-B-B-CPS1/BD1irj-B-B-CPS1_protonated.pdb	CPS	42	32	10	0	C28,C29,C30,C31,C32,N2,O1S,O2S,O3S,S	
