interaction_type	group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
pication	prenol	glycerolipid	52614224.0	1.5861948121357916e-06	14798	7088	2.7758409212376354e-06	True
pication	prenol	fattyacyl	221476712.5	1.4062408275480211e-14	14798	30138	3.579522106485872e-14	True
pication	polyketide	glycerophospholipid	43531362.0	2.0909211299495498e-14	2616	32546	4.878815969882283e-14	True
pication	polyketide	glycerolipid	9664488.0	4.018988292822193e-68	2616	7088	5.6265836099510706e-67	True
pication	polyketide	fattyacyl	40693824.0	8.873524934349369e-46	2616	30138	6.211467454044558e-45	True
pication	glycerophospholipid	glycerolipid	117639536.0	4.658901683884931e-33	32546	7088	2.174154119146301e-32	True
pication	glycerophospholipid	fattyacyl	495254105.5	8.351872584093878e-24	32546	30138	2.923155404432857e-23	True
pication	glycerolipid	fattyacyl	105738784.0	2.6308335753135296e-17	7088	30138	7.366334010877883e-17	True
halogen	sterol	sphingolipid	754804.0	2.8180264642083733e-06	6797	224	7.173158272530405e-06	True
halogen	sterol	saccharolipid	1118600.0	0.7034012906624013	6797	329	0.8206348391061349	False
halogen	sterol	prenol	50231648.0	0.02264869979100937	6797	14798	0.03730374083225073	True
halogen	sterol	polyketide	8656534.0	7.574083370690213e-39	6797	2616	3.534572239655433e-38	True
halogen	sterol	glycerophospholipid	110656400.0	0.0001505510739184894	6797	32546	0.00035128583914314197	True
halogen	sterol	glycerolipid	24099200.0	0.0769299947788572	6797	7088	0.1196688807671112	False
halogen	sterol	fattyacyl	102448809.0	0.24767557754141012	6797	30138	0.3152234623254311	False
halogen	sphingolipid	saccharolipid	37177.0	0.08673809144150817	224	329	0.12782455580853835	False
halogen	sphingolipid	prenol	1669486.0	0.009027972222980882	224	14798	0.01685221481623098	True
halogen	sphingolipid	polyketide	287764.0	0.10308607251440154	224	2616	0.14432050152016215	False
halogen	sphingolipid	glycerophospholipid	3677698.0	3.699729383867644e-65	224	32546	3.453080758276468e-64	True
halogen	sphingolipid	glycerolipid	800944.0	1.7882101727013156e-15	224	7088	6.258735604454605e-15	True
halogen	sphingolipid	fattyacyl	3404920.0	1.0632194973798398e-15	224	30138	4.252877989519359e-15	True
halogen	saccharolipid	prenol	2430323.0	0.4648201602523937	329	14798	0.5658680211768271	False
halogen	saccharolipid	polyketide	418817.0	0.002679579404477853	329	2616	0.005359158808955706	True
halogen	saccharolipid	glycerophospholipid	5353817.0	1.0	329	32546	1.0	False
halogen	saccharolipid	glycerolipid	1165976.0	1.0	329	7088	1.0	False
halogen	saccharolipid	fattyacyl	4956714.0	0.7980909939244314	329	30138	0.8938619131953631	False
halogen	prenol	polyketide	18869198.0	7.464501589362579e-59	14798	2616	5.225151112553806e-58	True
halogen	prenol	glycerophospholipid	241198406.0	3.6743492051903584e-13	14798	32546	1.1431308638370002e-12	True
halogen	prenol	glycerolipid	52529168.0	0.0006931347154141151	14798	7088	0.00149290554089194	True
halogen	prenol	fattyacyl	223308300.0	4.088059664049924e-08	14798	30138	1.1446567059339787e-07	True
halogen	polyketide	glycerophospholipid	43709278.0	8.92054360438811e-192	2616	32546	2.497752209228671e-190	True
halogen	polyketide	glycerolipid	9519184.0	1.9034363552400705e-43	2616	7088	1.0659243589344394e-42	True
halogen	polyketide	fattyacyl	40467428.0	1.662362308362592e-161	2616	30138	2.3273072317076288e-160	True
halogen	glycerophospholipid	glycerolipid	115343024.0	1.0	32546	7088	1.0	False
halogen	glycerophospholipid	fattyacyl	490338036.0	0.010910448014497129	32546	30138	0.019093284025369976	True
halogen	glycerolipid	fattyacyl	106787808.0	0.23485196784508455	7088	30138	0.3131359571267794	False
metal	sterol	sphingolipid	761264.0	1.0	6797	224	1.0	False
