class	GO_CC	as_max_dst
Sterol	nucleoplasm [GO:0005654]	13.69
Sterol	plasma membrane [GO:0005886]	13.69
Sterol	nuclear speck [GO:0016607]	13.69
Sterol	chromatin [GO:0000785]	13.69
Sterol	nucleus [GO:0005634]	13.69
Sterol	cytoplasm [GO:0005737]	13.69
Sterol	cytoplasm [GO:0005737]	12.54
Sterol	apical plasma membrane [GO:0016324]	15.97
Sterol	mitochondrial membrane [GO:0031966]	15.97
Sterol	external side of apical plasma membrane [GO:0098591]	15.97
Sterol	nucleoplasm [GO:0005654]	15.97
Sterol	plasma membrane [GO:0005886]	15.97
Sterol	brush border membrane [GO:0031526]	15.97
Sterol	membrane raft [GO:0045121]	15.97
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	13.93
Sterol	respiratory chain complex IV [GO:0045277]	13.93
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	13.93
Sterol	respiratory chain complex IV [GO:0045277]	13.93
Sterol	cytosol [GO:0005829]	12.6
Sterol	nucleoplasm [GO:0005654]	12.6
Sterol	cytoskeleton [GO:0005856]	12.6
Sterol	nucleus [GO:0005634]	12.6
Sterol	cytoplasm [GO:0005737]	12.6
Sterol	cytosol [GO:0005829]	11.27
Sterol	nucleoplasm [GO:0005654]	11.27
Sterol	endoplasmic reticulum membrane [GO:0005789]	11.27
Sterol	receptor complex [GO:0043235]	11.27
Sterol	chromatin [GO:0000785]	11.27
Sterol	cytoplasm [GO:0005737]	7.47
Sterol	membrane [GO:0016020]	5.28
Sterol	intracellular membrane-bounded organelle [GO:0043231]	5.28
Sterol	endoplasmic reticulum membrane [GO:0005789]	5.28
Sterol	collagen-containing extracellular matrix [GO:0062023]	2.74
Sterol	secretory granule lumen [GO:0034774]	2.74
Sterol	azurophil granule lumen [GO:0035578]	2.74
Sterol	extracellular exosome [GO:0070062]	2.74
Sterol	blood microparticle [GO:0072562]	2.74
Sterol	platelet alpha granule lumen [GO:0031093]	2.74
Sterol	extracellular region [GO:0005576]	2.74
Sterol	extracellular space [GO:0005615]	2.74
Sterol	nucleus [GO:0005634]	2.74
Sterol	respiratory chain complex IV [GO:0045277]	11.81
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	11.81
Sterol	respiratory chain complex IV [GO:0045277]	11.81
Sterol	mitochondrial respiratory chain complex IV [GO:0005751]	11.81
Sterol	membrane [GO:0016020]	13.78
Sterol	proton-transporting V-type ATPase complex [GO:0033176]	13.78
Sterol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	13.78
Sterol	transmembrane transporter complex [GO:1902495]	13.78
Sterol	synaptic vesicle membrane [GO:0030672]	13.78
Sterol	synaptic vesicle [GO:0008021]	13.78
Sterol	clathrin-coated vesicle membrane [GO:0030665]	13.78
Sterol	recycling endosome [GO:0055037]	18.49
Sterol	endosome [GO:0005768]	18.49
Sterol	Golgi membrane [GO:0000139]	18.49
Sterol	plasma membrane [GO:0005886]	18.49
Sterol	endoplasmic reticulum membrane [GO:0005789]	18.49
Sterol	mitochondrion [GO:0005739]	18.49
Sterol	external side of plasma membrane [GO:0009897]	18.49
Sterol	Golgi apparatus [GO:0005794]	18.49
Sterol	postsynaptic membrane [GO:0045211]	14.98
Sterol	acetylcholine-gated channel complex [GO:0005892]	14.98
Sterol	postsynaptic membrane [GO:0045211]	17.58
Sterol	acetylcholine-gated channel complex [GO:0005892]	17.58
Sterol	mitochondrial inner membrane [GO:0005743]	6.07
Sterol	respiratory chain complex IV [GO:0045277]	6.07
Sterol	endoplasmic reticulum membrane [GO:0005789]	14.63
Sterol	membrane [GO:0016020]	20.15
Sterol	membrane [GO:0016020]	18.3
Sterol	proton-transporting V-type ATPase complex [GO:0033176]	18.3
Sterol	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	18.3
Sterol	transmembrane transporter complex [GO:1902495]	18.3
Sterol	synaptic vesicle membrane [GO:0030672]	18.3
Sterol	synaptic vesicle [GO:0008021]	18.3
Sterol	clathrin-coated vesicle membrane [GO:0030665]	18.3
Sterol	recycling endosome [GO:0055037]	24.08
Sterol	endosome [GO:0005768]	24.08
Sterol	clathrin-coated pit [GO:0005905]	24.08
Sterol	early endosome [GO:0005769]	24.08
Sterol	intracellular membrane-bounded organelle [GO:0043231]	24.08
