class	GO_CC	as_max_dst
Polyketide	skeletal muscle myofibril [GO:0098723]	13.63
Polyketide	stress fiber [GO:0001725]	13.63
Polyketide	filamentous actin [GO:0031941]	13.63
Polyketide	actin filament bundle [GO:0032432]	13.63
Polyketide	lamellipodium [GO:0030027]	13.63
Polyketide	striated muscle thin filament [GO:0005865]	13.63
Polyketide	cytoplasm [GO:0005737]	13.63
Polyketide	filopodium [GO:0030175]	13.63
Polyketide	host cell nucleus [GO:0042025]	13.62
Polyketide	host cell plasma membrane [GO:0020002]	13.62
Polyketide	membrane [GO:0016020]	13.62
Polyketide	viral nucleocapsid [GO:0019013]	13.62
Polyketide	host multivesicular body [GO:0072494]	13.62
Polyketide	virion membrane [GO:0055036]	13.62
Polyketide	nucleus [GO:0005634]	21.07
Polyketide	cytoplasm [GO:0005737]	21.07
Polyketide	host cell nucleus [GO:0042025]	16.76
Polyketide	protein-containing complex [GO:0032991]	16.76
Polyketide	host cell plasma membrane [GO:0020002]	16.76
Polyketide	host cell lipid droplet [GO:0044186]	16.76
Polyketide	viral envelope [GO:0019031]	16.76
Polyketide	host cell endoplasmic reticulum membrane [GO:0044167]	16.76
Polyketide	host cell mitochondrial membrane [GO:0044191]	16.76
Polyketide	ribonucleoprotein complex [GO:1990904]	16.76
Polyketide	membrane [GO:0016020]	16.76
Polyketide	viral nucleocapsid [GO:0019013]	16.76
Polyketide	virion membrane [GO:0055036]	16.76
Polyketide	host cell perinuclear region of cytoplasm [GO:0044220]	16.76
Polyketide	nuclear chromosome [GO:0000228]	14.84
Polyketide	histone deacetylase complex [GO:0000118]	14.84
Polyketide	cytoplasm [GO:0005737]	14.84
Polyketide	nucleoplasm [GO:0005654]	14.84
Polyketide	nucleus [GO:0005634]	14.84
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	10.02
Polyketide	endoplasmic reticulum membrane [GO:0005789]	10.02
Polyketide	cytoplasm [GO:0005737]	10.02
Polyketide	cytoplasmic microtubule [GO:0005881]	10.02
Polyketide	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	18.0
Polyketide	protein-containing complex [GO:0032991]	18.0
Polyketide	endoplasmic reticulum [GO:0005783]	18.0
Polyketide	sorting endosome [GO:0097443]	18.0
Polyketide	endosome lumen [GO:0031904]	18.0
Polyketide	early endosome [GO:0005769]	18.0
Polyketide	cytosol [GO:0005829]	18.0
Polyketide	mitochondrial crista [GO:0030061]	18.0
Polyketide	mitochondrial matrix [GO:0005759]	18.0
Polyketide	cytoplasm [GO:0005737]	18.0
Polyketide	mitochondrial respiratory chain complex I [GO:0005747]	6.83
Polyketide	mitochondrial inner membrane [GO:0005743]	6.83
Polyketide	cell body [GO:0044297]	13.24
Polyketide	actin filament [GO:0005884]	13.24
Polyketide	skeletal muscle myofibril [GO:0098723]	13.24
Polyketide	stress fiber [GO:0001725]	13.24
Polyketide	filamentous actin [GO:0031941]	13.24
Polyketide	actin filament bundle [GO:0032432]	13.24
Polyketide	lamellipodium [GO:0030027]	13.24
Polyketide	striated muscle thin filament [GO:0005865]	13.24
Polyketide	cytoplasm [GO:0005737]	13.24
Polyketide	filopodium [GO:0030175]	13.24
Polyketide	postsynaptic density membrane [GO:0098839]	2.07
Polyketide	parallel fiber to Purkinje cell synapse [GO:0098688]	2.07
Polyketide	dendritic spine [GO:0043197]	2.07
Polyketide	synaptic vesicle [GO:0008021]	2.07
Polyketide	synaptic membrane [GO:0097060]	2.07
Polyketide	NMDA selective glutamate receptor complex [GO:0017146]	2.07
Polyketide	cell surface [GO:0009986]	2.07
Polyketide	plasma membrane [GO:0005886]	2.07
Polyketide	endoplasmic reticulum membrane [GO:0005789]	2.07
Polyketide	presynaptic active zone membrane [GO:0048787]	2.07
Polyketide	hippocampal mossy fiber to CA3 synapse [GO:0098686]	2.07
Polyketide	dendrite membrane [GO:0032590]	2.07
Polyketide	excitatory synapse [GO:0060076]	2.07
Polyketide	dendritic branch [GO:0044307]	2.07
Polyketide	postsynaptic membrane [GO:0045211]	2.07
Polyketide	membrane [GO:0016020]	2.07
Polyketide	presynaptic membrane [GO:0042734]	2.07
Polyketide	synaptic cleft [GO:0043083]	2.07
Polyketide	dendrite [GO:0030425]	2.07
Polyketide	cytoplasm [GO:0005737]	2.07
Polyketide	glutamatergic synapse [GO:0098978]	2.07
Polyketide	neuron projection [GO:0043005]	2.07
Polyketide	neuronal cell body [GO:0043025]	2.07
Polyketide	synaptic vesicle membrane [GO:0030672]	2.07
Polyketide	terminal bouton [GO:0043195]	2.07
Polyketide	synapse [GO:0045202]	2.07
Polyketide	postsynaptic density [GO:0014069]	2.07
Polyketide	endoplasmic reticulum [GO:0005783]	2.07
Polyketide	node of Ranvier [GO:0033268]	13.47
Polyketide	synapse [GO:0045202]	13.47
Polyketide	plasma membrane [GO:0005886]	13.47
Polyketide	axon initial segment [GO:0043194]	13.47
Polyketide	voltage-gated potassium channel complex [GO:0008076]	13.47
Polyketide	membrane [GO:0016020]	16.89
Polyketide	endoplasmic reticulum [GO:0005783]	16.89
Polyketide	endoplasmic reticulum membrane [GO:0005789]	16.89
Polyketide	maltose transport complex [GO:1990060]	-1.0
Polyketide	outer membrane-bounded periplasmic space [GO:0030288]	-1.0
Polyketide	cytoplasm [GO:0005737]	-1.0
Polyketide	sarcoplasmic reticulum membrane [GO:0033017]	-1.0
Polyketide	cytoplasmic side of membrane [GO:0098562]	-1.0
Polyketide	cytosol [GO:0005829]	-1.0
Polyketide	Z disc [GO:0030018]	-1.0
Polyketide	sarcoplasmic reticulum [GO:0016529]	-1.0
Polyketide	terminal cisterna [GO:0014802]	-1.0
Polyketide	membrane [GO:0016020]	-1.0
Polyketide	ATP-binding cassette (ABC) transporter complex [GO:0043190]	-1.0
Polyketide	ryanodine receptor complex [GO:1990425]	-1.0
Polyketide	periplasmic space [GO:0042597]	-1.0
Polyketide	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]	-1.0
Polyketide	cytoplasm [GO:0005737]	15.47
Polyketide	plasma membrane [GO:0005886]	8.65
Polyketide	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	8.65
Polyketide	host cell endoplasmic reticulum-Golgi intermediate compartment [GO:0044172]	11.19
Polyketide	host cell Golgi apparatus [GO:0044177]	11.19
Polyketide	host cell endosome [GO:0044174]	11.19
Polyketide	host cell endoplasmic reticulum [GO:0044165]	11.19
Polyketide	membrane [GO:0016020]	11.19
Polyketide	double membrane vesicle viral factory outer membrane [GO:0062243]	11.19
Polyketide	host cell perinuclear region of cytoplasm [GO:0044220]	11.19
Polyketide	protein-containing complex [GO:0032991]	9.91
Polyketide	cytosol [GO:0005829]	9.91
Polyketide	nucleoplasm [GO:0005654]	9.91
Polyketide	membrane [GO:0016020]	9.91
Polyketide	plasma membrane [GO:0005886]	9.91
Polyketide	euchromatin [GO:0000791]	9.91
Polyketide	chromatin [GO:0000785]	9.91
Polyketide	transcription regulator complex [GO:0005667]	9.91
Polyketide	nucleus [GO:0005634]	9.91
Polyketide	cytoplasm [GO:0005737]	9.91
Polyketide	Golgi apparatus [GO:0005794]	9.91
Polyketide	dendrite [GO:0030425]	17.95
Polyketide	protein-containing complex [GO:0032991]	17.95
Polyketide	perinuclear region of cytoplasm [GO:0048471]	17.95
Polyketide	cytosol [GO:0005829]	17.95
Polyketide	nucleoplasm [GO:0005654]	17.95
Polyketide	plasma membrane [GO:0005886]	17.95
Polyketide	actin cytoskeleton [GO:0015629]	17.95
Polyketide	RNA polymerase II transcription regulator complex [GO:0090575]	17.95
Polyketide	chromatin [GO:0000785]	17.95
Polyketide	transcription regulator complex [GO:0005667]	17.95
Polyketide	nucleus [GO:0005634]	17.95
Polyketide	cytoplasm [GO:0005737]	17.95
Polyketide	nucleolus [GO:0005730]	17.95
Polyketide	chloroplast stroma [GO:0009570]	15.25
Polyketide	endoplasmic reticulum [GO:0005783]	15.25
Polyketide	chloroplast [GO:0009507]	15.25
Polyketide	cytosol [GO:0005829]	15.25
Polyketide	intracellular membrane-bounded organelle [GO:0043231]	15.25
Polyketide	plasma membrane [GO:0005886]	15.25
Polyketide	apoplast [GO:0048046]	15.25
Polyketide	plasmodesma [GO:0009506]	15.25
Polyketide	plant-type vacuole [GO:0000325]	15.25
Polyketide	proton-transporting V-type ATPase complex [GO:0033176]	18.33
Polyketide	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	18.33
Polyketide	Golgi membrane [GO:0000139]	18.33
Polyketide	membrane [GO:0016020]	18.33
Polyketide	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	18.33
Polyketide	fungal-type vacuole membrane [GO:0000329]	18.33
Polyketide	chromosome, centromeric region [GO:0000775]	-1.0
Polyketide	meiotic cohesin complex [GO:0030893]	-1.0
Polyketide	chromatin [GO:0000785]	-1.0
Polyketide	nucleus [GO:0005634]	-1.0
Polyketide	microtubule [GO:0005874]	12.74
Polyketide	cytoplasm [GO:0005737]	12.74
Polyketide	microtubule cytoskeleton [GO:0015630]	12.74
Polyketide	proton-transporting V-type ATPase complex [GO:0033176]	14.18
Polyketide	vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]	14.18
Polyketide	Golgi membrane [GO:0000139]	14.18
Polyketide	membrane [GO:0016020]	14.18
Polyketide	vacuolar proton-transporting V-type ATPase complex [GO:0016471]	14.18
Polyketide	fungal-type vacuole membrane [GO:0000329]	14.18
Polyketide	fungal biofilm matrix [GO:0062040]	3.62
Polyketide	cytoplasm [GO:0005737]	3.62
Polyketide	extracellular region [GO:0005576]	3.62
Polyketide	protein-containing complex [GO:0032991]	17.56
Polyketide	endocytic vesicle membrane [GO:0030666]	17.56
Polyketide	cytosol [GO:0005829]	17.56
Polyketide	transcription repressor complex [GO:0017053]	17.56
Polyketide	nucleoplasm [GO:0005654]	17.56
Polyketide	plasma membrane [GO:0005886]	17.56
Polyketide	nucleus [GO:0005634]	17.56
Polyketide	cytoplasm [GO:0005737]	17.56
Polyketide	nucleolus [GO:0005730]	17.56
Polyketide	NuA4 histone acetyltransferase complex [GO:0035267]	14.29
Polyketide	actin filament [GO:0005884]	14.29
Polyketide	Swr1 complex [GO:0000812]	14.29
Polyketide	actin filament bundle [GO:0032432]	14.29
Polyketide	Ino80 complex [GO:0031011]	14.29
Polyketide	actin cortical patch [GO:0030479]	14.29
Polyketide	cellular bud neck contractile ring [GO:0000142]	14.29
Polyketide	chromatin [GO:0000785]	14.29
Polyketide	nucleus [GO:0005634]	14.29
Polyketide	nuclear envelope [GO:0005635]	14.08
Polyketide	perinuclear region of cytoplasm [GO:0048471]	14.08
Polyketide	cytosol [GO:0005829]	14.08
