class	GO_CC	as_max_dst
Fatty Acyl	plasma membrane [GO:0005886]	16.93
Fatty Acyl	motile cilium [GO:0031514]	16.93
Fatty Acyl	non-motile cilium [GO:0097730]	16.93
Fatty Acyl	ciliary membrane [GO:0060170]	16.93
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	16.93
Fatty Acyl	migrasome [GO:0140494]	16.93
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	16.93
Fatty Acyl	lumenal side of endoplasmic reticulum membrane [GO:0098553]	16.93
Fatty Acyl	lamellipodium [GO:0030027]	16.93
Fatty Acyl	membrane [GO:0016020]	16.93
Fatty Acyl	extracellular exosome [GO:0070062]	16.93
Fatty Acyl	basolateral plasma membrane [GO:0016323]	16.93
Fatty Acyl	cytoplasm [GO:0005737]	16.93
Fatty Acyl	Golgi apparatus [GO:0005794]	16.93
Fatty Acyl	polycystin complex [GO:0002133]	16.93
Fatty Acyl	cilium [GO:0005929]	16.93
Fatty Acyl	basal cortex [GO:0045180]	16.93
Fatty Acyl	mitotic spindle [GO:0072686]	16.93
Fatty Acyl	cation channel complex [GO:0034703]	16.93
Fatty Acyl	endoplasmic reticulum [GO:0005783]	16.93
Fatty Acyl	periplasmic space [GO:0042597]	16.49
Fatty Acyl	membrane [GO:0016020]	14.25
Fatty Acyl	extracellular exosome [GO:0070062]	4.2
Fatty Acyl	cytosol [GO:0005829]	4.2
Fatty Acyl	extracellular space [GO:0005615]	4.2
Fatty Acyl	nucleus [GO:0005634]	4.2
Fatty Acyl	plasma membrane [GO:0005886]	12.92
Fatty Acyl	respirasome [GO:0070469]	12.92
Fatty Acyl	plasma membrane [GO:0005886]	17.04
Fatty Acyl	proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	17.04
Fatty Acyl	chloride channel complex [GO:0034707]	10.32
Fatty Acyl	postsynaptic membrane [GO:0045211]	10.32
Fatty Acyl	plasma membrane [GO:0005886]	10.32
Fatty Acyl	presynaptic membrane [GO:0042734]	10.32
Fatty Acyl	GABA-A receptor complex [GO:1902711]	10.32
Fatty Acyl	GABA-ergic synapse [GO:0098982]	10.32
Fatty Acyl	glutamatergic synapse [GO:0098978]	10.32
Fatty Acyl	neuron projection [GO:0043005]	10.32
Fatty Acyl	synapse [GO:0045202]	10.32
Fatty Acyl	transmembrane transporter complex [GO:1902495]	10.32
Fatty Acyl	membrane [GO:0016020]	16.32
Fatty Acyl	cytosol [GO:0005829]	4.48
Fatty Acyl	plasma membrane [GO:0005886]	15.34
Fatty Acyl	ciliary plasm [GO:0097014]	-1.0
Fatty Acyl	cytosol [GO:0005829]	-1.0
Fatty Acyl	cytoplasm [GO:0005737]	-1.0
Fatty Acyl	glycosome [GO:0020015]	-1.0
Fatty Acyl	plasma membrane [GO:0005886]	7.11
Fatty Acyl	azurophil granule lumen [GO:0035578]	11.05
Fatty Acyl	cytosol [GO:0005829]	11.05
Fatty Acyl	ficolin-1-rich granule lumen [GO:1904813]	11.05
Fatty Acyl	extracellular exosome [GO:0070062]	11.05
Fatty Acyl	nucleoplasm [GO:0005654]	11.05
Fatty Acyl	membrane [GO:0016020]	11.05
Fatty Acyl	extracellular region [GO:0005576]	11.05
Fatty Acyl	plasma membrane [GO:0005886]	10.39
Fatty Acyl	cell-cell junction [GO:0005911]	17.51
Fatty Acyl	cytosol [GO:0005829]	17.51
Fatty Acyl	cytoplasmic side of endoplasmic reticulum membrane [GO:0098554]	17.51
Fatty Acyl	ciliary basal body [GO:0036064]	17.51
Fatty Acyl	basal plasma membrane [GO:0009925]	17.51
Fatty Acyl	plasma membrane [GO:0005886]	17.51
Fatty Acyl	motile cilium [GO:0031514]	17.51
Fatty Acyl	non-motile cilium [GO:0097730]	17.51
Fatty Acyl	ciliary membrane [GO:0060170]	17.51
Fatty Acyl	endoplasmic reticulum membrane [GO:0005789]	17.51
Fatty Acyl	migrasome [GO:0140494]	17.51
Fatty Acyl	cytoplasmic vesicle membrane [GO:0030659]	17.51
Fatty Acyl	lumenal side of endoplasmic reticulum membrane [GO:0098553]	17.51
Fatty Acyl	lamellipodium [GO:0030027]	17.51
Fatty Acyl	membrane [GO:0016020]	17.51
Fatty Acyl	extracellular exosome [GO:0070062]	17.51
Fatty Acyl	basolateral plasma membrane [GO:0016323]	17.51
