class	GO_CC	as_max_dst
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	25.98
Prenol	photosystem II [GO:0009523]	14.21
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.21
Prenol	photosystem II [GO:0009523]	14.21
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.21
Prenol	membrane [GO:0016020]	16.3
Prenol	mitochondrion [GO:0005739]	16.3
Prenol	plasma membrane light-harvesting complex [GO:0030077]	21.41
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	21.41
Prenol	chloroplast thylakoid membrane [GO:0009535]	25.47
Prenol	photosystem I [GO:0009522]	25.47
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.79
Prenol	plasma membrane-derived photosystem I [GO:0030094]	17.79
Prenol	photosystem II [GO:0009523]	-1.0
Prenol	chloroplast thylakoid membrane [GO:0009535]	-1.0
Prenol	photosystem I [GO:0009522]	-1.0
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	23.67
Prenol	photosystem I [GO:0009522]	23.67
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	23.67
Prenol	photosystem I [GO:0009522]	23.67
Prenol	plasma membrane light-harvesting complex [GO:0030077]	19.02
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	19.02
Prenol	photosystem II [GO:0009523]	28.17
Prenol	chloroplast thylakoid membrane [GO:0009535]	28.17
Prenol	photosystem I [GO:0009522]	28.17
Prenol	photosystem II [GO:0009523]	17.92
Prenol	chloroplast thylakoid membrane [GO:0009535]	17.92
Prenol	photosystem I [GO:0009522]	17.92
Prenol	plasma membrane [GO:0005886]	8.59
Prenol	plasma membrane light-harvesting complex [GO:0030077]	8.59
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	22.58
Prenol	photosystem I [GO:0009522]	22.58
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.76
Prenol	photosystem I [GO:0009522]	17.76
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.76
Prenol	photosystem I [GO:0009522]	17.76
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	16.75
Prenol	photosystem I reaction center [GO:0009538]	16.75
Prenol	plasma membrane-derived photosystem I [GO:0030094]	16.75
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	16.75
Prenol	photosystem I reaction center [GO:0009538]	16.75
Prenol	plasma membrane-derived photosystem I [GO:0030094]	16.75
Prenol	photosystem I reaction center [GO:0009538]	11.94
Prenol	chloroplast thylakoid lumen [GO:0009543]	11.94
Prenol	cytoplasm [GO:0005737]	10.96
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	-1.0
Prenol	photosystem I [GO:0009522]	-1.0
Prenol	photosystem II [GO:0009523]	27.46
Prenol	chloroplast thylakoid membrane [GO:0009535]	27.46
Prenol	photosystem I [GO:0009522]	27.46
Prenol	plasma membrane [GO:0005886]	21.88
Prenol	organelle inner membrane [GO:0019866]	21.88
Prenol	plasma membrane light-harvesting complex [GO:0030077]	21.88
Prenol	photosystem II [GO:0009523]	14.02
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.02
Prenol	photosystem II [GO:0009523]	14.02
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.02
Prenol	plasma membrane light-harvesting complex [GO:0030077]	12.82
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	12.82
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	12.7
Prenol	photosystem I [GO:0009522]	12.7
Prenol	cytosol [GO:0005829]	15.31
Prenol	glutamatergic synapse [GO:0098978]	15.31
Prenol	nucleoplasm [GO:0005654]	15.31
Prenol	mitochondrion [GO:0005739]	15.31
Prenol	nuclear speck [GO:0016607]	15.31
Prenol	spindle pole [GO:0000922]	15.31
Prenol	nucleus [GO:0005634]	15.31
Prenol	cytoplasm [GO:0005737]	15.31
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	17.12
Prenol	photosystem I reaction center [GO:0009538]	17.12
Prenol	chloroplast thylakoid membrane [GO:0009535]	10.01
Prenol	photosystem I [GO:0009522]	10.01
Prenol	chloroplast thylakoid membrane [GO:0009535]	18.54
Prenol	photosystem I [GO:0009522]	18.54
Prenol	photosystem II [GO:0009523]	29.19
Prenol	chloroplast thylakoid membrane [GO:0009535]	29.19
Prenol	photosystem I [GO:0009522]	29.19
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	14.42
Prenol	photosystem I [GO:0009522]	14.42
Prenol	photosystem II [GO:0009523]	24.98
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	24.98
Prenol	photosystem II [GO:0009523]	24.98
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	24.98
Prenol	photosystem II [GO:0009523]	22.36
Prenol	chloroplast thylakoid membrane [GO:0009535]	22.36
Prenol	photosystem II [GO:0009523]	22.36
Prenol	chloroplast thylakoid membrane [GO:0009535]	22.36
Prenol	nucleoplasm [GO:0005654]	11.25
Prenol	cytoplasm [GO:0005737]	11.25
Prenol	cytosol [GO:0005829]	11.25
Prenol	chloroplast thylakoid membrane [GO:0009535]	9.72
Prenol	photosystem II [GO:0009523]	15.68
Prenol	chloroplast thylakoid membrane [GO:0009535]	15.68
Prenol	photosystem I [GO:0009522]	15.68
Prenol	photosystem II reaction center [GO:0009539]	20.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	20.36
Prenol	photosystem II reaction center [GO:0009539]	20.36
Prenol	plasma membrane-derived thylakoid membrane [GO:0031676]	20.36
Prenol	plasma membrane [GO:0005886]	-1.0
Prenol	external side of plasma membrane [GO:0009897]	-1.0
Prenol	plasma membrane light-harvesting complex [GO:0030077]	18.73
Prenol	plasma membrane-derived chromatophore membrane [GO:0042717]	18.73
Prenol	chloroplast thylakoid membrane [GO:0009535]	19.92
Prenol	photosystem I [GO:0009522]	19.92
Prenol	photosystem II [GO:0009523]	33.13
