class	GO_CC	as_max_dst
Glycerolipid	plasma membrane [GO:0005886]	7.73
Glycerolipid	presynaptic membrane [GO:0042734]	7.73
Glycerolipid	neuron projection [GO:0043005]	7.73
Glycerolipid	dendrite membrane [GO:0032590]	7.73
Glycerolipid	synaptic vesicle membrane [GO:0030672]	7.73
Glycerolipid	axon terminus [GO:0043679]	7.73
Glycerolipid	spine apparatus [GO:0097444]	7.73
Glycerolipid	postsynaptic density membrane [GO:0098839]	21.53
Glycerolipid	neuronal dense core vesicle [GO:0098992]	21.53
Glycerolipid	plasma membrane [GO:0005886]	21.53
Glycerolipid	presynaptic membrane [GO:0042734]	21.53
Glycerolipid	neuron projection [GO:0043005]	21.53
Glycerolipid	dendrite membrane [GO:0032590]	21.53
Glycerolipid	synaptic vesicle membrane [GO:0030672]	21.53
Glycerolipid	axon terminus [GO:0043679]	21.53
Glycerolipid	spine apparatus [GO:0097444]	21.53
Glycerolipid	postsynaptic density membrane [GO:0098839]	19.25
Glycerolipid	neuronal dense core vesicle [GO:0098992]	19.25
Glycerolipid	plasma membrane [GO:0005886]	19.25
Glycerolipid	presynaptic membrane [GO:0042734]	19.25
Glycerolipid	neuron projection [GO:0043005]	19.25
Glycerolipid	dendrite membrane [GO:0032590]	19.25
Glycerolipid	synaptic vesicle membrane [GO:0030672]	19.25
Glycerolipid	axon terminus [GO:0043679]	19.25
Glycerolipid	spine apparatus [GO:0097444]	19.25
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	15.36
Glycerolipid	dendrite [GO:0030425]	15.36
Glycerolipid	cytoplasm [GO:0005737]	15.36
Glycerolipid	plasma membrane [GO:0005886]	15.36
Glycerolipid	nucleoplasm [GO:0005654]	15.36
Glycerolipid	synapse [GO:0045202]	15.36
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	0.41
Glycerolipid	dendrite [GO:0030425]	0.41
Glycerolipid	cytoplasm [GO:0005737]	0.41
Glycerolipid	plasma membrane [GO:0005886]	0.41
Glycerolipid	nucleoplasm [GO:0005654]	0.41
Glycerolipid	synapse [GO:0045202]	0.41
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	22.07
Glycerolipid	respiratory chain complex IV [GO:0045277]	22.07
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	17.63
Glycerolipid	dendrite [GO:0030425]	17.63
Glycerolipid	cytoplasm [GO:0005737]	17.63
Glycerolipid	plasma membrane [GO:0005886]	17.63
Glycerolipid	nucleoplasm [GO:0005654]	17.63
Glycerolipid	synapse [GO:0045202]	17.63
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	-1.0
Glycerolipid	dendrite [GO:0030425]	-1.0
Glycerolipid	cytoplasm [GO:0005737]	-1.0
Glycerolipid	plasma membrane [GO:0005886]	-1.0
Glycerolipid	nucleoplasm [GO:0005654]	-1.0
Glycerolipid	synapse [GO:0045202]	-1.0
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	25.86
Glycerolipid	dendrite [GO:0030425]	25.86
Glycerolipid	cytoplasm [GO:0005737]	25.86
Glycerolipid	plasma membrane [GO:0005886]	25.86
Glycerolipid	nucleoplasm [GO:0005654]	25.86
Glycerolipid	synapse [GO:0045202]	25.86
Glycerolipid	G protein-coupled serotonin receptor complex [GO:0098666]	24.89
Glycerolipid	dendrite [GO:0030425]	24.89
Glycerolipid	cytoplasm [GO:0005737]	24.89
Glycerolipid	plasma membrane [GO:0005886]	24.89
Glycerolipid	nucleoplasm [GO:0005654]	24.89
Glycerolipid	synapse [GO:0045202]	24.89
Glycerolipid	periplasmic space [GO:0042597]	17.45
Glycerolipid	periplasmic space [GO:0042597]	11.46
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	20.83
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	-1.0
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	6.75
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	8.22
Glycerolipid	respiratory chain complex IV [GO:0045277]	13.29
Glycerolipid	mitochondrial respiratory chain complex IV [GO:0005751]	13.29
Glycerolipid	plasma membrane [GO:0005886]	-1.0
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	8.51
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	8.51
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	22.58
Glycerolipid	intracellular membrane-bounded organelle [GO:0043231]	22.58
Glycerolipid	periplasmic space [GO:0042597]	17.49
Glycerolipid	periplasmic space [GO:0042597]	13.99
Glycerolipid	periplasmic space [GO:0042597]	14.98
Glycerolipid	bicellular tight junction [GO:0005923]	23.26
Glycerolipid	plasma membrane [GO:0005886]	23.26
Glycerolipid	lateral plasma membrane [GO:0016328]	23.26
Glycerolipid	bicellular tight junction [GO:0005923]	17.13
Glycerolipid	plasma membrane [GO:0005886]	17.13
Glycerolipid	lateral plasma membrane [GO:0016328]	17.13
Glycerolipid	photosystem II [GO:0009523]	17.84
Glycerolipid	plasma membrane-derived thylakoid membrane [GO:0031676]	17.84
