class	GO_CC	as_max_dst
Sphingolipid	high-density lipoprotein particle [GO:0034364]	19.19
Sphingolipid	discoidal high-density lipoprotein particle [GO:0034365]	19.19
Sphingolipid	plasma membrane [GO:0005886]	23.69
Sphingolipid	cytoplasm [GO:0005737]	23.69
Sphingolipid	late endosome [GO:0005770]	24.44
Sphingolipid	endoplasmic reticulum [GO:0005783]	24.44
Sphingolipid	cytoplasm [GO:0005737]	24.44
Sphingolipid	endosome membrane [GO:0010008]	24.44
Sphingolipid	lysosome [GO:0005764]	24.44
Sphingolipid	early endosome [GO:0005769]	24.44
Sphingolipid	extracellular space [GO:0005615]	24.44
Sphingolipid	external side of plasma membrane [GO:0009897]	24.44
Sphingolipid	lysosomal membrane [GO:0005765]	24.44
Sphingolipid	cell surface [GO:0009986]	24.44
Sphingolipid	membrane [GO:0016020]	21.44
Sphingolipid	serine C-palmitoyltransferase complex [GO:0017059]	21.44
Sphingolipid	SPOTS complex [GO:0035339]	21.44
Sphingolipid	endoplasmic reticulum [GO:0005783]	21.44
Sphingolipid	membrane [GO:0016020]	25.24
Sphingolipid	host cell cytoplasmic vesicle membrane [GO:0044162]	25.24
Sphingolipid	T=pseudo3 icosahedral viral capsid [GO:0039618]	25.24
Sphingolipid	host cell nucleus [GO:0042025]	25.24
Sphingolipid	endosome membrane [GO:0010008]	23.62
Sphingolipid	cytosol [GO:0005829]	23.62
Sphingolipid	plasma membrane [GO:0005886]	23.62
Sphingolipid	nuclear outer membrane [GO:0005640]	23.62
Sphingolipid	Golgi apparatus [GO:0005794]	23.62
Sphingolipid	endosome membrane [GO:0010008]	12.5
Sphingolipid	cytosol [GO:0005829]	12.5
Sphingolipid	plasma membrane [GO:0005886]	12.5
Sphingolipid	nuclear outer membrane [GO:0005640]	12.5
Sphingolipid	Golgi apparatus [GO:0005794]	12.5
Sphingolipid	clathrin-coated pit [GO:0005905]	18.49
Sphingolipid	membrane [GO:0016020]	18.49
Sphingolipid	cytosol [GO:0005829]	18.49
Sphingolipid	endocytic vesicle [GO:0030139]	18.49
Sphingolipid	cytoplasm [GO:0005737]	18.49
Sphingolipid	plasma membrane [GO:0005886]	18.49
Sphingolipid	intracellular membrane-bounded organelle [GO:0043231]	18.49
Sphingolipid	presynapse [GO:0098793]	18.49
Sphingolipid	nucleoplasm [GO:0005654]	18.49
Sphingolipid	early endosome membrane [GO:0031901]	18.49
Sphingolipid	nucleus [GO:0005634]	18.49
Sphingolipid	cytosol [GO:0005829]	15.34
