LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32	LC33	LC34	LC35	LC36	LC37	LC38	LC39	LC40	LC41	LC42	LC43	LC44	LC45	LC46	LC47	LC48	LC49	LC50	LC51	LC52	LC53	LC54	LC55	LC56	LC57	LC58	LC59	LC60	LC61
LC10	0.0010861564958623783	0.0001394201981868016	0.0006929294492916784	1.3391521707951726e-05	0.0006541046185916227	0.008045090349865437	0.0007772100474176599	0.15536111784920154	0.00030867637503344416	0.000154640522875817	0.8081293476867871	0.002527896777101645	0.0071144840417919	0.0	0.0005283808916520538	0.0	0.0639881045751634	0.0	0.0	0.0014445948290820753	0.0	0.0032240669601173804	0.0	0.00016806145138467758	0.0003574957000343997	0.0005013622291021671	0.0	0.00554852495543672	0.0	0.004887299253034547	0.07491393810536262	0.0009938807189542483	0.0	0.0	0.0012119149351282803	0.0013805453431372549	0.0008490971529854879	0.0	0.0	0.0	0.0	0.00047099491648511254	0.007787908496732027	0.003472836601307189	0.08619477124183006	0.0	0.09200179738562092	0.09758398692810458	0.13975539215686275	0.13412450980392157	0.10898627450980393	0.09288954248366013	0.02895179738562091	0.0454359477124183	0.08820147058823528	0.11226241830065359	0.09965359477124183	0.0	0.0	0.08722549019607843	0.08615424836601307	0.0
LC11	0.0026766019069467345	1.3626992955135336e-05	0.00048151130176538525	4.4760566425251326e-05	0.0	0.006050848806366047	9.25422582826234e-05	0.001282040526128688	0.0024335228876789673	0.002487443965517241	0.0	0.755327514863258	0.005667022401208155	0.0	0.0	0.0042910684002261164	0.00866415804597701	0.0	0.0	0.0007596093988404028	0.0202761531161025	0.0003522026741731175	0.0	0.0	0.007652365154264974	0.058226399274047186	0.13114481259370314	0.0074333973354231975	0.00012394320486815415	0.0006648029556650247	0.0010276510178645617	0.004315379310344827	0.06958737669140114	0.0	0.0001304992279979413	0.003753771551724138	0.004021028638223261	0.0	0.0	0.06007775524002704	0.0	0.0	0.0026115010141987832	0.0	0.0	0.0011793730407523512	0.002503448275862069	0.0	0.0	0.0	0.0005203448275862069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC12	0.009935597902787684	8.958951416686288e-05	0.005438953305626376	0.025134871747934925	0.0	0.0005137166826303794	0.00010726348933734077	0.001711765369854767	0.00036705083877577155	0.000805684306569343	0.0024493726444349026	0.008612806443493581	0.8573293515903885	0.0	0.055360037979941844	0.0014719157592437478	0.010558381995133821	3.678956890635723e-05	0.0	0.010208442607066728	0.0	7.816177565916876e-05	0.0	0.015380449996237491	0.001507721859393008	0.0016767575873991548	0.0	0.0	0.12243970802919707	0.0021343934654153634	0.0	0.011306291970802919	0.002887229049246974	0.0007905212295671841	0.0004325198823401242	0.0014603558394160584	0.0030993418285290113	0.051774353879426874	0.0052726007028926734	0.0	0.060252217153284666	0.0037851094890510944	0.0001779519106912838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012282684509326845	0.0	0.0	0.0	0.0
LC13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9907568120713306	3.153869316470943e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC14	0.0015376770954819733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003331849741855083	0.0005992472146943691	0.941792068213365	0.029818405970944956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008799765317240801	0.0	0.0	0.0	0.0	0.33644438067910093	0.0	0.0	0.0	0.00015253679119069672	0.0	0.0	0.0	0.0	0.0001410719662752183	0.0	0.0	0.00014234417344173442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC15	0.0012392411642411642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00981412768226043	1.0003201827465735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.064052729423693e-05	0.0	0.0	0.0	0.0	0.0021749566055930566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018159699453551913	0.0	0.0	0.0039043032786885245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC16	0.004275358627858628	0.0013730376344086022	0.003154505582137161	8.089341692789967e-05	0.0005964922480620155	0.00019061463046757165	0.0	0.029036993127147765	0.00020706140350877192	0.0006167708333333334	0.0348186165577342	0.009326129310344827	0.0007502250608272507	2.0129629629629633e-05	0.0	0.0	0.510107423611111	0.0	0.0	0.21654619469026548	0.09740099388379204	0.0002854421768707483	0.0	5.1752577319587625e-05	0.12138854385964913	0.003215315789473684	0.06516835144927537	0.00010142992424242425	0.008322882352941176	0.0004069642857142857	0.0	0.0	0.11319353375527426	0.004147946009389671	0.0022158084577114426	0.003261315104166667	0.003696779661016949	0.010072253086419753	0.0022432407407407405	0.007660588235294118	0.0	0.0	0.0015210294117647058	0.0	0.0	0.0	0.0	0.0	0.0	0.009944375	0.0	0.004291666666666667	0.006833333333333334	0.0	0.0	0.0	0.0	0.0007625925925925926	0.0	0.004378333333333333	0.0	0.0
LC17	0.00011452911491373029	0.0	0.0	0.0	0.0	3.2115094558533475e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.830744275999751e-05	0.0	0.0	0.00034840969595067956	0.0	0.009651939513477975	0.0	0.0	0.0	0.0	0.0	0.0	9.246963562753037e-05	0.0	0.0	0.0	0.0	9.527879527879528e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020082937638493193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008592592592592593	0.0	0.0	0.0	0.0
LC18	8.761380744139366e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106262782401902	0.0	0.0	0.0	1.0058823715693175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC19	0.009643044266185858	0.20069489199733562	0.016907062709065505	0.011426240741254472	0.004511566165877753	0.0030170704360709564	0.1402477095262884	0.009176781315573396	0.016389535786368575	0.19090412610619467	0.0014331193244259356	0.02198488861763808	0.009310057489826239	0.0	0.0	2.344842593935877e-05	0.2453214970501475	8.781484002722941e-05	0.0	0.6965920980499647	0.1438187302102785	0.006334079826620914	0.0	0.015596998449046618	0.06555994410805775	0.001005784816022357	0.1359883705271258	0.004832502011263073	0.004329849036959916	0.004913221660345555	0.0029689092653801042	0.07628225663716814	0.07725979612411785	0.021274086999875357	0.07756095628054417	0.025822317477876108	0.009801964901754914	0.0	0.013627286135693214	0.025059378795766096	0.005434826696165192	0.6586146312684367	0.04240851119208745	0.003376814159292036	0.010136106194690266	0.008302051488334674	0.02693929203539823	0.019947433628318585	0.018068938053097342	0.003801769911504424	0.006608141592920355	0.03566353982300885	0.01598225663716814	0.01492	0.0031150442477876103	0.004251858407079646	0.008013274336283186	0.002327433628318584	0.34290280235988196	0.018338849557522127	0.012690530973451328	0.3003529364440869
