class	ratio
Sterol	1.0679922915206728
Sterol	0.4467315299102038
Sterol	0.41703954802259885
Sterol	1.8858102868958388
Sterol	3.2329024770899197
Sterol	1.2155011449709352
Sterol	0.546499217304682
Sterol	0.3382516906853398
Sterol	0.4618447246184472
Sterol	0.26223149435944987
Sterol	0.5253063308373043
Sterol	1.5270262793914247
Sterol	2.257623218052803
Sterol	1.4901841655591417
Sterol	0.7339518229166667
Sterol	0.8097507532182963
Sterol	0.4171106398386179
Sterol	0.4894239217383322
Sterol	1.2289729456809861
Sterol	0.3999591080749525
Sterol	0.4029145279466934
Sterol	0.9188281885179259
Sterol	3.2829194211184562
Sterol	0.426288112638938
Sterol	5.478715346159672
Sterol	1.2565212605936091
Sterol	0.7820831138865898
Sterol	1.6156413531665912
Sterol	0.3356011372867587
Sterol	0.4453490589564171
Sterol	0.41111095713869994
Sterol	0.6364833207488723
Sterol	0.5317907922467274
Sterol	1.3746390011996268
Sterol	1.0450197546267415
Sterol	0.5345200676027863
Sterol	0.5481505427570014
Sterol	0.2521190008419871
Sterol	1.2864223756417066
Sterol	0.26493936794658324
Sterol	0.39029098033524423
Sterol	1.5017392658740458
Sterol	0.9125693727863459
Sterol	6.114290109213966
Sterol	1.4220409167315815
Sterol	0.841650910538362
Sterol	0.7559413027916966
Sterol	0.28377448071216615
Sterol	0.3412286018022672
Sterol	0.5219710522036103
Sterol	0.45987145804574664
Sterol	0.3894112197503662
Sterol	0.23104609784586969
Sterol	1.2417148663435986
Sterol	0.8175442353508044
Sterol	0.4964046822742475
Sterol	0.6504966067631726
Sterol	0.687096214298112
Sterol	0.5238568484480757
Sterol	1.187378138553977
Sterol	0.5379704094787894
Sterol	0.9157367342291051
Sterol	0.3160314874309119
Sterol	0.27782912302320806
Sterol	0.8339953318864911
Sterol	1.2844850663505296
Sterol	0.47902195376931117
Sterol	0.7642789122844144
Sterol	0.4579424055675702
Sterol	1.0124147363622018
Sterol	0.7102327837051406
Sterol	0.7290788013318534
Sterol	1.6246339362618432
Sterol	0.43290626274107663
Sterol	0.40853939204242073
Sterol	0.7104048717826728
Sterol	0.8597008581068516
Sterol	1.207625649913345
Sterol	0.7694540359305408
Sterol	0.6805843024554402
Sterol	2.794210859919713
Sterol	0.6131528046421664
Sterol	0.4585274542429284
Sterol	0.7602563491685329
Sterol	0.48600218009730684
Sterol	0.507760893391392
Sterol	1.136587198579138
Sterol	0.6810407222581997
Sterol	0.8537709652338109
Sterol	0.8110337584904382
Sterol	0.7169773541837695
Sterol	0.2746236488195384
Sterol	6.620423892100192
Sterol	1.127977011867461
Sterol	0.39354697102721686
Sterol	0.5136159511406503
Sterol	1.1805779668475869
Sterol	0.9167327293318234
Sterol	1.1498357963875205
Sterol	1.0119931301487497
Sterol	0.26685423211634524
Sterol	0.24952526204040132
Sterol	2.3251163039409657
Sterol	1.479539574423148
Sterol	0.485597830721217
Sterol	0.5296150599627324
Sterol	0.6392573366666136
Sterol	1.2089159401217306
Sterol	0.2567036825973786
Sterol	1.3791309806735124
Sterol	0.7151703463819172
Sterol	1.1327896346476374
Sterol	0.48339690132954083
Sterol	0.5279174899706605
Sterol	0.2911380158664345
Sterol	0.1906566126498984
Sterol	0.8385355341790149
Sterol	0.9300217010018135
Sterol	1.218042956938797
Sterol	0.4958476727035969
Sterol	0.7396791586234441
Sterol	4.596594809831114
Sterol	0.5400459297930307
Sterol	0.9145210494203782
Sterol	0.5761164569454725
Sterol	1.1160460540698098
Sterol	0.3026153466567974
Sterol	0.6689397956012212
Sterol	0.8055678303137428
Sterol	0.5642183151177788
Sterol	0.6665369144933178
Sterol	0.9375203095920358
Sterol	0.41746133840431776
Sterol	0.26414337713615893
Sterol	0.661183331308468
Sterol	0.36583774051986045
Sterol	3.1153301218475487
Sterol	0.8374340188641148
Sterol	0.7212932911548416
Sterol	0.6494142267232197
Sterol	0.3535717940845359
Sterol	0.5998294051627384
Sterol	0.7723887887800959
Sterol	0.37212580665371847
Sterol	0.4519827865438897
Sterol	6.30845377153039
Sterol	0.5209876861914965
Sterol	0.4136295417909618
Sterol	0.8873140261215219
Sterol	0.21641313205789903
Sterol	0.9359682049017444
Sterol	0.7287154140621214
Sterol	1.5791798107255521
Sterol	0.27904734670533926
