class	pi-stacking_angle
Polyketide	13.61
Polyketide	10.27
Polyketide	1.97
Polyketide	0.63
Polyketide	3.39
Polyketide	2.34
Polyketide	1.31
Polyketide	0.99
Polyketide	87.56
Polyketide	85.64
Polyketide	80.04
Polyketide	88.78
Polyketide	87.14
Polyketide	63.07
Polyketide	17.53
Polyketide	83.26
Polyketide	21.13
Polyketide	20.98
Polyketide	89.83
Polyketide	17.58
Polyketide	17.59
Polyketide	89.82
Polyketide	22.16
Polyketide	23.0
Polyketide	20.76
Polyketide	14.07
Polyketide	8.01
Polyketide	8.2
Polyketide	7.69
Polyketide	5.79
Polyketide	15.46
Polyketide	85.68
Polyketide	25.03
Polyketide	72.38
Polyketide	61.15
Polyketide	76.35
Polyketide	89.39
Polyketide	69.08
Polyketide	68.0
Polyketide	79.5
Polyketide	79.46
Polyketide	24.48
Polyketide	7.44
Polyketide	11.43
Polyketide	85.47
Polyketide	69.56
Polyketide	4.75
Polyketide	81.23
Polyketide	17.36
Polyketide	17.34
Polyketide	3.12
Polyketide	2.92
Polyketide	11.91
Polyketide	82.13
Polyketide	88.52
Polyketide	89.44
Polyketide	87.3
Polyketide	83.95
Polyketide	78.57
Polyketide	85.69
Polyketide	80.77
Polyketide	17.63
Polyketide	15.0
Polyketide	9.66
Polyketide	22.47
Polyketide	19.82
Polyketide	9.08
Polyketide	14.37
Polyketide	7.41
Polyketide	15.6
Polyketide	10.44
Polyketide	16.0
Polyketide	8.83
Polyketide	16.88
Polyketide	4.95
Polyketide	15.02
Polyketide	9.34
Polyketide	19.15
Polyketide	3.22
Polyketide	86.21
Polyketide	84.34
Polyketide	85.78
Polyketide	85.72
Polyketide	83.63
Polyketide	77.94
Polyketide	79.57
Polyketide	83.01
Polyketide	76.2
Polyketide	71.15
Polyketide	70.92
Polyketide	69.11
Polyketide	28.37
Polyketide	27.25
Polyketide	28.8
Polyketide	27.38
Polyketide	13.31
Polyketide	13.83
Polyketide	29.5
Polyketide	28.93
Polyketide	29.31
Polyketide	29.49
Polyketide	12.6
Polyketide	10.46
Polyketide	26.9
Polyketide	26.22
Polyketide	26.63
Polyketide	27.71
Polyketide	9.62
Polyketide	10.48
Polyketide	25.81
Polyketide	25.69
Polyketide	25.4
Polyketide	25.48
Polyketide	13.67
Polyketide	26.16
Polyketide	63.79
Polyketide	13.86
Polyketide	87.01
Polyketide	64.34
Polyketide	7.96
Polyketide	87.58
Polyketide	6.33
Polyketide	84.67
Polyketide	89.16
Polyketide	65.43
Polyketide	9.56
Polyketide	86.28
Polyketide	89.22
Polyketide	69.77
Polyketide	85.17
Polyketide	87.46
Polyketide	74.85
Polyketide	75.6
Polyketide	76.47
Polyketide	88.64
Polyketide	82.52
Polyketide	72.69
Polyketide	81.07
Polyketide	66.75
Polyketide	64.85
Polyketide	72.43
Polyketide	70.36
Polyketide	69.01
Polyketide	68.82
Polyketide	64.52
Polyketide	8.13
Polyketide	3.55
Polyketide	5.19
Polyketide	5.25
Polyketide	17.29
Polyketide	86.22
Polyketide	89.37
Polyketide	88.59
Polyketide	71.7
Polyketide	71.21
Polyketide	66.59
Polyketide	70.91
Polyketide	71.06
Polyketide	9.86
Polyketide	89.52
Polyketide	6.79
Polyketide	86.67
Polyketide	85.7
Polyketide	4.95
Polyketide	3.11
Polyketide	81.98
Polyketide	81.16
Polyketide	1.41
Polyketide	5.13
Polyketide	83.65
Polyketide	83.11
Polyketide	7.23
Polyketide	10.9
Polyketide	11.89
Polyketide	83.33
Polyketide	86.2
Polyketide	8.98
Polyketide	9.96
Polyketide	82.63
Polyketide	79.29
Polyketide	76.81
Polyketide	62.07
Polyketide	61.46
Polyketide	8.27
Polyketide	84.53
Polyketide	84.51
Polyketide	85.29
Polyketide	87.82
Polyketide	85.4
Polyketide	21.28
Polyketide	21.42
Polyketide	88.71
Polyketide	86.69
Polyketide	73.19
Polyketide	73.14
Polyketide	78.27
Polyketide	18.41
Polyketide	18.75
Polyketide	26.28
Polyketide	23.55
Polyketide	26.29
Polyketide	22.2
Polyketide	20.94
Polyketide	20.81
Polyketide	26.2
Polyketide	21.59
Polyketide	21.21
Polyketide	22.49
Polyketide	29.77
Polyketide	18.36
Polyketide	26.44
Polyketide	60.99
Polyketide	6.42
Polyketide	85.26
Polyketide	10.25
Polyketide	75.98
Polyketide	15.97
Polyketide	74.8
Polyketide	19.66
Polyketide	84.08
Polyketide	8.56
Polyketide	6.82
Polyketide	71.25
Polyketide	19.58
Polyketide	10.26
Polyketide	9.86
Polyketide	5.83
Polyketide	4.98
Polyketide	5.47
Polyketide	24.1
Polyketide	85.27
Polyketide	12.73
Polyketide	11.99
Polyketide	88.63
Polyketide	10.32
Polyketide	10.81
Polyketide	25.76
Polyketide	29.69
Polyketide	68.98
Polyketide	88.79
Polyketide	89.14
Polyketide	86.45
Polyketide	87.0
Polyketide	9.99
Polyketide	8.98
Polyketide	80.2
Polyketide	5.92
Polyketide	82.44
Polyketide	18.49
Polyketide	13.38
Polyketide	13.27
Polyketide	5.46
Polyketide	6.11
Polyketide	24.94
Polyketide	11.64
Polyketide	17.96
Polyketide	60.94
Polyketide	60.91
Polyketide	87.66
Polyketide	85.99
Polyketide	85.62
Polyketide	82.29
Polyketide	69.59
Polyketide	73.57
Polyketide	15.56
Polyketide	83.58
Polyketide	83.14
Polyketide	82.47
Polyketide	84.04
Polyketide	83.54
Polyketide	65.96
Polyketide	80.66
Polyketide	84.95
Polyketide	9.53
Polyketide	11.25
Polyketide	5.35
Polyketide	8.82
Polyketide	10.15
Polyketide	11.2
Polyketide	2.01
Polyketide	7.8
Polyketide	9.31
Polyketide	10.3
Polyketide	2.37
Polyketide	67.7
Polyketide	65.8
Polyketide	67.68
Polyketide	84.69
Polyketide	2.18
Polyketide	16.95
Polyketide	15.44
Polyketide	61.19
Polyketide	3.55
Polyketide	20.54
Polyketide	18.86
Polyketide	1.22
Polyketide	14.25
Polyketide	61.49
Polyketide	69.18
Polyketide	2.25
Polyketide	18.45
Polyketide	16.67
Polyketide	64.54
Polyketide	82.28
Polyketide	1.73
Polyketide	15.73
Polyketide	15.59
Polyketide	1.72
Polyketide	9.86
Polyketide	9.96
Polyketide	62.49
Polyketide	1.36
Polyketide	9.36
Polyketide	9.68
Polyketide	2.87
Polyketide	11.64
Polyketide	11.74
Polyketide	60.8
Polyketide	3.13
Polyketide	9.15
Polyketide	9.6
Polyketide	66.94
Polyketide	3.97
Polyketide	8.49
Polyketide	9.62
Polyketide	63.27
Polyketide	88.06
Polyketide	70.96
Polyketide	78.44
Polyketide	77.94
Polyketide	63.39
Polyketide	12.3
Polyketide	12.29
Polyketide	78.84
Polyketide	71.35
Polyketide	24.02
Polyketide	88.69
Polyketide	87.15
Polyketide	70.9
Polyketide	6.85
Polyketide	6.93
Polyketide	76.56
Polyketide	74.52
Polyketide	71.85
Polyketide	84.6
Polyketide	82.28
Polyketide	5.14
Polyketide	3.87
Polyketide	16.21
Polyketide	82.62
Polyketide	61.57
Polyketide	80.66
Polyketide	10.98
