StruCluster	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC15	SC16	SC17	SC18	SC20	SC21	SC22	SC23	SC24	SC25	SC26	SC27	SC28	SC29	SC30	SC33	SC34	SC35	SC36	SC37	SC38	SC39	SC42	SC43	SC44	SC45	SC46	SC47	SC48	SC49	SC50	SC51	SC52	SC53	SC54	SC55	SC56	SC57	SC58	SC59
SC12	0.012042304526748971	0.004893047894229927	0.029876901632815613	0.0047323266856600195	0.0028502179545800946	0.0036369264787175235	0.004964472934472934	0.0007285072951739619	0.003312808641975309	0.0	0.516696159122085	0.00214241975308642	0.00092119341563786	0.0	0.0038302800361336947	0.0	0.0	0.0	0.00220073863036826	0.0928216968346793	0.024760089050799433	0.0006048309178743962	0.014111378293716602	0.002781305114638448	0.004322823678379234	0.018351134872669043	0.023598670465337132	0.0	0.0	0.0	0.005290572966128522	0.007906399176954732	0.006896662409535973	0.0017920634920634924	0.0027398692810457516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007617327523602033	0.0017858168245765145	7.811728395061728e-05	0.12847637628238567	0.025351604938271606	0.003994593444018732
SC15	0.0023316666666666668	0.04426883687943263	0.0016058064516129033	0.3156476923076923	0.012192345679012345	0.011228358208955224	0.027143800000000003	0.004383636363636364	0.005017499999999999	0.0	0.008560493827160495	0.46774799999999994	0.0	0.0	0.03998946341463415	0.0	0.0	0.0	0.004633846153846153	0.008929097744360903	0.010305573770491804	0.009781739130434782	0.01795749253731343	0.025845714285714284	0.019814871794871798	0.016951497907949788	0.0018515384615384613	0.0	0.0	0.0	0.003714358974358974	0.07736833333333333	0.009110344827586207	0.018005714285714285	0.03541647058823529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03258588235294117	0.007368372093023256	0.017195166666666668	0.0361056338028169	0.015182173913043478	0.009768735632183908
SC16	0.013094444444444443	0.04548617021276596	0.007679301075268818	0.0026692307692307692	0.031118312757201644	0.04292172470978441	0.01793958974358974	0.014393939393939395	0.007489645833333333	0.010661111111111113	0.0018292181069958849	0.0	0.2642777777777778	0.04691666666666667	0.031606504065040654	0.0	0.0	0.0	0.02466851851851852	0.02574484962406015	0.02733551912568306	0.01231014492753623	0.019008743781094524	0.0	0.026596581196581193	0.005294630404463041	0.0018205128205128207	0.0	0.0	0.0	0.052501837606837604	0.016288425925925925	0.0034493333333333333	0.03357023809523809	0.008355882352941177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04059294117647059	0.01202170542635659	0.002835277777777778	0.007290610328638498	0.009682246376811593	0.015609865900383144
SC17	0.025616666666666666	0.0236786524822695	0.002783333333333334	0.0	0.014439094650205762	0.00962620232172471	0.026466820512820514	0.03707272727272728	0.0037012499999999997	0.0011716049382716049	0.0	0.0	0.04778888888888889	0.6	0.007033333333333333	0.0	0.0	0.0	0.001262108262108262	0.014384962406015037	0.0339775956284153	0.0030188405797101445	0.0035932835820895524	0.0122	0.022611111111111113	0.0	0.0	0.0	0.0	0.0	0.0	0.004012962962962963	0.000863448275862069	0.007449999999999999	0.011907843137254901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010773333333333334	0.04022945736434108	0.003131944444444444	0.0041807511737089196	0.004011594202898551	0.011235440613026818
SC18	0.004867886178861788	0.04181593495934959	0.006555157356412274	0.009961613508442777	0.02956264077085215	0.023680936779517048	0.03297522701688555	0.06058314855875832	0.007658445121951219	0.020698929539295394	0.006749202047576032	0.02134419512195122	0.0290020325203252	0.008293170731707317	0.12526198691255205	0.0	0.0	0.0	0.010649593495934959	0.053547480286081056	0.02723386645341863	0.028731802757158007	0.015621132144157264	0.01494459930313589	0.02382319574734209	0.014317544647413001	0.012462054409005628	0.0	0.0	0.0	0.013865144882218051	0.033730420054200544	0.0067121968040370055	0.01589163763066202	0.015539598278335722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021380516499282638	0.03526378332387975	0.011084829268292682	0.01964215046375816	0.04341898197242842	0.028855187832912813
SC20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SC21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SC22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SC23	0.009540028490028489	0.021737934169849062	0.008983098979873172	0.0010918474687705456	0.08130568112271816	0.1545054637071055	0.009833214990138065	0.1057087024087024	0.018785811965811965	0.007535501741057296	0.0031168196686715203	0.0011617094017094016	0.020696866096866096	0.001262108262108262	0.011832353554304773	0.0	0.0	0.0	0.33717656512528305	0.015223732407942933	0.013590640325066555	0.004131389817911557	0.07027735680571501	0.0026926739926739925	0.08053653298268683	0.015246740335443265	0.00669930966469428	0.0	0.0	0.0	0.14392543063773833	0.07432124881291548	0.0023283819628647216	0.08372741147741147	0.01443941679235797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11205997988939165	0.012043549990061618	0.006816951566951566	0.014711255567593595	0.022791099962839092	0.0048392130857648095
SC24	0.0069432518796992485	0.04070583693275743	0.020265951976715983	0.006159444765760555	0.017246609115381045	0.014836140350877193	0.053277858299595145	0.014560287081339713	0.011711043233082707	0.018751970203285992	0.06527201336675022	0.009609954887218046	0.024336766917293234	0.018243132832080202	0.051632967174032644	0.0	0.0	0.0	0.010497802197802197	0.3005345762903499	0.023113904844077406	0.015210219025825434	0.021374278981034677	0.0071965198711063365	0.023008534798534798	0.05652918645987353	0.01591101792943898	0.0	0.0	0.0	0.016736668594563332	0.026450716374269007	0.01811874928701063	0.028321482277121373	0.02458842105263158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027159279964617426	0.03624014862738241	0.015743434210526316	0.016213027639521337	0.037258695652173913	0.049626891366346904
