LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32	LC33
LC21	0.023192683439378903	0.000858845872899927	0.03195918758995682	0.006970848348348348	0.04818781822144726	0.0038958543289051768	0.012671027027027028	0.0	0.03773240513240513	0.0061998267498267505	0.0014551772551772552	0.009482413399314809	0.06292706736587333	0.002919217638691323	0.0	0.02691684362934363	0.013698232848232848	0.0033380540540540542	0.3077413127413127	0.0	0.0042942389758179236	0.977018407596786	0.005365225225225226	0.013361486486486487	0.008456370656370655	0.022823914823914826	0.0	0.0495279860505667	0.08148145945945946	0.041812258687258685	0.13775164092664094	0.0	0.04435561877667141	0.0
LC22	0.03393069054475642	0.01747623123123123	0.0029797337278106508	0.033050852623456785	0.01759996639784946	6.200564971751412e-05	0.050967296296296295	0.024739438943894392	0.013648204264870931	0.014726737891737892	0.006433513708513709	0.0064456964006259785	0.059801475953565504	0.03179166666666667	0.002053167641325536	0.0	0.055461356837606834	0.003804166666666666	0.011067176870748298	0.0	0.00020964912280701755	0.0055817717717717725	0.6723560570987654	0.00707391975308642	0.01587759523809524	0.0014891414141414141	0.0015544802867383512	0.0	0.00012194444444444446	0.05251965277777778	0.05061974206349206	0.021511898148148148	0.003176754385964912	0.0
LC23	0.007484473242140629	0.005220990990990991	0.08647868178829717	0.0060831404320987655	0.014124283154121862	0.018771374764595103	0.0033539682539682537	0.0	0.0	0.0018076923076923077	0.005448268398268398	0.02310496870109546	0.011894610281923713	0.00039912280701754385	0.0	0.0	0.002061431623931624	0.018496666666666668	0.0	0.0	0.004157748538011696	0.004358633633633634	0.0031800925925925924	0.6480052469135802	0.0002624603174603174	0.05550395622895623	0.013749193548387098	0.005197132616487455	0.0038769444444444446	0.0	0.0	0.0015445601851851853	0.0008337719298245614	0.0
LC24	0.011832371490280777	0.002408432432432432	0.0007152155536770921	0.003301746031746032	0.001198179723502304	0.0	0.018350878911564627	0.0559363224893918	0.018115670995670997	0.0004897069597069598	0.0001687569573283859	0.00018297786720321933	0.004842643923240938	0.0016364411027568922	0.0	0.0	0.009736494505494506	0.0	0.00565399416909621	0.0	0.0004066917293233082	0.0023931119691119693	0.005110325396825397	0.0	0.7813287346938775	0.0007279653679653679	0.011038064516129032	0.0	0.0	0.015052142857142856	0.051031428571428575	0.004965714285714286	0.001818796992481203	0.0
LC25	0.006806472936710517	0.008838296478296478	0.03651873767258383	0.037507912457912455	0.10922072336265885	0.0016947611710323575	0.0034214141414141415	0.0	0.0005660850933578206	0.026800854700854703	0.07099940968122787	0.06543469910371319	0.011380416101311625	0.07682360446570974	0.0016100478468899521	0.00208262987012987	0.0	0.01170290909090909	0.0003136672850958565	0.0	0.0038196172248803825	0.01005872235872236	0.0004307239057239057	0.051435016835016834	0.0022780952380952384	0.8041637281910009	0.00495405669599218	0.013436265884652982	0.0059676767676767675	0.0	0.000661038961038961	0.003226893939393939	0.006986443381180224	0.2642624579124579
LC26	0.005496969274716087	0.0027502528334786397	0.03871933575109754	0.0011349686379928316	0.00167996878251821	0.0	0.002850906298003072	0.0	8.038449006190941e-05	0.0009447063688999173	0.0005075827398408043	0.010326397092230806	0.011856138661531054	0.0	0.0033759479343520088	0.0	0.0	0.004178709677419355	0.0	0.0004763440860215054	0.00035127334465195247	0.0	0.0	0.004841845878136201	0.012823870967741936	0.0012197458455522972	0.9162451612903226	0.0	0.03088225806451613	0.0	0.0	0.0	0.0	0.006065591397849462
LC27	0.012366458580087787	0.0002084917175239756	0.037711261691162436	0.005482573924731182	0.0019616545265348597	0.008211700382722798	0.0015961597542242705	0.0	0.0	0.005021836228287841	0.0016909090909090908	0.012958064516129032	0.01982349542609533	0.007302886247877759	0.0	0.018845506912442394	0.0	0.002123741935483871	0.0	0.0	0.012867062818336163	0.04213914559721012	0.0032345878136200716	0.007021057347670251	0.0	0.01577683284457478	0.012586888657648282	0.803368574401665	0.0007868817204301075	0.002846774193548387	0.0	0.0015608870967741934	0.0	0.0
LC28	0.01549830165586753	0.006498144144144144	0.008461143984220907	0.004357430555555555	0.01751518817204301	0.0004787005649717514	0.019839555555555555	0.0004187458745874587	8.993265993265994e-05	0.07963302564102563	0.012081861471861471	0.00829431924882629	0.0	0.008490935672514622	0.002132631578947368	0.0	0.0	0.0	0.011679727891156462	0.00035452991452991455	0.0016764912280701756	0.08899197297297297	0.0016846296296296297	0.00933712962962963	0.0001683809523809524	0.006067979797979798	0.0668189247311828	0.0	0.9834614444444444	0.02292547619047619	0.033870595238095234	0.03007311111111111	0.0826598245614035	0.0035977777777777774
LC29	0.05453566800370256	0.005055675675675676	0.00015240912933220626	0.020722420634920635	0.019176036866359446	0.0008264527845036321	0.01151595238095238	0.06810418670438471	0.008927813852813852	0.12862480311355312	0.0002549628942486085	0.0004409456740442656	0.0482934434968017	0.0004953634085213032	0.0	0.0	0.16707568681318682	0.00013135714285714286	0.0108600583090379	0.0	0.004207048872180451	0.014839555984555984	0.03777787698412698	0.0	0.023548061224489797	0.0	0.0	0.0	0.01925059523809524	0.8437293367346939	0.1709220663265306	0.0012078869047619047	0.03195206766917293	0.03198650793650794
LC30	0.04935002314100586	0.013058822393822393	0.0	0.013058457341269841	0.06350362903225806	0.0	0.13282319727891156	0.00038790664780763786	0.07488834776334775	0.03760508241758242	0.0	0.0	0.18634861407249467	0.0	0.0	0.0	0.0048460851648351655	0.0	0.20448068513119533	0.0006553113553113553	0.0	0.13377789575289575	0.0403234126984127	0.0	0.06267428571428571	0.0	0.0	0.0	0.09545190476190477	0.20394183673469388	0.9421491071428572	0.0006931547619047619	0.30200093984962406	0.0
LC31	0.007243592512598992	0.03096418918918919	0.030730226824457595	0.01795613425925926	0.07655194892473118	0.0	0.00581579365079365	0.0	0.00010690235690235691	0.025331463675213675	0.006019805194805195	0.001424237089201878	0.025227176616915422	0.053870760233918125	0.028725219298245615	0.0	0.01664158653846154	0.031221583333333334	0.0	0.0	0.0	0.0	0.003243622685185185	0.0	0.003948333333333333	0.0011489898989898988	0.000984543010752688	0.0	0.013075541666666668	0.0012391369047619048	0.0	0.9963894097222222	0.00651140350877193	0.005296759259259259
LC32	0.01851821643742185	0.00487402560455192	0.0015877919651199005	0.02500811403508772	0.08360522071307301	0.0	0.00945218045112782	0.0	0.027761775651249335	0.0036433873144399455	0.0	0.0	0.004343047918303221	0.0	0.0	0.0	0.09140981781376518	0.02209821052631579	0.21224769065520946	0.029580026990553305	0.0	0.002129871977240398	0.02813172514619883	0.0	0.0012088721804511277	0.0	0.0	0.0	0.0659559649122807	0.04136033834586467	0.30233251879699247	0.00546030701754386	0.9910767313019391	0.0
LC33	0.0024421406287497	0.17609672672672672	0.0	0.15198229166666666	0.21594991039426523	0.0	0.0	0.0	0.0	0.005448219373219373	0.2951733044733045	0.0	0.0	0.24996569200779728	0.0	0.0	0.0	0.1755331111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23553451178451176	0.003452508960573477	0.0	0.0	0.019934920634920632	0.0	0.005392824074074074	0.0	0.9960777777777778
